question,operation,answer,equation
Third-grade excellent students went to a concert in 8 buses . Each bus took 45 excellent students and 25 graduated students . How many excellent students went to the concert ?,Multiplication,360,X=8.0*45.0
Mrs. Hilt wants to make a border around her garden . She needs 125 white rocks to complete the border . She has 64 white rocks . Willam bought 3 white rocks . How many more white rocks  does Mrs. Hilt need to complete the border ?,Subtraction,61,X=125.0-64.0
Mrs. Hilt ate 5 red apples every hour . Grant ate 4 cakes . How many red apples had Mrs. Hilt eaten at the end of 3 hours ?,Multiplication,15,X=5.0*3.0
Each banana costs $5.00 . Each apple costs $6.50 . How much do 4 bananas cost ?,Multiplication,20,X=5.0*4.0
"Ruby has 36 pink candies , 18 yellow candies and 6 bananas . If Ruby shares the pink candies among 9 friends , how many pink candies does each friend get ?",CommonDiv,4,X=36.0/9.0
Josh had 16 white marbles in his collection . He lost 7 white marbles . Helen had 3 toys . How many white marbles does Josh have now ?,Subtraction,9,X=16.0-7.0
Tom has 9 yellow balloons . Sara has 8 yellow balloons . Bob has 9 yellow toys . How many yellow balloons do they have in total ?,Addition,17,X = 9 + 8
Ronald went to the store 2 times last month . He buys 10 big bananas and 15 small bananas each time he goes to the store . How many big bananas did Ronald buy last month ?,Multiplication,20,X=2.0*10.0
Mrs. Hilt reads 5 heavy books a day . Uriah takes 3 apples . How many heavy books does Mrs. Hilt read in 3 days ?,Multiplication,15,X=5.0*3.0
The clown blew up 47 blue balloons . Then he blew up 13 more blue balloons . Aron brought 10 blue balloons . How many blue balloons does the clown have now ?,Addition,60,X=47.0+13.0
The Ferris wheel in Paradise Park has 14 seats . Each seat can hold 6 people . How many people can ride the Ferris wheel at the same time ?,Multiplication,84,X=14.0*6.0
Marie starts with 95 white erasers . She loses 42 white erasers . How many white erasers does Marie end with ?,Subtraction,53,X=95.0-42.0
Joan has 8 orange balloons but lost 2 of them . John has 5 balloons . How many orange balloons does Joan have now ?,Subtraction,6,X = 8 - 2
Third-grade excellent students went to a concert in 8 buses . Each bus took 45 excellent students . The teacher had 15 excellent students . How many excellent students went to the concert ?,Multiplication,360,X=8.0*45.0
Robin has 3 dogs . Mrs. Sheridan has 17 Persian cats . Mr. Sheridan gave her 14 more Persian cats . How many Persian cats does Mrs. Sheridan have altogether ?,Addition,31,X=17.0+14.0
"Ellen had 2080 new Legos and 33 old Legos , but she lost 17 new Legos . How many new Legos does Ellen have now ?",Subtraction,2063,X=2080.0-17.0
Mike has 87 baseball cards . Sam bought 13 of Mike 's baseball cards . Vivian bought 2 baseballs . How many baseball cards does Mike have now ?,Subtraction,74,X = 87 - 13
Samuel has 4 children . Harold has 53 white marbles . He gets 16 more white marbles from Steve . How many white marbles does Harold have in all ?,Addition,69,X=53.0+16.0
Virginia starts with 96 big eggs . Amy takes 3 big eggs away . Tina buys 7 eggs . How many big eggs does Virginia end with ?,Subtraction,93,X=96.0-3.0
A car company produced 3884 cars in North America and 2871 cars in Europe . The car company produced 300 airplanes . How many cars is that in all ?,Addition,6755,X = 3884.0 + 2871.0
Keith has 20 books and 2 PC notebooks . Jason has 21 books . How many books do they have together ?,Addition,41,X = 20 + 21
58 children are taking a bus to the zoo . They sit 2 children in every seat . Each child eats 1 cake . How many seats will the children need in all ?,CommonDiv,29,X=58.0/2.0
Mrs. Sheridan has 11 meek cats . Paul has 5 dogs . How many more meek cats does Mrs. Sheridan need to have 43 meek cats ?,Subtraction,32,X=43.0-11.0
Emily collected white eggs and brown eggs from the hen and put them into 303 baskets . She put 28 white eggs and 10 brown eggs into each basket . How many white eggs did Emily collect ?,Multiplication,8484,X=303.0*28.0
Roy received 6 cards . Hayley had 25 handmade meatballs on her plate . Kirsten stole some of her handmade meatballs . Now she has 11 handmade meatballs on her plate . How many handmade meatballs did Kirsten steal ?,Subtraction,14,X=25.0-11.0
Hannah purchases 25 shirts . Michelle has 7 yellow boxes of crayons . Each yellow box holds 5 crayons . How many crayons does Michelle have ?,Multiplication,35,X=7.0*5.0
Lansing has 25 elementary schools and 10 colleges . There are 247 students in each school . How many elementary students are there altogether in Lansing ?,Multiplication,6175,X=25.0*247.0
Mikey had 356 green leaves . Some of her green leaves blew away . Now she has 112 green leaves left . Frank had 224 leaves . How many of her green leaves blew away ?,Subtraction,244,X=356.0-112.0
Mrs. Hilt ate 5 red apples every hour . Sam ate 3 apples . How many red apples had Mrs. Hilt eaten at the end of 3 hours ?,Multiplication,15,X=5.0*3.0
Tonny ran 2.5 miles . Kyle jogged 1.125 laps in P.E. class and 2.125 laps during track practice . How many laps did Kyle jog in all ?,Addition,3.25,X = 1.125 + 2.125
Marie starts with 95 white erasers . She loses 42 white erasers . How many white erasers does Marie end with ?,Subtraction,53,X=95.0-42.0
Rose bought 4 mice . There are 38 heavy books on the shelf . Marta put 10 more heavy books on the shelf . How many heavy books are on the shelf now ?,Addition,48,X=38.0+10.0
There were 22 boys going down the slide . 13 more boys went down the slide . 15 girls also went down the slide . How many boys went down the slide ?,Addition,35,X=22.0+13.0
Christian sells 42 toys . Iesha has 58 heavy books . 19 heavy books are about school and the rest are about sports . How many heavy books about sports does Iesha have ?,Subtraction,39,X=58.0-19.0
Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards . Wendy also had 2 Pokemon cards . How many Pokemon cards did he have to start with ?,Addition,13,X = 9 + 4
Keith has 20 books . Jason has 21 books . Aron has 6 bookmarks . How many books do they have together ?,Addition,41,X = 20 + 21
Megan had 49 black markers and 22 red markers . Robert gave her 39 more black markers . How many black markers does Megan have altogether ?,Addition,88,X=49.0+39.0
"Each child has 3 small oranges . Flora has 12 apples . If there are 4 children , how many small oranges are there in total ?",Multiplication,12,X=3.0*4.0
Carla has some yellow marbles . She bought 134 yellow marbles . Now she has 187 yellow marbles . Frank has 13 shirts . How many yellow marbles did Carla start with ?,Subtraction,53,X=187.0-134.0
Ruby sold 78 cakes . On the first day of the week Pat had 39 small stickers . Pat earned 22 more small stickers during the week . How many small stickers did Pat have at the end of the week ?,Addition,61,X=39.0+22.0
Sam bought 27 pencils . Our class got 54 public books from the library . Then we got 23 more public books from the library . How many public books did our class get from the library ?,Addition,77,X=54.0+23.0
Kelly buys 12 pearls . There are 8 blue marbles in each box . How many blue marbles are in 6 boxes ?,Multiplication,48,X=8.0*6.0
Hanry bought 2 breads . The farmer had 127 red apples . He gave 88 red apples to his neighbor . How many red apples does the farmer have now ?,Subtraction,39,X=127.0-88.0
Mrs. Hilt ate 5 red apples and 2 green apples every hour . How many red apples had Mrs. Hilt eaten at the end of 3 hours ?,Multiplication,15,X=5.0*3.0
Jorge bought 15 apples . Denise removes 5 yellow bananas from a jar . There were originally 46 yellow bananas in the jar . How many yellow bananas are left in the jar ?,Subtraction,41,X=46.0-5.0
Each bus has 4 wheels. 5 boats are in the lake . Each boat has 3 people . How many people are on boats in the lake ?,Multiplication,15,X=5.0*3.0
Paul has 5 dogs . Mrs. Sheridan has 11 meek cats . How many more meek cats does Mrs. Sheridan need to have 43 meek cats ?,Subtraction,32,X=43.0-11.0
Denise removes 5 yellow bananas from a jar . There were originally 46 yellow bananas and 25 green bananas in the jar . How many yellow bananas are left in the jar ?,Subtraction,41,X=46.0-5.0
"Diane has 37 brown crayons and 23 blue crayons . She gets 5 more from Frances . Later , Diane buys 16 cards at the store . How many brown crayons does Diane have in all ?",Addition,42,X=37.0+5.0
"Each child has 3 small oranges . Brook has 5 oranges . If there are 4 children , how many small oranges are there in total ?",Multiplication,12,X=3.0*4.0
Your class is having a pizza party . You buy 5 cheese pizzas . Each cheese pizza has 4 slices . Tina buy 3 tickets . How many slices is that altogether ?,Multiplication,20,X=5.0*4.0
Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards and 1 credit card . How many Pokemon cards did he have to start with ?,Addition,13,X = 9 + 4
Nell collects baseball cards . She had 304 baseball cards . She gave some of her baseball cards to Jeff and now has 276 baseball cards left . Fed bought 45 cards. How many baseball cards did Nell give to Jeff ?,Subtraction,28,X=304.0-276.0
"Rosa had 67 red flowers and 3 white flowers . Andre gave her some more red flowers . Now , Rosa has 90 red flowers . How many red flowers did Andre give to Rosa ?",Subtraction,23,X=90.0-67.0
Brad has 17 big balloons . 8 big balloons are red and the rest are green . Patricia makes 6 dishes . How many green big balloons does Brad have ?,Subtraction,9,X=17.0-8.0
"Betty has 24 oranges stored in boxes . Zoe sells 150 oranges from the truck . If there are 3 boxes , how many oranges must go in each box ?",CommonDiv,8,X=24.0/3.0
Laurence discards 6 books . Mrs. Hilt wants to make a border around her garden . She needs 125 white rocks to complete the border . She has 64 white rocks . How many more white rocks  does Mrs. Hilt need to complete the border ?,Subtraction,61,X=125.0-64.0
Kate has 223 pennies and 450 Mom's pennies . John has 388 pennies . How many more pennies does John have ?,Subtraction,165,X=388.0-223.0
"Uncle Dave bought 143 ice cream sandwiches . David ate 17 candies . If Dave wants to give sandwiches to his 11 hungry nieces , how many can each niece get ?",CommonDiv,13,X=143.0/11.0
Josh had 142 blue pencils . He gave 31 blue pencils to Dorothy . Peter made 4 handicrafts . How many blue pencils does Josh have left ?,Subtraction,111,X=142.0-31.0
"Milford Lake was originally blue because it only had 809 algae plants . Now there are 3263 algae plants , and the lake has turned green . Walden Pond had 500 algae plants . How many more algae plants are in Milford Lake now ?",Subtraction,2454,X = 3263.0 - 809.0
Isabel bought 900 thin pieces of paper . She used 156 thin pieces of the paper . Jonathan had 30 pieces of paper . How many thin pieces of paper does Isabel have left ?,Subtraction,744,X=900.0-156.0
Tom has 3 fireworks . Marlee has 12 handsome guests coming to her Halloween party . Each table will hold 3 handsome guests . How many tables will Marlee need ?,CommonDiv,4,X=12.0/3.0
"Dan has 64 violet marbles , he gave Mary 14 of the marbles . Emma does 3 works . How many violet marbles does he now have ?",Subtraction,50,X = 64 - 14
James had 39 small stickers . He got some more small stickers for his birthday . Then he had 61 small stickers . Kim had 4 balloons . How many small stickers did James get for his birthday ?,Subtraction,22,X=61.0-39.0
There are 64 pink pigs and 54 black pigs in the barn . Some more come to join them . Now there are 86 pink pigs . How many pink pigs came to join them ?,Subtraction,22,X=86.0-64.0
Paul had 42 beautiful strawberries in his basket . He picked 78 more beautiful strawberries . Davis had 10 strawberries . How many beautiful strawberries did Paul have then ?,Addition,120,X=42.0+78.0
"Jesse has 21 yellow bananas and 24 green bananas . If Jesse shares bananas among 3 friends , how many yellow bananas does each friend get ?",CommonDiv,7,X=21.0/3.0
3 boys are standing in the corner . 2 yellow toucans are sitting on a tree limb . 3 more yellow toucan joins them . How many yellow toucans in all ?,Addition,5,X=2.0+3.0
Brad has 17 big balloons . 8 big balloons are red and the rest are green . Nick had 2 balloons . How many green big balloons does Brad have ?,Subtraction,9,X=17.0-8.0
Sam had 98 pennies in his bank . He spent 93 of his pennies . Mary also spent her 5 pennies . How many pennies does he have now ?,Subtraction,5,X = 98 - 93
Mrs. Snyder made 86 heart cookies . She made 36 red cookies and the rest are pink . Kobe made 6 cakes . How many pink cookies did Mrs. Snyder make ?,Subtraction,50,X=86.0-36.0
Denise removes 5 yellow bananas from a jar . There were originally 46 yellow bananas in the jar . Sam had 11 bananas . How many yellow bananas are left in the jar ?,Subtraction,41,X=46.0-5.0
Paul had 42 beautiful strawberries and 2 ugly strawberries in his basket . He picked 78 more beautiful strawberries . How many beautiful strawberries did Paul have then ?,Addition,120,X=42.0+78.0
"Rosa had 67 red flowers . Andre gave her some more red flowers . Now , Rosa has 90 red flowers . Ken had 13 red flowers . How many red flowers did Andre give to Rosa ?",Subtraction,23,X=90.0-67.0
Gavin has 23 shirts. 6 are blue the rest are green. Jackson also has 17 shirts . How many green shirts does Gavin have?,Subtraction,17,X=23.0-6.0
Luke had 100 dollars to buy books. Mrs. Hilt read 4 books . Each book had 17 chapters in it . How many chapters did Mrs. Hilt read ?,Multiplication,68,X=4.0*17.0
"Joan wanted playing video games. One day, Joan purchased a basketball game for $ 5.20 , and a racing game for $ 4.23 . Tom purchased a pair of shoes for $ 40.8 . How much did Joan spend on video games ?",Addition,9.43,X = 5.20 + 4.23
"Shelby's teacher gives out gold stars for great math work . Yesterday , Shelby earned 2 yellow stars and 4 gold stars . Today , she earned 3 more . How many gold stars did Shelby earn in all ?",Addition,7,X=4.0+3.0
Grant ate 4 cakes . Mrs. Hilt ate 5 red apples every hour . How many red apples had Mrs. Hilt eaten at the end of 3 hours ?,Multiplication,15,X=5.0*3.0
Josh had 142 blue pencils and 2 red pencils . He gave 31 blue pencils to Dorothy . How many blue pencils does Josh have left ?,Subtraction,111,X=142.0-31.0
James got 4 cakes . Mrs. Wong had 30 red Valentines . She gave 8 red Valentines to her children . How many red Valentines does Mrs. Wong have left ?,Subtraction,22,X=30.0-8.0
Connie had some marbles . She gave 73 purple marbles to Juan . Now she has 70 purple marbles left . Jerry had 15 toys . How many purple marbles did Connie have to start with ?,Addition,143,X=73.0+70.0
Ceasar needs to read a 563 yellow page book for school . He has already read 147 yellow pages . Monica reads 55 pages . How many yellow pages does Ceasar have left to read ?,Subtraction,416,X=563.0-147.0
Kerr eats 6 pizzas . Megan has 19 white seashells . How many more white seashells does Megan need to find to have 25 white seashells in her collection ?,Subtraction,6,X=25.0-19.0
The Ferris wheel in Paradise Park has 14 seats . Each seat can hold 6 people . Peter spends 3 tickets . How many people can ride the Ferris wheel at the same time ?,Multiplication,84,X=14.0*6.0
"You want to give your baseball cards to your 5 best friends . You have 455 baseball cards . I throw away my 10 baseball cards . How many would each get , if you share them equally ?",CommonDiv,91,X=455.0/5.0
The clown blew up 47 blue balloons . Then he blew up 13 more blue balloons . Wendy makes 3 cakes . How many blue balloons does the clown have now ?,Addition,60,X=47.0+13.0
Rondo made 4 faults in each game . Melissa scored 120 points in each game . How many points did Melissa score in 10 games ?,Multiplication,1200,X=120.0*10.0
Mary bought 5.91 tons of gravel and 8.11 tons of sand . Mike bought 2 kinds of sofa . How many tons of material did Mary buy in all ?,Addition,14.02,X = 5.91 + 8.11
"Shelby's teacher gives out gold stars for great math work . Dan was assigned 5 assignments . Yesterday , Shelby earned 4 gold stars . Today , she earned 3 more . How many gold stars did Shelby earn in all ?",Addition,7,X=4.0+3.0
There were 150 book shelves . Each book shelf had 15 books . Cindy discarded 3 desks . How many books were on the shelves ?,Multiplication,2250,X=150.0*15.0
Ronald has 13 small blocks . Martha has with 4 small blocks and 2 big blocks . Martha finds another 80 small blocks . How many small blocks does Martha end with ?,Addition,84,X=4.0+80.0
Mikey had 356 green leaves . Some of her green leaves blew away . Now she has 112 green leaves left . Vivian got 12 tickets . How many of her green leaves blew away ?,Subtraction,244,X=356.0-112.0
There are 38 heavy books on the shelf . Marta put 10 more heavy books on the shelf . Tom reads 3 books . How many heavy books are on the shelf now ?,Addition,48,X=38.0+10.0
Connie had some marbles . She gave 73 purple marbles and 22 green marbles to Juan . Now she has 70 purple marbles left . How many purple marbles did Connie have to start with ?,Addition,143,X=73.0+70.0
There are 261 fishbowls . Each fishbowl has 23 fish . Andy has 10 oranges . How many fish are there ?,Multiplication,6003,X=261.0*23.0
"Mrs. Hilt went to a concert . A total of 65899 younger people and 543 older people attended the concert . The next week , she went to a second concert , which had 119 more young people in attendance . How many young people were at the second concert ?",Addition,66018,X=65899.0+119.0
There are 8 blue marbles in each box . Lopez has 10 marbles . How many blue marbles are in 6 boxes ?,Multiplication,48,X=8.0*6.0
"Diane has 37 brown crayons . She gets 5 more from Frances . Later , Diane buys 16 cards at the store . Finley buys 11 crayons . How many brown crayons does Diane have in all ?",Addition,42,X=37.0+5.0
Martha is inviting 4 friends to a party . She has 12 cookies . Rubio has 3 cars . How many cookies will each friend get ?,CommonDiv,3,X=12.0/4.0
Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards . Sally bought 3 toys . How many Pokemon cards did he have to start with ?,Addition,13,X = 9 + 4
"Tom purchased a pair of shoes for $ 40.8 . Joan wanted playing video games. One day, Joan purchased a basketball game for $ 5.20 , and a racing game for $ 4.23 . How much did Joan spend on video games ?",Addition,9.43,X = 5.20 + 4.23
"Diane has 37 brown crayons . She gets 5 more from Frances . Later , Diane buys 16 cards at the store . Jose gets 4 presents . How many brown crayons does Diane have in all ?",Addition,42,X=37.0+5.0
"My dog had some bones . Then , he dug up 367 complete bones . Now he has 860 complete bones . Cathy received 140 bones . How many complete bones did my dog start with ?",Subtraction,493,X=860.0-367.0
"Uncle Dave bought 143 ice cream sandwiches . Susan ate her 44 ice cream sandwiches . If Dave wants to give sandwiches to his 11 hungry nieces , how many can each niece get ?",CommonDiv,13,X=143.0/11.0
Josh had 142 blue pencils . He gave 31 blue pencils to Dorothy . Tom had 14 blue pencils . How many blue pencils does Josh have left ?,Subtraction,111,X=142.0-31.0
5 boats are in the lake . Each boat has 3 people . 8 gooses are in the lake . How many people are on boats in the lake ?,Multiplication,15,X=5.0*3.0
Bill buys 8 tickets . There are 544 pots . Each pot has 32 purple flowers in it . How many purple flowers are there in all ?,Multiplication,17408,X=544.0*32.0
Miranda buys 3 oranges . Sarah has 7 black boxes of apples . Each black box holds 7 apples . How many apples does Sarah have ?,Multiplication,49,X=7.0*7.0
James had 39 small stickers . He got some more small stickers for his birthday . Then he had 61 small stickers . Nina got 10 stickers . How many small stickers did James get for his birthday ?,Subtraction,22,X=61.0-39.0
Lucy has 212 red fish and 48 blue fish . How many more red fish does Lucy need to buy to have 280 red fish ?,Subtraction,68,X=280.0-212.0
2 yellow toucans are sitting on a tree limb . 3 more yellow toucan joins them . Mike has 5 toucans . How many yellow toucans in all ?,Addition,5,X=2.0+3.0
We ordered 21 pizzas . Each pizza has 8 small slices . Ellis bought 2 shirts . How many small slices of pizza are there altogether ?,Multiplication,168,X=21.0*8.0
Ernie has 444 tickets . Kate has 223 pennies . John has 388 pennies . How many more pennies does John have?,Subtraction,165,X=388.0-223.0
Andy has 10 oranges . There are 261 fishbowls . Each fishbowl has 23 fish . How many fish are there ?,Multiplication,6003,X=261.0*23.0
Peter ate 2 chickens . Emily collected white eggs from the hen and put them into 303 baskets . She put 28 white eggs into each basket . How many white eggs did Emily collect ?,Multiplication,8484,X=303.0*28.0
Our class got 54 public books from the library . Then we got 23 more public books from the library . Irving's class had 46 books . How many public books did our class get from the library ?,Addition,77,X=54.0+23.0
Edward starts with 92 small eggs . He gives 40 small eggs to Phillip . Norton steals 5 cents . How many small eggs does Edward end with ?,Subtraction,52,X=92.0-40.0
Third-grade excellent students went to a concert in 8 buses . Each bus took 45 excellent students . Cathy bought 2 tickets . How many excellent students went to the concert ?,Multiplication,360,X=8.0*45.0
"Joan wanted playing video games. One day, Joan purchased a basketball game for $ 5.20 , and a racing game for $ 4.23 . Judy purchased a basketball game for $ 3.50 . How much did Joan spend on video games ?",Addition,9.43,X = 5.20 + 4.23
Horry feeds 13 dogs . Eric has 3 black boxes of pencils . Each black box holds 9 pencils . How many pencils does Eric have ?,Multiplication,27,X=3.0*9.0
"3500 cargos landed in Newberg's airport . Last year at Newberg 's airport , 14507 passengers landed on time . Unfortunately , 213 passengers landed late . In all , how many passengers landed in Newberg last year ?",Addition,14720,X = 14507.0 + 213.0
Isabel bought 900 thin pieces of paper . She used 156 thin pieces of the paper . Ivan had 44 balls . How many thin pieces of paper does Isabel have left ?,Subtraction,744,X=900.0-156.0
Lino picked up 292 red shells at the seashore in the morning and 324 red shells in the afternoon . Jordan picked up 5 basketballs . How many red shells did Lino pick up in all ?,Addition,616,X=292.0+324.0
Martha is inviting 4 friends to a party . She has 12 cookies and 16 sodas . How many cookies will each friend get ?,CommonDiv,3,X=12.0/4.0
There are 37 baskets . There are 17 red apples in each basket . Karen gets 8 pineapples . How many red apples are there in all ?,Multiplication,629,X=37.0*17.0
Melanie grew 139 turnips . Benny grew 113 turnips . Vince grew 348 tomatoes . How many turnips did they grow in all ?,Addition,252,X = 139 + 113
Patricia makes 6 dishes . Brad has 17 big balloons . 8 big balloons are red and the rest are green . How many green big balloons does Brad have ?,Subtraction,9,X=17.0-8.0
Cindy discarded 3 desks . There were 150 book shelves . Each book shelf had 15 books . How many books were on the shelves ?,Multiplication,2250,X=150.0*15.0
Josh had 16 white marbles and 14 brown marbles in his collection . He lost 7 white marbles . How many white marbles does Josh have now ?,Subtraction,9,X=16.0-7.0
Mike has 87 baseball cards and 57 basketball cards . Sam bought 13 of Mike 's baseball cards . How many baseball cards does Mike have now ?,Subtraction,74,X = 87 - 13
There are 544 pots . Each pot has 32 purple flowers and 16 yellow flowers in it . How many purple flowers are there in all ?,Multiplication,17408,X=544.0*32.0
A person has 1 heart . A bee has 6 legs . How many legs do 2 bees have ?,Multiplication,12,X=6.0*2.0
Iesha has 58 heavy books and 13 thin books . 19 heavy books are about school and the rest are about sports . How many heavy books about sports does Iesha have ?,Subtraction,39,X=58.0-19.0
Albert breaks 2 cups . Virginia starts with 96 big eggs . Amy takes 3 big eggs away . How many big eggs does Virginia end with ?,Subtraction,93,X=96.0-3.0
Emily collected white eggs from the hen and put them into 303 baskets . She put 28 white eggs into each basket . Peter ate 2 chickens . How many white eggs did Emily collect ?,Multiplication,8484,X=303.0*28.0
Paula has 6 white boxes of peanuts and 2 black boxes of peanuts . Each white box holds 4 peanuts . How many peanuts does Paula have ?,Multiplication,24,X=6.0*4.0
There are 37 baskets . There are 17 red apples in each basket . Edison has 2 apples . How many red apples are there in all ?,Multiplication,629,X=37.0*17.0
Gordon had 3 apples . Ronald went to the store 2 times last month . He buys 10 big bananas each time he goes to the store . How many big bananas did Ronald buy last month ?,Multiplication,20,X=2.0*10.0
Jill invited 37 people to her birthday party . They each ate 8 big pieces of pizza . Tom ate 2 pieces of pizza . How many big pieces of pizza did they eat ?,Multiplication,296,X=37.0*8.0
Jill invited 37 people to her birthday party . They each ate 8 big pieces of pizza and 10 small pieces of pizza . How many big pieces of pizza did they eat ?,Multiplication,296,X=37.0*8.0
"Dan has 64 violet marbles , he gave Mary 14 of the marbles and also has another 10 rainbow marbles . How many violet marbles does he now have ?",Subtraction,50,X = 64 - 14
"Flora has 12 apples . Each child has 3 small oranges . If there are 4 children , how many small oranges are there in total ?",Multiplication,12,X=3.0*4.0
"Lucy listened 28 songs . Mrs. Hilt went to a concert . A total of 65899 young people attended the concert . The next week , she went to a second concert , which had 119 more young people in attendance . How many young people were at the second concert ?",Addition,66018,X=65899.0+119.0
Edward starts with 92 small eggs and 40 big eggs . He gives 40 small eggs to Phillip . How many small eggs does Edward end with ?,Subtraction,52,X=92.0-40.0
Tim buys 5 cards . Janet has 57 red apples . She finds another 95 red apples . How many red apples does Janet have in all ?,Addition,152,X=57.0+95.0
Duke buys 3 erasers . Mrs. Hilt has 50 cents . A pencil costs 5 cents . How many pencils can she buy with the money Mrs. Hilt has ?,CommonDiv,10,X=50.0/5.0
Brad has 17 big balloons and 13 small balloons . 8 big balloons are red and the rest are green . How many green big balloons does Brad have ?,Subtraction,9,X=17.0-8.0
"Ellen had 2080 new Legos , but she lost 17 new Legos . Grant bought 3 games . How many new Legos does Ellen have now ?",Subtraction,2063,X=2080.0-17.0
Sam had 98 pennies in his bank . Kight spent 5 hours . He spent 93 of his pennies . How many pennies does he have now ?,Subtraction,5,X = 98 - 93
Michelle has 7 yellow boxes of crayons . Each yellow box holds 5 crayons . Hannah purchases 25 shirts . How many crayons does Michelle have ?,Multiplication,35,X=7.0*5.0
Lydia shows 5 pearls . Paula has 6 white boxes of peanuts . Each white box holds 4 peanuts . How many peanuts does Paula have ?,Multiplication,24,X=6.0*4.0
Nelson bought 19 hats . Cindy's mom baked 41 heart-shaped cookies . Paul's dad baked 38 heart-shaped cookies . They both brought them to school for a party . How many heart-shaped cookies did they have altogether ?,Addition,79,X=41.0+38.0
58 children are taking a bus to the zoo . They sit 2 children in every seat . Every table has 1 child . How many seats will the children need in all ?,CommonDiv,29,X=58.0/2.0
Melanie grew 139 turnips . Benny grew 113 turnips . Ken had 248 turnips . How many turnips did they grow in all ?,Addition,252,X = 139 + 113
Your class is having a pizza party . You buy 5 cheese pizzas and 6 spicy pizzas . Each cheese pizza has 4 slices . How many slices is that altogether ?,Multiplication,20,X=5.0*4.0
Lucy has 212 red fish . Georgia has 122 fish . How many more red fish does Lucy need to buy to have 280 red fish ?,Subtraction,68,X=280.0-212.0
"Sue made 75 cookies . She put the cookies in bags , with 3 cookies in each bag . A dog ate 15 cookies per day . How many bags could she fill up ?",CommonDiv,25,X=75.0/3.0
"There are 2 students in the class and 18 pencils . Teachers also see the 18 pencils . If the pencils are divided equally among the students , how many pencils does each student get ?",CommonDiv,9,X=18.0/2.0
Dirk ate 6 meatballs . Jill invited 37 people to her birthday party . They each ate 8 big pieces of pizza . How many big pieces of pizza did they eat ?,Multiplication,296,X=37.0*8.0
Ceasar needs to read a 563 yellow page book for school . He has already read 147 yellow pages . Kerr shoots 25 balls . How many yellow pages does Ceasar have left to read ?,Subtraction,416,X=563.0-147.0
There are 261 fishbowls and 1 broken fishbowl . Each fishbowl has 23 fish . How many fish are there ?,Multiplication,6003,X=261.0*23.0
