,question,operator
91,what percent of 54 is 135?,Multiplication
92,what is the reciprocal of 0.8.,Division
93,36 is 60% of what number?,Multiplication
94,"what is 8% of 2,000.",Multiplication
95,what's 8% of 5.00?,Multiplication
96,what percent of 50 is 6?,Multiplication
97,What percent of 80 is 50?,Multiplication
98,Megan likes to jog around a duck pond near her house. The distance around the pond is 0.4 mi. How many laps around the pond are necessary to run 5 mi?,Division
99,"If 60 is 40% of a number, what is that number?",Multiplication
100,14 is what percent of 84?,Multiplication
101,what percent of 240 is 60?,Multiplication
102,The lateral area of a rectangular prism with height of 4 feet is 60 ft2. What is the perimeter of the base?,Multiplication
103,Line RS bisects PQ at point R. Find RQ if PQ = 14 centimeters?,Division
104,45 divided by 6 =?,Division
105,4 to the negative 2 power.,Subtraction
106,"4,000 grams = kilograms? (1 gram = 0.001 kilograms)",Multiplication
107,Tim wants to put a rug in his room. The length of his room is 2 feet and the width of his room is 5 feet. How much rug will Tim need? Find the area.,Multiplication
108,"if 145 is 15% of the whole, what is the whole?",Multiplication
109,what 12% of 240 is?,Multiplication
110,30 is what percent of 150?,Multiplication
111,"The area of a rectangle is 2cm squared, If the length of the rectangleis 8cm, what is the width of the rectange?",Multiplication
112,At a rate if 7% what is the sales tax on a car priced at 9500?,Multiplication
113,What is 14% of $25.99? (Rounded to the nearest cent)?,Multiplication
114,I have a car that gives 16 mpg. Let x be the number of miles driven on 50 gallons of gas. I need to show both the set up of the proportion and the steps to solve. Including the units with my answer.,Division
115,what is 0.8 divided by 4?,Division
116,"If I have $200,000 to spend, but I have allocated 8.55% of that in one month, how much is that 8.55%.",Multiplication
117,35% of what number is 500?,Multiplication
118,Glenda has a $40 gift card to a cafe that sells her favourite tuna sandwich for $3.75 after tax. What are the possible numbers of tuna sandwiches can she buy with her gift card?,Division
119,the length and breadth of a lawn is 20m and 4.8m. what is the ratio of length to breadth?,Division
120,6 divided by 1824?,Division
121,How tall is a tree which is 15 feet shorter than a pole that is three times as tall as the tree?,Addition
122,What is 15 over 100 reduced? then converted to a percent.,Division
123,"if i make 600 hundred dollars a month, how much would i make in 11 months",Multiplication
124,what is 20 percent off of 59.99?,Multiplication
125,what is 2 plus 2?,Addition
126,24.5 is 35% of what number?,Multiplication
127,Calculate 33 1/3% of 60?,Multiplication
128,"a mountain climber ascends a mountain to its peak. the peak is 12,740 ft above sea level. the climber then descends 200 ft to meet a fellow climber. find the climber's elevation above sea level after meeting the other climber",Addition
129,"If a class collects $155 toward a fundraising goal of $775, what fraction represents the class's progress toward its goal?",Division
130,Solve X + 25 = 36,Addition
131,A craftsman makes miniature replicas of Victorian furniture. The scale model of a table that he made is 3 inches long. The full-size table is 36 inches long. What is the models scale?,Division
132,Suppose 75% of 6-year-olds weigh under 46 lb. How many 6-yearolds would you expect to weigh under 46 lb in a class of 32 age-six first-graders?,Multiplication
133,0.9% of 116,Multiplication
134,suppose you and a friend are working for a nursery planting trees. Together you can plant 8 trees per hour. What is the greatest number of hours you and your friend would need to plant at most 40 trees?,Division
135,What is 25% of 200?,Multiplication
136,2.25 Divided by 3.,Division
137,3 divided by 4.155,Division
138,288+N=106,Addition
139,what's the grade of the slope? The road is 24 ft. the hill is 3 ft.,Division
140,45 is what percent of 66?,Multiplication
141,what is 60% of 125?,Multiplication
142,"5,682 divided by 900,854,023",Division
143,convert 2.54 cm to meters,Division
144,what is 30/80 simplified?,Division
145,m = ____ cm,Division
146,"A carjack requires a force of 110 pounds to lift a 2,500 pound car. in simplest form, what is the ratio of the car's weight to the force required to lift the car?",Division
147,one year the postage rates for sending one ounce of mail first class was increased from 25 cents to 29 cents. The percent of increase in the 29 cent postage was most nearly to? A. 14 percent B. 16 percent C. 18 percent D . 20 percent,Division
148,a spinner has regions 1 through 15 what's the probability the spinne will stop on an even # or a multiple of 3,Division
149,97.5 is 39% of what number?,Multiplication
150,"57% off of $99.99, the new cost?",Multiplication
151,"what is 100,000,000 subtracted from 2?",Subtraction
152,"re are 100 balls in a hat. 6.0 of them are RED, and 94.0 are BLACK. T ee are drawn at random with replacement . culate the expected number of red balls in 3 draws.",Multiplication
153,A cube 4 inches on each side is painted white and cut into 64 smaller cubes with equal volume. How many small cubes are painted white on exactly 2 faces.,Multiplication
154,what is 3% of 44 lbs?,Multiplication
155,Jonh purchased a CD for $15 after receiving a discount of 20%. Find the original price of the CD.,Subtraction
156,"What is the r value of the following geometric sequence? 40, 20, 10, 5,.",Division
157,Two coins are tossed 20 times and the number of tails is observed. Outcome 2 1 0. Frequency 5 12 3. Compute the empirical probability that exactly one tail occurred.,Division
158,"A survey of 21,400 people found that 1,892 stubbed a toe at least once in 2007. Based on those figures, what are the odds of someone stubbing their toe on any given day? For example, what are the odds of someone stubbing their toe tomorrow?",Division
159,15% is what number of 75?,Division
160,find the probability that is not a multiple of 3. A box contains 7 balls numbered 1 to 7 If a ball is taken at random from the box.,Division
161,find the average of four consecutive odd integers whose sum is 112. A. 25 B. 29 C. 31 D. 28 E. 30,Multiplication
162,work out a % of phone calls. take the total of calls on monday (58) and divide it by the total calls of the week (277).,Division
163,"If John scores 20% of his team's points in a basketball game, how many points does the team score if John scores 14 points? A: 66 B: 74 C: 72 D: 70",Division
164,2 to the negitive 2 power?,Subtraction
165,The world population was 4.2 billion people in 1982. The population in 1999 reached 6 billion. Find the percent of change from 1982 to 1999.,Division
166,"what is 8% of $20,000.00?",Multiplication
167,"The camp light has a switch that will allow the light to operate one, two, or all three bulbs at the same time. The batteries will last 6 hours with only one bulb burning and 3 hours with two bulbs burning. How long will the batteries last if all three bulbs are on? (Round your answer to the nearest tenth.)",Division
168,"The number which best completes the sequence1 1/2 , 5 , 10 1/2 , 18?",Addition
169,how tall in feet is 151 cm and a half?,Division
170,20 out of 30 is what percentage?,Division
171,How do you get 64 divided by 0.08?,Division
172,"You toss 3 coins. What is the probability that you get exactly 2 heads, given that you get at least one head?",Division
173,What is 30% of $50?,Multiplication
174,"If a cylinder holds a volume of 100 cm3, and is 30 cm tall, what is the area of the bottom of the cylinder?",Division
175,"what is 20 percent of 150,000?",Multiplication
176,"marion deposited 800 dollars in a savings account. one year later, the teller posted $56 in her savings book.at what rate of interest was she paid on her savings ?",Multiplication
177,what is the probability of picking an ace from a standard deck of 52 cards? A1/10 B 1/11 C.1/12 D.1/13,Division
178,What percent of 2.4 is 5.2?,Multiplication
179,"the perimeter of a square is equal to 4s, where s is the length of one side. If the value of s is 7 feet, find the perimeter of the square.",Multiplication
180,what is 18% of $225?,Multiplication
181,"culate the percentage of 15, 88 of the number 91, 28 -",Division
182,"this is the question. 35.3 g= mass. 1.60g/cm cubed , i have to find the volume?",Division
183,How old would a 13 year old be if they lived on Jupiter? 1 Jupiter year = 12 Earth years,Division
184,"re are some sweets in a bag 18 of the sweats are toffees, 12 of the sweets are mints write down the ratio of the number of toffees to the number of mints give your ratio in the simplest form",Division
185,"t is the number of numbers that can be made from the numbers two and three such that the number contains 4 digits. 3, 2323, 2332, 3322, 3232, 3223",Subtraction
186,"jan, ellen, rob, heather, and chris are finalists in a contest. the contest has prizes for 1st and 2nd place. how many different ways can the prizes be awarded?",Multiplication
187,You need 2.50lb of meat that sells for $2.70/lb. Use this price to determine a factor to calculate the cost of the meat you need.,Multiplication
188,"the middle of the golf course there is a large storage lake, which is used to water the golf course. if the surface area of the lake is 550 square metre and the average depth is 2.5 metres, what is the volume of the lake??",Multiplication
189,The bottom area of a box is cm2 sand it iecm high n.gure out how much soil will the box hold (.,Multiplication
190,t number gives the same result when multiplyed by 6 as it does when 6 is added to it? a,Addition
191,"If there is a possible total score of 740 points and a student has 694.4, what is their total percentage score?",Division
192,What is 30% of $150.00?,Multiplication
193,Find the area of a rectangle if its length measures 12 centimeters and its width measures 14 centimeters?,Multiplication
194,"Sterling silver is composed of 92.5% silver and 7.5 % copper. If a sterling silver ring was found to contain 6.55 g of silver, what is the mass of the ring?",Division
195,"what is 4,000,000 divided by 12?",Division
196,the perimeter of an rectangle is 24 cm ( 9 length and 3 width) what is the area of this rectangle?,Multiplication
197,42 is 60% of what number?,Multiplication
198,How much is 1.8 minutes?,Multiplication
199,What is 15 over 24 in simplest form?,Division
200,sales force of a business consists of 10 men and 10 women . A production unit of 6 people is set up at random .WatWis the probability that it will consist of all men ?,Division
201,what is 6 divide by 131?,Division
202,"There were 2 identical flights of steps. For the first flight of steps, Sam walked up some steps and ran 7 steps in 67 seconds. For the 2nd flight of steps, Sam walked up some steps and ran 5 steps in 43conds. How long will Sam take to walk up both flights of steps?",Addition
203,What is 20% of $21.46?,Multiplication
204,"A portable hair dryer plugged into a 110 V outlet, has a current of 10 A flowing through it. What is the power rating of the hair dryer?",Multiplication
205,"Emily weighed 10.6 stone at 26 before she got married, 3 years later and two days after her wedding she weighed 8.4 stone, how much weight has she lost in total.",Subtraction
206,"the distance around the equator of Neptune is about 154,566 kilometers. What is the equatorial diameter of Neptune? Use 3.14 for pi. A. 49,225km B. 24,612.5km C. 49,212km D. 24,627.5km",Multiplication
207,12 7/50 change to decimal?,Division
208,use 1.7 as the square root of 3 what is the area of equilateral triangle abc with a base of 12 miles?,Multiplication
209,Amy weighs 180 pounds. After 1 week she weighs 165 pounds. What is the percent in change? eed 2 find d % in chang freom 180 to 150.,Division
210,"If I have sent out 50 questionnaires, and 30 came back, what would be my response rate in %.",Division
211,"y 12% of an iceberg's mass is above water. If the mass above water is 9,000,000 kg, what is the mass of the entire iceberg?",Multiplication
212,The side of a regular pentagon is 12 cm. Find the perimeter. The perimeter is: A. 60 cm B. 72 cm C. 30 cm D. 36 cm,Multiplication
213,what is the value of (-5) 2?,Subtraction
214,"owners of SUperb Coffee want to buy 100 bags of coffee from Great Aroma. They take a sample of 10 bags and agree to buy the consignment if, at most, 1 bag in the sample fails to meet their exacting quality requirement. Great Aroma knows that 10% of the total consigment will not meet their requirements. What is the probability that they will buy the consigment?",Multiplication
215,"Probability? ix married couples are standing in a room. if 2 people are chosen at random, find the probability that one is male and the other is female a. 1/3 b. 6/11 c. 1/11 d. 16/33",Division
216,how do i find the perimeter when the area equals 96 yd2 of a rectangle. To the side of the rectangle the measure ment is 12 yd and the base is the letter b?,Multiplication
217,Find the area of a rectangle that is 7.5 cm long and 4 cm wide. 30 sq. cm 3.5 sq. cm 11.5 sq. cm 1.875 sq. cm,Multiplication
218,tiply- (ö_3 + ö_5)(ö_3 - ö_5),Subtraction
219,convert 1.87 grams to mg? A.7mg B ..187mg C 8.70mg D 8..7mg,Multiplication
220,is 2/66 in simplest form?,Division
221,"solve. Round the tenth if necessary. bonnie rae spent 15% of her savings on textbooks. If her savings were 0,Fin f the amount that she spent on text books. $80 b.$84 c $90 d.$94",Multiplication
222,"ompany uses printer cartridges from three manufacturers. Manufacturers A, B, and C supply, respectively, 60%, 30% and 10% of the companys cartridges. 1% of cartridges from A, 2% from B, and 3% from C are defective. If a cartridge is randomly chosen and found to be defective, what is the probability that it is from manufacturer B?",Division
223,multiply. (7 + sqrt 3) (7 - sqrt 3)?,Subtraction
224,4702 days= how many years?,Division
225,of a sum of money is å£24$ find the sum of money? .,Division
226,"'s parents have agreed to lend him 60 % of the cost of buying a second hand car. If joe still has to find $328 himself, how much does the car cost?",Division
227,"Maria takes 6 classes. In 5 of those classes, she has an A. Write a fraction to describe the fraction of classes in which she has an A.",Division
228,What is 6/10 in decimal form?,Division
229,.6 is 32% of what number?,Multiplication
230,"If you roll a pair of 6-side dice twice, what is the probability of rolling a combined 5 AND then a combined 8?",Division
231,"res 2 right triangles, one is small the other is big. the small triangle's base is 2met ers and the diagonal part is 3met ers. the big triangle's base is the variable N and the diagonal part is 12met ers. Solve for N. Pl",Multiplication
232,"If I have 2 strings, 1 is 2 yds long and the other is 5.5 ft long, how many inches of string do I have?",Addition
233,What percent of 72 is 25?,Division
234,what is the domain and range of 18x^(2)-20?,Subtraction
235,A rectangle has a perimeter of 30 cm? t would be the new perimeter if the length and width of the rectangle is doubled in size? A.18 cm B.120 cm C.36 cm D.60 cm,Multiplication
236,"If this person has 40kg of something and gave 32kg away, what fraction is it?d whole question reads: oan had 40kg of rice. She gave 32kg of them to Mary. What fraction of rice was given to Mary?",Division
237,"-7,-4,-, 6, 11, 14, 13, 8, 2, ÛÒ4,-8 -",Division
238,Solve for | -4.6 -8.3 |? 12.9 B. -12.9 C. 3.7 D. -3.7,Addition
239,W,Division
240,whats 8.2(10)?,Multiplication
241,What is 0.1 of 180??,Multiplication
242,Subtract. Write your answer as a mixed number in simplest form. 6 1/9 - 1 7/9?,Subtraction
243,"what is the lowest common multiple of 12, 24, and 26?",Multiplication
244,k so i have to find the lcm of 2 and 5 using prime factorization mode,Multiplication
245,,Division
246,"what is 75% OF 40,000?",Multiplication
247,"he perimeter of a rectangular garden is 302 feet. If the width of the garden is 67 feet, what is its length?",Addition
248,Find 19 percent of 152?,Multiplication
249,Convert 30 g/L to the unit g/mL?,Division
250,tudent counts the number of waves passing a lighthouse. The student counts 15 waves passing the lighthouse in 10 seconds. what is the is the frequency of these waves? A5 METERS/ SECONDS B.5 HERTZ C..5 HERTZ D150 METERS / SECOND,Division
251,H,Subtraction
252,,Division
253,t is the LCM of 88 and 12. I,Multiplication
254,"Iou have a circle with C as its center, and B as a point outside of the circle, and A as a point on the circle, and AC is 12, and AB is 16, and the portion of BC from B to the circle is 8, how do you figure out BC? ..",Addition
255,"Mr. Chaplin sells a car for $ 35,000.00. If he earns a commission of 4%, how much money does he earn? (A) $1,000.00 (B)$2,000.00 (C)$1,400.00 (D)$1,600.00",Multiplication
256,"5 chips numbered 1, 2, 3, 4, 5 are in a line. What's the probability that the 5 digit number is a multiple of 6?",Division
257,Find the base of the parallelogram if the area is 120 in2 and the height is 8 inches.,Multiplication
258,"tudent is 18 years of age in 1995 when he is attending the 12th grade, how old is he now after 12 years? Is",Addition
259,"We spent 296 dollars total. Roomie A spent 238 dollars. Roomie B spent 58 dollars. Roomie C spent 0 dollars. If the total cost is to be split evenly 3 ways (which is like 98.something each), how much does Roomie B and Roomie C owe Roomie A?",Division
260,"There are two boxes box 1 has 1 red ball, 1 green ball, and 1 blue ball box 2 has 2 red balls, and 1 blue ball to win the game you must get a blue and a red ball you must pick from box 1 first then pick from box 2 what is the probability of winning?",Division
261,Change the fraction 13/20 to a decimal? (A)0.015 (B)0.15 (C)0.065 (D) 0.65,Division
262,"If you have 21.50, 26.70, 20.50, 28.15, what is the average?",Division
263,What is 3% of 700?,Multiplication
264,"Ive just been transferring balances to my 0% credit card, and saw i had to leave 95% of my credit limit free. Can someone please tell me what 95% of å£3,$00 is?",Multiplication
265,169,Multiplication
266,"Mrs. Fleming bought a freezer. It is 4 feet long, 2 feet wide, and has a volume of 36 cubic feet. What is the freezers height?",Division
267,"red missed a class test. His teacher, Mr Happy, knows that Alfred usually scores 1.6 standard deviations above the class mean. For the test that Alfred missed, the class mean was 18 and the standard deviation was 4. If Mr Happy is going to give Alfred a mark based on his standard score, what mark should Alfred receive?",Addition
268,500 billion divided by 135 million?,Division
269,2/3% of 24$ is what?,Multiplication
270,(-2),Addition
271,te 275% and 5% as equivalent decimals,Division
272,"What are odd numbers? ( ),5 ,7 o(B),6 ,8 ?",Division
273,"Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, .? Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, ..",Addition
274,What is 41 percent of 25 question?,Multiplication
275,#NAME?,Addition
276,ermine to the correct number of significant figures the mass (g) of nickel in a 78.3 g sample of a mineral that is 91.04% nickel by mass.,Multiplication
277,Find the percentage; 130% of 70. 2.1 b.21 c 9.1 d.91,Multiplication
278,What's 1.7 as a percentage of 5.5?,Division
279,"What is 28% of 309,000,000?",Multiplication
280,is 30% of what number i?,Multiplication
281,"Which combination of numbers in this group has the highest value?m+ (-4), 4*|-2|, -4 * |2|, or | -4 | * (-2)",Multiplication
282,"nda is training to be a volunteer at her library. She wonders what the probability is that the first item she'll get to check out for a customer will be a video. So, on her first day of training, she tracks what items are checked out. The results are shown here in a tally chart. OKS: 37 Vieos:28 Maazines:19",Division
283,What percent of 18 is 0.5?,Division
284,How many ft is 146cm?,Division
285,How can i find the angle of a sector in radians. The radius of the sector is 5cm. The Arc Length is 8.4cm.,Multiplication
286,"Each of the five identical cards is numbered on one of its sides with a different integer from 1 to 5. Tcards are turned over and then shuffled so that they are not in a predictable order. If the two cards are selected at random without replacement, what is the probability that thei sum is at least 8?",Division
287,In how many ways can a club of 20 members choose a president and a vice president?,Multiplication
288,I have $30. And I invest that money make 2 tshrts for someone. And than I charge that person $50 for the 2 shirts. So I'm making a $20 profit right? But I originally put $30 into it. So I'm making less than what I put into it. But at the end I have $50 from the customer. Obviously it seems like im making money but at the same time losing? So am I making a profit?,Subtraction
289,Andy walks 36.6 miles with his mother to earn money for charity. they walk 12.2 miles a day. How many days do they walk? A.2.5 days B.3 days C.3.2 days D.3.5 days,Division
290,"ave 20 rupees. I bought 1, 2, 5 rupee stamps. They are different in numbers by the reason of no change, the shop keeper gives 3 one rupee stamps. So how many stamp(s) I have.?",Subtraction
291,"W is the average of 50 77, 80, and 80?",Division
292,W is 20% of $306???,Multiplication
293,"weights of 10 apples picked at random from a box of apples were found to be: 6 ounces, 8 ounces, 9 ounces, 8 ounces, 6 ounces, 4 ounces, 6 ounces, 6 ounces, 9 ounces, and 11 ounces. Find the mean weight.",Division
294,F the quotient of 24 and 9 to two decimal places.,Division
295,"henry can paint a wall in 20 minutes and peter can paint the same wall in 30 minutes, how much of the wall can henry and peter paint if they work together for 1 minute?",Division
296,"ardo has 6 colors of fabric, red bl,ue green yellow orange and white . Hlans to make flags using 2 colors, how many possible combinations of 2 colors can he choose. ?",Multiplication
297,What is 8/21 in decimal form?,Division
298,"Suppose Ruth Ann has 4 routes she can choose from to get from school to the library, and 6 routes from the library to her home. How many routes are there from Ruth Ann's school to her home with a stop at the library? A. 16 B. 36 C. 24 D. 360",Multiplication
299,"I got a 47 out of 50 on an exam, what is my percentage grade out of 100?",Division
300,What is the probability of rolling a 3 on two consecutive rolls of a fair die? Round your answer to the nearest hundredth? A. 0.01 ) ( B. 0.03 ) ( C. 0.13 ) ( D 0.17 ),Division
301,t would the percent change be? Final mass 1.00 Initial mass 0.92 S,Division
302,"O number line, there are 9 equal intervals between 0 and 1. if the square rot of x is on the sixth dash of the number line going from 0 to 1, what is the value of x ?",Multiplication
303,"Can you find the slope of the line that passes through the points (-6, -4) and (-2, 5)?",Division
304,"if i have two essays, one worth 30% and the other 70%. The pass mark is 40% but i have got 0 for the 30% essay leaving just the 70% essay to pass of. Is it possible to pass ? and if the 70% essay is out of 100, what mark would i need?",Multiplication
305,write 0.36 as a fraction?,Division
306,What is 10 with exponet of 7 divided by 10?,Subtraction
307,What's 8.75% of $45?,Multiplication
308,"A man and a woman shared a lucky draw prize of $6000 in the ratio 2 : 3. The woman divides her part of the share among her mother, her two daughters and herself in the ratio 3 : 1 : 1 : 5. How much will her mother got?",Multiplication
309,is 60% of what number ? I,Multiplication
310,t is 16% of 50?,Multiplication
311,"the blueprint of a house, 33 millimeters represents 6 meters. The actual length of the living room is 5 meters. What is its length on the blueprint?",Multiplication
312,have to fill in the missing blanks. 3 7 13 21 ? 5 20 51 104 ?,Addition
313,"abel on a soup can is unrolled to form a rectangle. If the rectangle has an area of 144cm2 and a height of 12 cm, what is the circumference of the can?",Division
314,"Write a linear equation for a line that goes through (5, -8) and (-9, -8).",Addition
315,"What's the next number?? 1, 2, 6, 42, 1806, ?",Multiplication
316,135 is what percentage of 150? Okay if something is 150 and is now 135 what is the percentage of loss?,Division
317,"What is 36,753 divided by 107?",Division
318,174 is what percent of 600?,Multiplication
319,"tie drives a gas tanker truck. Gertie's truck holds 1000 gallons of gas, which includes the gas necessary to operate the truck. Gerties truck is a gas guzzler and gets a galloping one mile per gallon. She needs to transport 3000 gallons of gas to a Galveston gas station 1000 miles away. She can store gas along the way as necessary to retrieve at a later time, but can't purchase any additional gas. What is the largest amount of gas Gertie can get to Galveston?",Division
320,"Ive exams tomorrow and they are worth 20% of my overall grade. if i have a 77 wh,at do i need to get on the exam to get at least an 80 as my final grade? t",Addition
321,monique plans to decorate a rectangular flag with 4-inch square patches. The flag is 5 feet long and 4 feet wide. How many patches does it take?,Multiplication
322,"cost of making an article was increased and was divided b/w materials,wag es & overheads in the ratio 1:4: 5 . article was sold for $9.20, with a profit of 15%. Calculate the cost of making an article.",Division
323,"What is 10% of $3,860.26?",Multiplication
324,"What is 38.8% of 9,144?",Multiplication
325,lim x-->0 (x*sin(x)) / (1 - cos(x)),Division
326,Probability of 2 dice sums equalling odd?,Division
327,"If you typed 225 words in 7 and a half minutes, how many words are you averaging per minute?",Division
328,he cost of building a bridge in 1995 was estimated to be å£$4 million. When it was finally completed in 1998 it's total cost amounted to $37.7 million. What was the percentage increase?,Division
329,What is the perimeter of a square that has the same area as a 2-inch by 8-inch rectangle?,Multiplication
330,What is the original price before the 60% decrease if the new price is 840$?,Multiplication
331,What is 18/20 as percent? a.90% b.85% c.80% d.75%,Division
332,"ay I started with a full tank of gas and I traveled 120 miles (mostly freeway). A the end, I used up 4.79 gallons. Ga much mpg does my car get and how do I calculate it?",Division
333,"There are total 90 boxes, and there is a gold box that you want to open. and you have 30 chances to open any boxes. Then what's the probability of getting the gold box?",Division
334,"a chemical is 42% pure. of 800 grams of the chemical, how much is pure?",Multiplication
335,armer wishes to enclose a rectangular field of area 450 ft using an existing wall as one of the sides. The cost of the fence for the other 3 sides is $3 per foot. Find the dimensions that minimize the cost of the fence.,Division
336,0.63 is equal to? .63% b 6.3% c.3% d630%,Division
