,phrase,sig_label
149,Annie starts with and spends $7.00,1
150,$7.70 and spends on cards. Linda,1
151,cards. Linda spends on cards. How,0
152,Barbara earned working. Jack works,1
153,store and earns perhour. If she,0
154,"she worked for hours, how much",1
155,Alice has Rachel has $9.84.,1
156,$19.00. Rachel has Phyllis has $19.00.,1
157,Alice has Rachel has $9.84.,1
158,Each crayon costs and each pencil,1
159,each pencil costs How much do,0
160,How much do crayons cost?,1
161,Willie earns per hour working.,1
162,wants to earn to buy candies.,0
163,"Willie worked for hours, how much",1
164,Janet spends on oranges. Ashley,1
165,oranges. Ashley buys oranges. Each orange,0
166,Janet spends on oranges. Ashley,1
167,Jesse has erasers cost $8.00,1
168,$64.00. erasers cost each. pencils cost,1
169,each. pencils cost each. How many,0
170,Tina has Louis gives with,0
171,Louis gives with to Tina. If,1
172,Louis started with how much money,1
173,Chris has Karen has $2.58.,1
174,$77.00. Karen has Amy has $8.00.,1
175,$2.58. Amy has How much more,0
176,Carol starts with and spends $27.16,1
177,$98.00 and spends on marbles. Russell,1
178,marbles. Russell spends on marbles. How,0
179,Catherine has Judith gives with,0
180,Judith gives with to Catherine. If,1
181,Judith started with how much money,1
182,Lillian has Sandra gives with,0
183,Sandra gives with to Lillian. If,1
184,Sandra started with how much money,1
185,William has crayons cost $6.00,1
186,$12.00. crayons cost each. oranges cost,1
187,each. oranges cost each. How many,0
188,Maria has erasers cost $5.00,1
189,$300.00. erasers cost each. tickets cost,1
190,each. tickets cost each. How many,0
191,Michael has Lawrence has $3.69.,1
192,$37.00. Lawrence has Kathleen has $4.00.,1
193,$3.69. Kathleen has How much more,0
194,Clarence earns per hour working.,1
195,Hewants to earn to buy marbles.,0
196,"Clarence worked for hours, how much",1
197,worked to earn Ronald worked for,1
198,Ronald worked for hours. If he,0
199,"If he earns per hour, how",1
200,worked to earn Steven worked for,1
201,Steven worked for hours. If she,0
202,"If she earns per hour, how",1
203,Sara has Doris has $2.46.,1
204,$11.00. Doris has Adam has $7.00.,1
205,$2.46. Adam has How much more,0
206,Jerry has Pamela gives with,0
207,Pamela gives with to Jerry. If,1
208,Pamela started with how much money,1
209,Brian has Susan has $8.00.,1
210,$9.50. Susan has Barbarahas $17.00. How,1
211,has $8.00. Barbarahas How much more,0
212,Christopher has Michael has $2.00.,1
213,$3.34. Michael has Jeffrey has $11.00.,1
214,$2.00. Jeffrey has How much more,0
215,Ryan starts with and spends $54.15,1
216,$73.00 and spends on peanuts. Christopher,1
217,peanuts. Christopher spends on peanuts. How,0
218,worked to earn Sara worked for,1
219,Sara worked for hours. If she,0
220,"If she earns per hour, how",1
221,Each egg costs and each crayon,1
222,and each crayon How much do,0
223,How much do eggs cost?,1
224,Each apple costs and each block,1
225,each block costs How much do,0
226,How much do apples cost?,1
227,Edward has James has $2.00.,1
228,$3.01. James has Brianhas $5.00. How,1
229,has $2.00. Brianhas How much more,0
230,Lisa earns per hour working.,1
231,wants to earn to buy stickers.,0
232,"Lisa worked for hours, how much",1
233,Richard earns per hour working.,1
234,wants to earn to buy cards.,0
235,"Richard worked for hours, how much",1
236,William spends on candies. Evelyn,1
237,candies. Evelyn buys candies. Each candy,0
238,Each candy costs many candies did,1
239,Joshua spends on stickers. Emily,1
240,stickers. Emily buys stickers. Each sticker,0
241,Each sticker costs How many stickers,1
242,Justin starts with and spends $6.60,1
243,$48.01 and spends on pencils. Todd,1
244,pencils. Todd spends on pencils. How,0
245,Bruce earns per hour working.,1
246,wants to earn to buy Skittles.,0
247,"Bruce worked for hours, how much",1
248,Irene spends on erasers. Kathryn,1
249,Irene spends on erasers. Kathryn,1
250,erasers. Kathryn buys erasers. Each eraser,0
251,Each eraser costs many erasers did,1
252,Ruby has Skittles cost $4.52,1
253,$411.32. Skittles cost each. peanuts cost,1
254,each. peanuts cost each. How many,0
255,Roger has Charles has $41.49.,1
256,$97.75. Charles has Alanhas $13.00. How,1
257,has $41.49. Alanhas How much more,0
258,Dorothy has Andrea has $3.48.,1
259,$55.46. Andrea has Janehas $16.00. How,1
260,has $3.48. Janehas How much more,0
261,Stephen earns per hour working.,1
262,wants to earn to buy marbles.,0
263,"Stephen worked for hours, how much",1
264,Alice earns per hour working.,1
265,wants to earn to buy cards.,0
266,"Alice worked for hours, how much",1
267,Michael has Mary has $2.06.,1
268,$52.24. Mary has Thomas has $3.00.,1
269,$2.06. Thomas has How much more,0
270,Jason has Marie has $2.66.,1
271,$17.30. Marie has Joshua has $6.00.,1
272,$2.66. Joshua has How much more,0
273,Stephanie starts with and spends $26.72,1
274,$55.08 and spends on eggs. Kathryn,1
275,eggs. Kathryn spends oneggs. How much,0
276,Anne has Sara has $6.64.,1
277,$17.57. Sara has Douglas has $12.00.,1
278,$6.64. Douglas has How much more,0
279,Each marble costs and each card,1
280,each card costs How much do,0
281,How much do marbles cost?,1
282,Bonnie has eggs cost $47.31,1
283,Bonnie has eggs cost $47.31,1
284,"$4,589.07. eggs cost each. erasers cost",1
285,each. erasers cost each. How many,0
286,Lawrence starts with and spends $37.45,1
287,$73.81 and spends on stickers. Andrea,1
288,stickers. Andrea spends stickers. How much,0
289,Each candy costs and each peanut,1
290,each peanut costs How much do,0
291,How much do candies cost?,1
292,worked to earn Stephanie worked for,1
293,worked to earn Stephanie worked for,1
294,Stephanie worked for hours. If she,0
295,"If she earns per hour, how",1
296,Joe starts with and spends $3.77,1
297,$44.30 and spends on peanuts. Christina,1
298,peanuts. Christina spends on peanuts. How,0
299,Each egg costs and each bottle,1
300,bottle cap costs How much do,0
301,How much do eggs cost?,1
302,James starts with and spends $5.29on,1
303,$63.46 and spends marbles. Theresa spends,1
304,marbles. Theresa spends on marbles. How,0
305,Each candy costs and each orange,1
306,each orange costs How much do,0
307,How much do candies cost?,1
308,Chris starts with and spends $37.55,1
309,$51.82 and spends on peanuts. Katherine,1
310,peanuts. Katherine spends on peanuts. How,0
311,Peter has Lawrence has $7.02.,1
312,$22.03. Lawrence has Willie has $10.00.,1
313,$7.02. Willie has How much more,0
314,Katherine has Carl has $5.11.,1
315,$38.81. Carl has Larry has $8.00.,1
316,$5.11. Larry has How much more,0
317,Beverly has Skittles cost $8.99,1
318,$692.23. Skittles cost each. peanuts cost,1
319,each. peanuts cost each. How many,0
320,Joshua has Dorothy has $45.79.,1
321,$80.91. Dorothy has Heather has $5.00.,1
322,$45.79. Heather has How much more,0
323,Judith has Nancy gives with,0
324,Nancy gives with to Judith. If,1
325,Nancy started with how much money,1
326,Helen has Joshua has $40.48.,1
327,$86.92. Joshua has Kimberly has $10.00.,1
328,$40.48. Kimberly has How much more,0
329,Louise starts with and spends $4.65on,1
330,$47.61 and spends stickers. Kenneth spends,1
331,stickers. Kenneth spends on stickers. How,0
332,Thomas starts with and spends $34.16,1
333,$70.97 and spends on oranges. Christina,1
334,oranges. Christina spends on oranges. How,0
335,Beverly has Bridget gives with,0
336,Bridget gives with to Beverly. If,1
337,Bridget started with how much money,1
338,Margaret has Bonnie gives with,0
339,Bonnie gives with to Margaret. If,1
340,Bonnie started with how much money,1
341,Kimberly has Edward gives with,0
342,Edward gives with to Kimberly. If,1
343,Edward started with how much money,1
344,Jeffrey has Carlos has $3.72.,1
345,$98.99. Carlos has Alanhas $7.00. How,1
346,has $3.72. Alanhas How much more,0
347,Ralph starts with and spends $26.19on,1
348,$72.57 and spends tickets. Fred spends,1
349,tickets. Fred spends on tickets.How much,0
350,worked to earn William worked for,1
351,William worked for hours. If he,0
352,"If he earns per hour, how",1
353,Edward has stickers. He finds,1
354,"He finds another Later, Edward buys",1
355,"Later, Edward buys oranges at the",0
356,Sarah has bottle caps. Sara,1
357,Sarah has bottle caps. Sara,1
358,Sara finds another How many bottle,1
359,Jacqueline collects eggs. Jacqueline's father,1
360,father gives Jacqueline more. Andrew has,1
361,more. Andrew has candies. How many,0
362,There are bottle caps in,1
363,package of 8. bottle caps are,1
364,package of 8. bottle caps are,1
365,Shawn has marbles. Brenda gives,1
366,"Brenda gives Shawn more. Later, Shawn",1
367,"Later, Shawn buys pencils at the",0
368,Kelly has oranges. Howard has,0
369,Howard has with oranges. Howard finds,1
370,Howard finds another How many oranges,1
371,Bruce has bottle caps. Jessica,0
372,Jessica has with bottle caps. Jessica,1
373,Jessica finds another How many bottle,1
374,Steven has stickers. Marie has,0
375,Marie has with stickers. Marie finds,1
376,Marie finds another How many stickers,1
377,Kevin has marbles. Terry has,1
378,marbles. Terry has marbles.If Terry gives,1
379,There are pencils in a,1
380,a package of 7 pencils are,0
381,There are pencils in a,1
382,Steven has marbles. Jeffrey has,0
383,Jeffrey has with marbles. Jeffrey finds,1
384,Jeffrey finds another How many marbles,1
385,Ralph has apples. Phillip has,1
386,apples. Phillip has apples.If Phillip gives,1
387,Jerry has bottle caps. He,1
388,"caps. He buys more. Later, Jerry",1
389,"Later, Jerry buys stickers at the",0
390,Albert has Skittles. He finds,1
391,"He finds another Later, Albert buys",1
392,"Later, Albert buys cards at the",0
393,Ernest has oranges. Ruby has,1
394,Ernest has oranges. Ruby has,1
395,Julie has pencils. Beverly has,1
396,Beverly has with pencils. Beverly finds,1
397,Beverly has with pencils. Beverly finds,1
398,Jerry has bottle caps. He,1
399,"caps. He buys more. Later, Jerry",1
400,"Later, Jerry buys stickers at the",0
401,There are erasers in a,1
402,a package of 4 erasers are,0
403,package of 12. erasers are added,1
404,Louis collects pencils. Louis's father,1
405,father gives Louis more. Joshua has,1
406,more. Joshua has tickets. How many,0
407,Carol collects marbles. Carol's father,1
408,father gives Carol more. Lori has,1
409,more. Lori has Skittles.How many marbles,0
410,Kathleen collects erasers. Kathleen's father,1
411,father gives Kathleen more. Kathy has,1
412,more. Kathy has eggs. How many,0
413,Nathan has eggs. Anne has,0
414,Anne has with eggs. Anne finds,1
415,Anne finds another How many eggs,1
416,Annie has bananas. She finds,1
417,She finds another Annie buys 9,1
418,"6.Later, Annie buys bottle caps at",0
419,Bobby collects blocks. Bobby's father,1
420,father gives Bobby more. Paula has,1
421,more. Paula has bananas. How many,0
422,Phillip has stickers. Anthony has,1
423,stickers. Anthony has stickers. If Anthony,1
424,Raymond collects oranges. Raymond's father,1
425,father gives Raymond more. Jeremy has,1
426,more. Jeremy has erasers. How many,0
427,There are bottle caps in,1
428,a package of 37 bottle caps,0
429,package of 10. bottle caps are,1
430,Robert has bananas. He buys,1
431,"bananas. He buys more. Later, Robert",1
432,"Later, Robert buys tickets at the",0
433,Jeffrey has candies. Robert has,0
434,Robert has with candies. Robert finds,1
435,Robert finds another How many candies,1
436,There are cards in a,1
437,a package of 44 cards are,0
438,package of 15. cards are added,1
439,Patricia collects candies. Patricia's father,1
440,father gives Patricia more. Gary has,1
441,more. Gary has crayons. How many,0
442,Arthur collects oranges. Arthur's father,1
443,father gives Arthur more. Carol has,1
444,more. Carol has candies. How many,1
445,Carol has Skittles. Jeremy has,1
446,Jeremy has with Skittles. Jeremy finds,1
447,Carol has Skittles. Jeremy has,1
448,Louise has bananas. Clarence gives,1
449,"Clarence gives Louise more. Later, Louise",1
450,"Later, Louise buys blocks at the",0
451,Christopher collects tickets. Christopher's father,1
452,father gives Christopher more. Susan has,1
453,more. Susan has cards. How many,0
454,Stephanie has apples. Carolyn has,1
455,apples. Carolyn has apples. If Carolyn,1
456,Jerry has Skittles. He finds,1
457,"He finds another Later, Jerry buys",1
458,"Later, Jerry buys bottle caps at",0
459,Joyce has pencils. Barbara has,0
460,Barbara has with pencils. Barbara finds,1
461,Barbara finds another How many pencils,1
462,Julie has cards. Janet has,1
463,cards. Janet has cards. If Janet,1
464,Keith has apples. Marie has,0
465,Marie has with apples. Marie finds,1
466,Marie has with apples. Marie finds,1
467,Wayne has candies. Bonnie has,0
468,Bonnie has with candies. Bonnie finds,1
469,Bonnie finds another How many candies,1
470,Diane has oranges. Christopher has,1
471,Diane has oranges. Christopher has,1
472,Christopher finds another How many oranges,1
473,There are blocks in a,1
474,There are blocks in a,1
475,package of 7. blocks are added,1
476,Matthew has bananas. Julia gives,1
477,"Julia gives Matthew more. Later, Matthew",1
478,"Later, Matthew buys cards at the",0
479,Helen collects Skittles. Helen's father,1
480,father gives Helen more. Christina has,1
481,more. Christina has bottle caps. How,0
482,There are tickets in a,1
483,a package of 72 tickets are,0
484,package of 4. tickets are added,1
485,There are crayons in a,1
486,a package of 4 crayons are,0
487,package of 15. crayons are added,1
488,Nicole collects Skittles. Nicole's father,1
489,father gives Nicole more. William has,1
490,more. William has peanuts. How many,0
491,Michael has blocks. Edward has,0
492,Edward has with blocks. Edward finds,1
493,Edward finds another How many blocks,1
494,Janice has pencils. Nancy has,1
495,pencils. Nancy has pencils. If Nancy,1
496,Bridget has candies. Edward has,1
497,candies. Edward has candies. If Edward,1
498,Louise has Skittles. Nicholas gives,1
499,"Nicholas gives Louise more. Later, Louise",1
500,"Later, Louise buys bananas at the",0
501,Juan has bottle caps. Amy,0
502,Amy has with bottle caps. Amy,1
503,Amy finds another How many bottle,1
504,Marilyn collects bottle caps. Marilyn's,1
505,father gives Marilyn more. Justin has,1
506,more. Justin has pencils. How many,0
507,Larry has oranges. Carolyn has,0
508,Carolyn has with Carolyn finds another,1
509,Carolyn finds another How many oranges,1
510,Nicholas has stickers. Marvin has,0
511,Marvin has with stickers. Marvin finds,1
512,Marvin finds another How many stickers,1
513,Barbara has apples. Jennifer has,1
514,apples. Jennifer has apples. If Jennifer,1
515,Louis has oranges. Nancy has,0
516,Nancy has with oranges. Nancy finds,1
517,Nancy finds another How many oranges,1
518,There are candies in a,1
519,a package of candies are added,0
520,Ruby has stickers. Judy has,1
521,Judy has with stickers. Judy finds,1
522,Judy finds another How many stickers,1
523,Bobby has pencils. Debra has,0
524,Debra has with pencils. Debra finds,1
525,Debra finds another How many pencils,1
526,Lillian has bananas. She gets,1
527,bananas. She gets more from Rachel.,1
528,"Later, Lillian buys bottle caps at",0
529,Frank has apples. He gets,1
530,apples. He gets more from Patricia.,1
531,"Later, Frank buys oranges at the",0
532,Douglas collects peanuts. Douglas's father,1
533,father gives Douglas more. Louis has,1
534,more. Louis has cards. How many,0
535,There are marbles in a,1
536,a package of 56 marbles are,0
537,package of 6. marbles are added,1
538,Steve has crayons. He gets,1
539,crayons. He gets more from Pamela.,1
540,Steve has crayons. He gets,1
541,Donald has crayons. He gets,1
542,crayons. He gets more from Roy.,1
543,"Later, Donald buys candies at the",0
544,Debra collects cards. Debra's father,1
545,father gives Debra more. Virginia has,1
546,more. Virginia has peanuts. How many,0
547,There are bottle caps in,1
548,a package of 90 bottle caps,0
549,package of 13. bottle caps are,1
550,Brandon collects bananas. Brandon's father,1
551,father gives Brandon more. Emily has,1
552,more. Emily has apples. How many,0
553,There are crayons in a,1
554,There are crayons in a,1
555,package of 7. crayons are added,1
556,Earl has erasers. Roger has,1
557,erasers. Roger has erasers. If Roger,1
558,Deborah has pencils. Jonathan has,1
559,pencils. Jonathan has pencils. If Jonathan,1
560,Nathan has apples. Terry gives,1
561,"Terry gives Nathan more. Later, Nathan",1
562,"Later, Nathan buys bananas at the",0
563,There are crayons in a,1
564,a package of 9 crayons are,0
565,package of 17. crayons are added,1
566,There are peanuts in a,1
567,a package of peanuts are added,0
568,Bonnie has apples. Russell has,1
569,apples. Russell has apples. If Russell,1
570,Cynthia collects tickets. Cynthia's father,1
571,father gives Cynthia more. Lois has,1
572,more. Lois has pencils. How many,0
573,Gerald has crayons. Cynthia has,1
574,crayons. Cynthia has crayons. If Cynthia,1
575,Anne has candies. Lisa has,1
576,candies. Lisa has candies. If Lisa,1
577,Norma collects tickets. Norma's father,1
578,father gives Norma more. Eugene has,1
579,more. Eugene has marbles. How many,0
580,Jacqueline collects tickets. Jacqueline's father,1
581,father gives Jacqueline more. Samuel has,1
582,more. Samuel has marbles. How many,0
583,Margaret has erasers. Andrew has,0
584,Andrew has with erasers. Andrew finds,1
585,Andrew finds another How many erasers,1
586,Marilyn has bottle caps. She,1
587,caps. She gets more from Shirley.,1
588,"Later, Marilyn buys crayons at the",0
589,Bobby has peanuts. Jean has,1
590,peanuts. Jean has peanuts. If Jean,1
591,Frank collects bottle caps. Frank's,1
592,father gives Frank more. Lisa has,1
593,more. Lisa has oranges. How many,0
594,There are tickets in a,1
595,a package of tickets are added,0
596,There are peanuts in a,1
597,a package of peanuts are added,0
598,Benjamin has tickets. He finds,1
599,"tickets. He finds Later, Benjamin buys",1
600,"Later, Benjamin buys erasers at thestore.",0
601,Russell has pencils. Elizabeth has,0
602,Elizabeth has with pencils. Elizabeth finds,1
603,Elizabeth finds another How many pencils,1
604,Carl has candies. Marie has,1
605,candies. Marie has candies. If Marie,1
606,There are Skittles in a,1
607,in a package 79 Skittles are,0
608,a package of12. Skittles are added,1
609,Lillian has candies. James has,0
610,James has with candies. James finds,1
611,James finds another How manycandies does,1
612,Frank weighs pounds. Michelle weighs,1
613,pounds. Michelle weighs Brian weighs 3,1
614,72pounds. Brian weighs pounds. How much,0
615,Louis starts with crayons and 9,1
616,57 crayons and oranges. 30 are,0
617,and 9 oranges. are eaten by,1
618,Edward starts with eggs and 17,1
619,93 eggs and stickers. He loses,0
620,stickers. He loses How many eggs,1
621,There are erasers in a,1
622,box. Craig has erasers in a,0
623,bag. Thomas takes erasers out of,1
624,Irene removes bananas from a,1
625,There were originally bananas and 7,1
626,59 bananas and oranges in the,0
627,Paula starts with peanuts and 7p,1
628,Paula starts with peanuts and 7p,0
629,encils. She loses How many peanuts,1
630,Jessica has eggs. Betty has,1
631,eggs. Betty has eggs. Rose takes,0
632,eggs. Rose takes away. How many,1
633,Theresa removes marbles from a,1
634,jar.There were originally marbles and 11,1
635,67 marbles and bananas in the,0
636,Philip removes Skittles from a,1
637,There were originally Skittles and 16,1
638,57 Skittles and tickets in the,0
639,Kathryn removes tickets from a,1
640,There were originally tickets and 10,1
641,87 tickets and peanuts in the,0
642,Cheryl weighs pounds. Brandon weighs,1
643,pounds. Brandon weighs Diana weighs 9,1
644,12pounds. Diana weighs pounds. How much,0
645,There are peanuts in a,1
646,box. Justin has peanuts in a,0
647,bag. Jerry takes peanuts out of,1
648,Helen weighs pounds. Ronald weighs,1
649,pounds. Ronald weighs pounds. Earl weighs,1
650,pounds. Ronald weighs pounds. Earl weighs,1
651,Diane starts with blocks and 12,1
652,24 blocks and bottle caps. She,0
653,Diane starts with blocks and 12,1
654,There are apples in a,1
655,box. Brandon has apples in a,0
656,bag. Jason takes apples out of,1
657,Juan removes bottle caps from,1
658,jar.There were originally bottle caps and,1
659,bottle caps and eggs in the,0
660,Anthony weighs pounds. Russell weighs,1
661,Anthony weighs pounds. Russell weighs,1
662,pounds. Denise weighs pounds. How much,0
663,Bridget removes tickets from a,1
664,jar.There were originally tickets and 5,1
665,56 tickets and Skittles in the,0
666,Andrew removes crayons from a,1
667,There were originally crayons and 12,1
668,69 crayons and bananas in the,0
669,Jane removes eggs from a,1
670,There were originally eggs and 14,1
671,58 eggs and stickers inthe jar.,0
672,There are tickets in a,1
673,box. William has tickets in a,0
674,bag. Angela takes tickets out of,1
675,Marilyn has marbles. Susan has,1
676,marbles. Susan has marbles. She shares,1
677,marbles. Susan has marbles. She shares,1
678,Frank has apples. Kathleen has,1
679,apples. Kathleen has apples. He gives,0
680,apples. He gives to Terry. How,1
681,There are stickers in a,1
682,box. Jerry has stickers in a,0
683,bag. William takes stickers out of,1
684,Margaret has Skittles. Anne has,1
685,Skittles. Anne has Skittles. She gives,1
686,Skittles. Anne has Skittles. She gives,1
687,Denise has marbles. Lois has,1
688,marbles. Lois has marbles. Harold takes,0
689,marbles. Harold takes away. How many,1
690,Phyllis has bananas. Elizabeth has,1
691,bananas. Elizabeth has bananas. Aaron takes,0
692,bananas. Aaron takes away. How many,1
693,Steven weighs pounds. Joseph weighs,1
694,4pounds. Phyllis weighs pounds. How much,1
695,4pounds. Phyllis weighs pounds. How much,1
696,Jeffrey removes Skittles from a,1
697,jar.There were originally Skittles and 3,1
698,Jeffrey removes Skittles from a,1
699,Scott starts with cards and 17,1
700,54 cards and bananas. He shares,0
701,bananas. He shares with Christine. How,1
702,Carol has marbles. Shawn has,1
703,marbles. Shawn has marbles. Heather takes,0
704,marbles. Heather takes away. How many,1
705,Doris removes marbles from a,1
706,There were originally marbles and 18,1
707,38 marbles and peanuts in the,0
708,Craig weighs pounds. Judith weighs,1
709,pounds. Judith weighs Diane weighs 11,1
710,4pounds. Diane weighs pounds. How much,0
711,There are Skittles in a,1
712,There are Skittles in a,0
713,bag. Carl takes Skittlesout of the,1
714,Roger starts with peanuts and 13,1
715,5 peanuts and candies. He gives,0
716,candies. He gives to Dennis. How,1
717,Margaret starts with cards and 12,1
718,98 cards and oranges. She shares,0
719,oranges. She shares with Jesse. How,1
720,Diana removes tickets from a,1
721,There were originally tickets and 17,1
722,62 tickets and oranges in the,0
723,Amy removes crayons from a,1
724,There were originally crayons and 19,1
725,69 crayons and bottle caps in,0
726,Sean removes pencils from a,1
727,There were originally pencils and 16,1
728,89 pencils and bananas in the,0
729,Brenda weighs pounds. Alan weighs,1
730,pounds. Alan weighs pounds. Victor weighs,1
731,pounds. Victor weighs pounds. How much,0
732,Marvin starts with eggs and 6,1
733,39 eggs and tickets. 8 are,0
734,and 6 tickets. are eaten by,1
735,Bobby removes pencils from a,1
736,There were originally pencils and 10,1
737,82 pencils and cards in the,0
738,Mildred removes blocks from a,1
739,There were originally blocks and 9,1
740,61 blocks and pencils in the,0
741,Marie removes bottle caps from,1
742,There were originally bottle caps and,1
743,bottle caps and tickets in the,0
744,Marilyn weighs pounds. Amanda weighs,1
745,pounds. Amanda weighs Evelyn weighs 14,1
746,9pounds. Evelyn weighs pounds. How much,0
747,Larry removes blocks from a,1
748,There were originally blocks and 4,1
749,37 blocks and oranges inthe jar.,0
750,Joshua starts with crayons and 10,1
751,94 crayons and pencils. 48 are,0
752,and 10 pencils. are eaten by,1
753,Jennifer starts with tickets and 13,1
754,89 tickets and pencils. 27 are,0
755,and 13 pencils. are eaten by,1
756,There are oranges in a,1
757,box. Jessica has oranges in a,0
758,bag. Billy takes oranges out of,1
759,Julie weighs pounds. Nathan weighs,1
760,pounds. Nathan weighs pounds. Kenneth weighs,1
761,pounds. Kenneth weighs pounds. How much,0
762,Justin removes tickets from a,1
763,There were originally tickets and 7,1
764,54 tickets and Skittles in the,0
765,Paul has pencils. Scott has,1
766,pencils. Scott has pencils. He gives,0
767,pencils. He gives to David. How,1
768,There are oranges in a,1
769,box. Margaret has oranges in a,0
770,bag. Harry takes oranges out of,1
771,Matthew weighs pounds. Bruce weighs,1
772,pounds. Bruce weighs pounds. William weighs,1
773,pounds. William weighs pounds. How much,0
774,Roger starts with marbles and 3,1
