,question,operation
55,"Kevin bought 106 watermelons . The first watermelon was 545 pounds , and the second watermelon was num pounds . How many pounds of watermelon did Kevin buy ?",Addition
56,Brennan had 407 grams of pepper . Then he used 451 grams of the pepper to make some scrambled eggs . How much pepper does Brennan have ?,Subtraction
57,"Pamela bought 272 ounces of sugar , and she spilled 327 ounces of it on the floor . How much is ?",Subtraction
58,"Marta picked 994 pumpkins . The first pumpkin weighed 888 pounds , and the second pumpkin weighed num pounds . How much did the num pumpkins weigh all together ?",Addition
59,A truck carrying 769 pounds of sand travels to a construction yard and loses 264 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ?,Subtraction
60,A carpenter bought a piece of wood that was 933 centimeters long . Then he sawed 655 centimeters off the end . How long is the piece of wood now ?,Subtraction
61,Jason found 32 seashells and 653 starfish on the beach . He gave num of the seashells to Tim . How many seashells does Jason now have ?,Subtraction
62,Mike had 813 quarters and 923 nickels in his bank . His dad borrowed num nickels from Mike . How many nickels does he have now ?,Subtraction
63,"Dan had 751 baseball cards , and 963 were torn . Sam bought num of Dan 's baseball cards . How many baseball cards does Dan have now ?",Subtraction
64,There are 827 short trees and 830 tall trees currently in the park . Park workers will plant num short trees today . How many short trees will the park have when the workers are finished ?,Addition
65,"Joan had 848 Pokemon cards , and 984 were torn . Sara bought num of Joan 's Pokemon cards . How many Pokemon cards does Joan have now ?",Subtraction
66,Sara had 611 pennies and 262 quarters in her bank . Her dad borrowed num quarters from Sara . How many quarters does she have now ?,Subtraction
67,There are 259 short bushes and 782 tall trees currently in the park . Park workers had to cut down num short bushes that were damaged . How many short bushes will the park have when the workers are finished ?,Subtraction
68,"Melanie had 750 baseball cards , and 38 were torn . Sara bought num of Melanie 's baseball cards . How many baseball cards does Melanie have now ?",Subtraction
69,"Jessica grew 368 watermelons and 302 carrots , but the rabbits ate num watermelons . How many watermelons does Jessica have ?",Subtraction
70,Nancy found 807 seashells and 522 starfish on the beach . She gave num of the seashells to Jason . How many seashells does Nancy now have ?,Subtraction
71,Joan has 550 green and 373 red marbles . Fred took num of Joan 's green marbles . How many green marbles does Joan now have ?,Subtraction
72,Sandy had 246 pennies and 873 nickels in her bank . Her dad borrowed num nickels from Sandy . How many nickels does she have now ?,Subtraction
73,"For his car , Mike spent $ 194 on speakers and $ 29 on new tires . Mike wanted num CD 's for $ num.num but decided not to . In total , how much did Mike spend on car parts ?",Addition
74,There were 236 bales of hay in the barn and 555 bales in the shed . Tom stacked bales in the barn today . There are now num bales of hay in the barn . How many bales did he store in the barn ?,Subtraction
75,There are 837 short trees and 544 tall trees currently in the park . Park workers will plant short trees today . When the workers are finished there will be num short trees in the park . How many short trees did the workers plant today ?,Subtraction
76,Joan found 898 seashells and 761 starfishes on the beach . She gave Alyssa some of her seashells . She has num seashell . How many seashells did she give to Alyssa ?,Addition
77,Tim had 436 quarters and 236 nickels in his bank . His dad gave him num nickels and num pennies . How many nickels does Tim have now ?,Addition
78,A restaurant served 219 slices of pie during lunch and 846 during dinner today . It served num of them yesterday . How many slices of pie were served today ?,Addition
79,Jason grew 711 watermelons and 99 pumpkins . Sandy grew num watermelons . How many watermelons did they grow in total ?,Addition
80,"Mike went to 479 basketball games this year , but missed 908 . He went to num games last year . How many basketball games did Mike go to in total ?",Addition
81,There are 611 maple trees and 582 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be num maple trees in the park . How many maple trees did the workers plant today ?,Subtraction
82,Dan had 796 peaches and 180 pears at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now num peaches . how many did he pick ?,Subtraction
83,Melanie has 455 books and 49 magazines in her library . She bought several books at a yard sale over the weekend . She now has num books in her library . How many books did she buy at the yard sale ?,Subtraction
84,A restaurant served 323233 hot dogs during lunch and num during dinner today . It served num of them yesterday . How many hot dogs were served today ?,Addition
85,There are 753 short trees and 551 tall trees currently in the park . Park workers will plant num short trees today . How many short trees will the park have when the workers are finished ?,Addition
86,There are 695 pencils and 108 scissors in the drawer . Joan placed num pencils in the drawer . How many pencils are now there in all ?,Addition
87,"Jordan builds a model '609 Mustang. If the model car is 347 inches long and the scale is num to num , how many inches would the real Mustang be?",Multiplication
88,"At the carnival , tickets for the rides are 804 dollars each , or you can buy an armband for 781 dollars and ride unlimited for one night. At how many rides does the armband cost the same as buying individual tickets?",Division
89,"Soft drinks are on sale at the grocery store for 989 dollars for a 713 pack. How much would each can of soft drink cost if purchased individually , in dollars?",Division
90,It took me 354 minutes to walk 147 meters. How fast was I travelling?,Division
91,A car traveled 806 kilometers in 15 hours. What was its average speed?,Division
92,"If 922 lollipops cost 600 dollars , how much does num lollipop cost , in dollars?",Division
93,"A textbook costs a bookstore 770 dollars , and the store sells it for 849 dollars. Find the amount of profit based on the selling price.",Subtraction
94,Joan found 924 seashells on the beach. she gave Sam some of her seashells. She has 626 seashell left. How many seashells did she give to Sam ?,Addition
95,"After eating at the restaurant, Sally, Sam, and Alyssa decided to divide the bill evenly. If each person paid 703882 dollars, what was the total of the bill ?",Multiplication
96,There are 13 walnut trees currently in the park. Park workers will plant more walnut trees today. When the workers are finished there will be 100 walnut trees in the park. How many walnut trees did the workers plant today ?,Subtraction
97,"Mike had 781 peaches left at his roadside fruit stand. He went to the orchard and picked more peaches to stock up the stand. There are now 961 peaches at the stand, how many did he pick ?",Subtraction
98,Joan went to 275 football games this year. She went to 42 football games last year. How many football games did Joan go to in all ?,Addition
99,Alyssa's dog had puppies. She gave 201 to her friends. She now has 698 puppies left. How many puppies did she have to start with ?,Addition
100,Sam found 170 seashells and Mary found 429 seashells on the beach. How many seashells did they find together ?,Addition
101,Keith has 157 books. Jason has 568 books. How many books do they have together ?,Addition
102,Fred grew 69 cantelopes. Tim grew 792 cantelopes. How many cantelopes did they grow in total ?,Addition
103,Mary found 375 seashells and Jessica found 230 seashells on the beach. How many seashells did they find together ?,Addition
104,There are 850 maple trees currently in the park. Park workers will plant more maple trees today. When the workers are finished there will be 832 maple trees in the park. How many maple trees did the workers plant today ?,Subtraction
105,"Dan found 804 seashells on the beach, he gave Jessica some of his seashells. He has 997 seashell left. How many seashells did he give to Jessica ?",Addition
106,"Sally had 906 peaches left at her roadside fruit stand. She went to the orchard and picked more peaches to stock up the stand. There are now 600 peaches at the stand, how many did she pick ?",Subtraction
107,"Benny received 386 dollars for his birthday. He went to a sporting goods store and bought a baseball glove, baseball, and bat. He had 721 dollars left over. How much did he spent on the baseball gear ?",Addition
108,There were 110 bales of hay in the barn. Jason stacked more bales in the barn today. There are now 844 bales of hay in the barn. How many bales did he store in the barn ?,Subtraction
109,Nancy grew 345 potatoes. Sandy grew 832 potatoes. How many potatoes did they grow in total ?,Addition
110,There are 915 oak trees currently in the park. Park workers will plant 406 more oak trees today. How many oak trees will the park have when the workers are finished ?,Addition
111,There were a total of 636 football games this year. Melanie missed 565 of the games. How many football games did Melanie go to in all ?,Subtraction
112,A restaurant served 855 cakes during lunch and 574 during dinner today. How many cakes were served today ?,Addition
113,There are 818 pencils in the drawer. Nancy placed 918 more  pencils in the drawer. How many pencils are now there in total ?,Addition
114,Benny's high school played 370 baseball games this year. He attended  106 games. How many baseball games did Benny miss ?,Subtraction
115,Mike has 23 baseball cards. Sam bought 690 of Mike's  baseball cards. How many baseball cards does Mike have now ?,Subtraction
116,There are 139 popular trees currently in the park. Park workers will plant  485 more popular trees today. How many popular trees will the park have when the workers are finished ?,Addition
117,Sam had 249 pennies in his bank. He spent 467 of his pennies. How many pennies does he have now ?,Subtraction
118,There are 538 walnut trees currently in the park. Park workers will plant  834 more walnut trees today. How many walnut trees will the park have when the workers are finished ?,Addition
119,There are 691 pencils in the drawer. Sara placed 649 more  pencils in the drawer. How many pencils are now there in all ?,Addition
120,Mike has 333 dollars in 216 dollar bills. How many five dollars bills does  he have ?,Division
121,"Nancy goes fishing with Joan. They catch 583 trout. If they equally split up the trout, how many will each one get ?",Division
122,"There are 959 students at a school. If each classroom holds 531 students, how many classrooms are needed at the school?",Division
123,"Mary earns $664 cleaning a home. How many homes did she clean, if she made 406 dollars?",Division
124,"Sam grew 483 watermelons, but the rabbits ate 803 watermelons. How many watermelons does Sam have left ?",Subtraction
125,There are 354 calories in a candy bar. How many calories are there in 835 candy bars ?,Multiplication
126,Dan has 97 blue marbles. Mary has 51 times more blue marbles than Dan. How many blue marbles does Mary have ?,Multiplication
127,"Melanie, Benny, Sally, and Jessica each have 641 baseball cards. How many baseball cards do they have in all ?",Multiplication
128,Keith grew 485 turnips. Alyssa grew 48 turnips. How many turnips did they grow in all ?,Addition
129,Joan has saved 668 quarters from washing cars. How many cents does Joan have ?,Multiplication
130,"There were a total of 891 soccer games in the season. The season is played for 188 months. How many soccer games were played each month, if each month has the same number of games?",Division
131,Tom was at the beach for 319 days and found 804 seashells every day. How many seashells did Tom find during the beach trip ?,Multiplication
132,Benny worked 479 hours for 577 days. How many hours did he work in total ?,Multiplication
133,"Jessica, Sandy, and Jason each have 144 pencils. How many pencils do they have have in all ?",Multiplication
134,Sara has saved 752 quarters from washing cars. How many cents does Sara have ?,Multiplication
135,"Benny goes to lunch with Sally and Sandy. The total bill came to 343331 dollars. They decided to equally split up the bill, how much will each person have to pay ?",Division
136,"Mike worked 236 hours, each day, for 660 days. How many hours did he work in total ?",Multiplication
137,There were a total of 186 baseball games a month. The season is played for 464 months. How many baseball games are in a season ?,Multiplication
138,There were a total of 576 soccer games this year. Jessica missed 872 of the games. How many soccer games did Jessica go to in all ?,Subtraction
139,Dan found 318 seashells but 883 were broken. How many unbroken seashells did Dan find ?,Subtraction
140,"Joan picked 693 apples from the orchard, and gave 768 apples  to  Melanie. How many apples does Joan have now ?",Subtraction
141,"Tom has 632 violet balloons, he gave Fred 879 of the balloons. How many violet balloons does he now have ?",Subtraction
142,Joan decided to sell all of her old books. She gathered up 911 books to sell. She sold 27 books in a yard sale. How many books does Joan now have ?,Subtraction
143,"Alyssa bought some toys. She bought a football for $550, and spent $387 on marbles. In total, how much did Alyssa spend on toys?",Addition
144,"Jessica spent $866 on a cat toy, and a cage cost her $632. What was the total cost of Jessica's purchases?",Addition
145,Sara got fast food for lunch. Sara spent $566 on a hotdog and $756 on a salad. What was the total of the lunch bill?,Addition
146,"Jason went to the mall on Saturday to buy clothes. He spent $693 on shorts and $343 on a jacket. In total, how much money did Jason spend on clothing?",Addition
147,"Before December, customers buy 48,77 ear muffs from the mall. During December, they buy num,num more, and there are none left. In all, how many ear muffs do the customers buy?",Addition
148,"Diane is a beekeeper. Last year, she harvested 653,861 pounds of honey. This year, she bought some new hives and increased her honey harvest by num,num pounds. How many pounds of honey did Diane harvest this year?",Addition
149,"An oil pipe in the sea broke. Before engineers started to fix the pipe, 120,94 liters of oil leaked into the water. While the engineers worked, the pipe leaked num,num more liters of oil. In all, how many liters of oil leaked into the water?",Addition
150,"Abe's family moved from the Bahamas to Japan, so they had convert their money into Japanese yen. Their checking account now has 39,46 yen and their savings account now has num,num yen. How many yen do they have?",Addition
151,"Christina just transferred $996 out of her bank account. As a result, the account now has $605,num left in it. How much money was in the account before the transfer?",Addition
152,"A dust storm sweeps across the prairie. It covers 661,234 acres of the prairie in dust, but leaves num acres untouched. How many acres does the prairie cover?",Addition
153,"Last year, 107,381 people were born in a country, and num,num people immigrated to it. How many new people began living in the country last year?",Addition
154,"A ship full of grain crashes into a coral reef. By the time the ship is fixed, 595,390 tons of grain have spilled into the water. Only num tons of grain remain onboard. How many tons of grain did the ship originally contain?",Addition
155,"Each year, salmon travel upstream, going from the ocean to the rivers where they were born. This year, 656,56 male and num,num female salmon returned to their rivers. How many salmon made the trip?",Addition
156,Mary has 821136 yellow marbles. Joan has num yellow marbles. How many yellow marbles do they have in all ?,Addition
157,"At a pie-eating contest, Erik got through 390 of a pie before time was called; Frank finished just 158 of a pie. How much more pie did Erik eat than Frank?",Subtraction
158,A tailor cut 19 of an inch off a skirt and 467 of an inch off a pair of pants. How much more did the tailor cut off the skirt than the pants?,Subtraction
159,"Ella owns two dogs. Each day, one dog eats 699 of a scoop of dog food and the other dog eats 718 of a scoop. Together, how much dog food do the two dogs eat each day?",Addition
160,Mandy made an apple pie. She used 785 of a tablespoon of cinnamon and 574 of a tablespoon of nutmeg. How much more cinnamon than nutmeg did Mandy use?,Subtraction
161,Stanley ran 743 of a mile and walked 753 of a mile. How much farther did Stanley run than walk?,Subtraction
162,Dina made cookies. She used 420 of a cup of flour and 793 of a cup of sugar. How much more flour than sugar did Dina use?,Subtraction
163,Suzie found two worms in the yard and measured them with a ruler. One worm was 435 of an inch long. The other worm was 658 of an inch long. How much longer was the longer worm?,Subtraction
164,"In Shannon's apartment complex, 131 of the apartments are one-bedroom apartments and 464 are two-bedroom apartments. What fraction of the apartments are either one- or two-bedroom apartments?",Subtraction
165,"At the beach, Miki and her sister both built sandcastles and then measured their heights. Miki's sandcastle was 111 of a foot tall and her sister's was 482 of a foot tall. How much taller was Miki's sandcastle than her sister's?",Subtraction
166,"Michelle began her pizza delivery route with 423 of a tank of gas in her car. When she made it back to the pizzeria, 722 of a tank of gas was left. How much gas did Michelle use?",Subtraction
167,Greg and Sharon own neighboring cornfields. Greg harvested 881 of an acre of corn on Monday and Sharon harvested 671 of an acre. How many more acres did Greg harvest than Sharon?,Addition
168,In Yardley it snowed 606 of an inch in the morning and 157 of an inch in the afternoon. What was the total amount of snowfall?,Addition
169,Dale's Vegetarian Restaurant bought 919 pounds of green peppers and 575 pounds of red peppers. How many pounds of peppers did Dale's Vegetarian Restaurant buy in all?,Addition
170,Kelly's chemistry textbook weighs 112 pounds and her geometry textbook weighs 561 of a pound. How much more does the chemistry textbook weigh than the geometry textbook?,Subtraction
171,Roadster's Paving Company used 137 tons of cement to pave Lexi's street and 120 tons of cement to pave Tess's street. How much cement did Roadster's Paving Company use in all?,Addition
172,"As part of a lesson on earthquakes, a science class is researching the movement of a nearby fault line. The fault line moved 829 inches during the past year and 423 inches the year before. How far did the fault line move in all?",Addition
173,"At the beach, Janet and her sister both built sandcastles and then measured their heights. Janet's sandcastle was 550 feet tall and her sister's was 456 feet tall. How much taller was Janet's sandcastle than her sister's?",Subtraction
174,"A farmer started the day with 454 buckets of seeds. After spending the morning sowing seeds, she now has 551 buckets left. How many buckets of seeds did the farmer sow?",Subtraction
175,Kelly bought 235 pounds of peanuts and 209 pounds of raisins. How many pounds of snacks did she buy in all?,Addition
176,"Ron weighed two colored metal balls during a science class. The blue ball weighed 928 pounds and the brown ball weighed 410 pounds. If Ron places both balls on the scale at the same time, what will the scale read?",Addition
177,It snowed 397 inches on Monday and 97 inches on Tuesday. How much did it snow on Monday and Tuesday combined?,Addition
178,A construction company bought 980 tons of gravel and 511 tons of sand. How many tons of material did the company buy in all?,Addition
179,It rained 723 inches on Saturday and 332 inches on Sunday. How much did it rain on Saturday and Sunday combined?,Addition
180,Tori was 42 feet tall. Then she grew 973 feet taller. How tall is Tori now?,Addition
181,How many cookies would you have if you had 883 bags of cookies with 93 cookies in each bag?,Multiplication
182,Emily collected eggs from the hen and put them into 495 baskets. She put 588 eggs into each basket. How many eggs did Emily collect?,Multiplication
183,The farmers reported that they harvest 170 sacks of apples from each of the 928 sections of the orchard daily. How many sacks are harvested every day?,Multiplication
184,"LexieÂÃÂªs mom gathered all her watercolor paintings and thought of placing an equal 205ber of paintings in 83 rooms in the house. If Lexie has num watercolor paintings, how many paintings will be placed in each room?",Division
185,"ChristianÂÃÂªs mother prepared lemonade. Every pitcher of lemonade can serve 411 glasses. If she was able to serve 70 glasses of lemonade, how many pitchers of lemonade did she prepare?",Division
186,"Allen, ShielaÂÃÂªs brother, likes to play with blocks. Shiela repainted AllenÂÃÂªs old blocks in different colors. If Allen has 981 identical blocks and there are 554 blocks for every color of paint used, how many colors did Shiela use?",Division
187,"A large bag of balls was kept under HaleyÂÃÂªs bed. Her mom placed the balls in bags for children in foster homes. If every bag can contain 203 balls and Haley has 581 balls, how many bags will be used?",Division
188,Arthur baked 464 muffins. How many more muffins does Arthur have to bake to have 615 muffins?,Subtraction
189,Lizette has 332 stamps. Lizette has 547 more stamps than Minerva. How many stamps does Minerva have?,Subtraction
190,A DVD book holds 870 DVDs. There are 4 DVDs already in the book. How many more DVDs can be put in the book?,Subtraction
191,Adam has $207 to buy an airplane that costs $672. How much change will Adam get?,Subtraction
192,"One stamp costs 506 cents. If the cost of each stamp remains the same, how much would 188 stamps cost?",Multiplication
193,Lisa rented 668 DVDs for $923. How much did each DVD cost to rent?,Division
194,"There were 969 pieces of candy in a jar. If 12 pieces were red and the rest were blue, how many were blue?",Subtraction
195,87 students were sitting at each table in the lunchroom. There are 767 tables. How many students were sitting in the lunchroom?,Multiplication
196,Tyler had 466 dogs. Each dog had 309 puppies. How many puppies does Tyler now have?,Multiplication
197,Mrs. Hilt has 298 markers. They are divided equally into 340 packages. Mrs. Hilt wants to know how many markers are in each package?,Division
198,Mrs. Hilt read 161 books. Each book had 333 chapters in it. How many chapters did Mrs. Hilt read?,Multiplication
199,Mrs. Hilt is baking bread. She needs 292 cups of flour to bake 602 loaves of bread. How much flour will she need to make one loaf of bread?,Division
200,A pet supply store has 236 bags of dog food and 230 bags of cat food. How many more bags of dog food are there than cat food?,Subtraction
201,David has 531 boxes of stuffed toy dogs. Each box has 903 dogs in it. How many dogs are there in all?,Multiplication
202,Freeport McMoran projects the world grain supply will be 890 metric tons and the supply will be only 927 of the world grain demand. What will the world grain demand be?,Division
203,A 947 ounce can of cranberry juice sells for 438 cents. What is the cost in cents per ounce.,Division
204,"If there are 94 bottle caps in a box and Linda puts 848 more bottle caps inside, how many bottle caps are in the box?",Addition
205,Bobby collects 58 blocks. Bobby's father gives Bobby 825 more. How many blocks does Bobby have?,Addition
206,"Michelle has 960 crayons. Janet has 13 crayons. If Janet gives all of her crayons to Michelle, how many crayons will Michelle have?",Addition
207,"If there are 413 eggs in a box and Daniel puts 654 more eggs inside, how many eggs are in the box?",Addition
208,Wayne collects 245 blocks. Wayne's father gives Wayne 939 more. How many blocks does Wayne have?,Addition
209,Andrew starts with 173 eggs. He buys 637 more. How many eggs does Andrew end with?,Addition
210,Angela has 591 tickets. Annie gives Angela 266 more. How many tickets does Angela have in all?,Addition
211,Joseph has 694 candies. Kathy gives Joseph 808 more. How many candies does Joseph have in all?,Addition
212,Janet has 72 apples. She finds another 510. How many apples does Janet have in all?,Addition
213,Joyce starts with 194 apples. She gives 570 to Larry. How many apples does Joyce end with?,Subtraction
214,Jane starts with 482 crayons. 955 are eaten by a hippopotamus. How many crayons does Jane end with?,Subtraction
215,Roger has 927 candies. He gives 605 to Stephanie. How many candies will Roger have?,Subtraction
216,Mildred weighs 32 pounds. Carol weighs 147 pounds. How much heavier is Mildred than Carol?,Subtraction
217,Diana starts with 810 bottle caps. 20 are eaten by a hippopotamus. How many bottle caps does Diana end with?,Subtraction
218,Bridget weighs 912630 pounds. Martha weighs num pounds. How much heavier is Bridget than Martha?,Subtraction
219,Pamela has 429 Skittles. She gives 544 to Karen. How many Skittles will Pamela have?,Subtraction
220,Evelyn starts with 745 Skittles. She shares 909 with Christine. How many Skittles does Evelyn end with?,Subtraction
221,Helen starts with 670 cards. Gary takes 526 away. How many cards does Helen end with?,Subtraction
222,Roger has 853 blocks. 749 are eaten by a hippopotamus. How many blocks will Roger have?,Subtraction
223,Ralph starts with 136 peanuts. He loses 641. How many peanuts does Ralph end with?,Subtraction
224,Sean has 40 blocks. 137 are eaten by a hippopotamus. How many blocks will Sean have?,Subtraction
225,Jennifer starts with 27 apples. She finds another 674. How many apples does Jennifer end with?,Addition
226,Each bottle cap costs $847. How much do 646 bottle caps cost?,Multiplication
227,"Each child has 527 bottle caps. If there are 506 children, how many bottle caps are there in total?",Multiplication
228,Sarah has 266 boxes of apples. Each box holds 261 apples. How many apples does Sarah have?,Multiplication
229,Martin has 982 boxes of crayons. Each box holds 850 crayons. How many crayons does Martin have?,Multiplication
230,Kimberly went to the store 839 times last month. She buys 610 peanuts each time she goes to the store. How many peanuts did Kimberly buy last month?,Multiplication
231,The school is planning a field trip. There are 631 students and 473 seats on each school bus. How many buses are needed to take the trip?,Division
232,The school is planning a field trip. There are 826 students and 185 seats on each school bus. How many buses are needed to take the trip?,Division
233,"Peter has 83 candies stored in boxes. If there are 618 boxes, how many candies must go in each box?",Division
234,Harry is inviting 108 friends to a party. He has 97 cookies. How many cookies will each friend get?,Division
235,"There are 363 candies in Kathy's candy collection. If the candies are organized into 122 groups, how big is each group?",Division
236,The school is planning a field trip. There are 749 students and 440 seats on each school bus. How many buses are needed to take the trip?,Division
237,"Albert has 411 oranges stored in boxes. If there are 201 boxes, how many oranges must go in each box?",Division
238,"Lori has 437 marbles. If she shares them among 184 friends, how many marbles does each friend get?",Division
239,Brenda wants to split a collection of erasers into groups of 476. Brenda has 520 erasers. How many groups will be created?,Division
240,"Ashley sold 161 boxes of Samoas. How many cases of 73 boxes, plus extra boxes does Ashley need?",Division
241,"If Karen sold 231 boxes of Tagalongs, how many cases of 397 boxes does Karen pickup from the cookie mom?",Division
