,Unnamed: 0,question,noUnknowns,unknowns,noEquations,equations,operation,answers
23,23,A standard deck of 52 cards is shuffled and one card is drawn and then replaced 15 times. How many times could you expect to draw a black card.,1,n,1,n=15*0.500,Multiplication,7.5
24,24,what's 2+2?,1,n,1,n=2+2,Addition,4.0
25,25,"The Quans planted a circular flower garder with a diameter of 2.3 m in their backyard, What length of fence, to the nearest tenth of a metre, is needed to completely surround the garden?",1,x,1,x=3.14*2.3,Multiplication,7.2
26,26,10 yards tall equals how many feet tall?,1,x,1,x=10*3,Multiplication,30.0
27,27,kelly spent 30 minutes in the afternoon waking her dog. What part of one hour did she spent walking her dog? write as fraction,1,r,1,r=30/60,Division,0.5
28,28,"n x 50 = 5,000",1,n,1,n*50=5000,Multiplication,100.0
29,29,30% of a number is 12,1,n,1,0.3*n=12,Multiplication,40.0
30,30,a trapezoid has an area of 72 and height of 9. what is its median,1,x,1,x=72/9,Division,8.0
31,31,whats 12 divided by 0.05?,1,x,1,x=12/0.05,Division,240.0
32,32,What is the volume of a regular n-gon prism with a base area of 4.3 m2 and a height of 3m?,1,x,1,x=4.3*3,Multiplication,12.9
33,33,"james made birdhouses to sell at a arts and krafts shop. if james had to pay the shop 15% commission for each sale, how much did he pay the shop for each large bird house ? a large bird house : 7.00.",1,x,1,x=7*0.15,Multiplication,1.05
34,34,"How do you figure out these kind of problems: Find the area of the entire circle given the area S of the sector. S= 9.5 m squared, one angle measure of the cirle is 90 degrees",1,x,1,x=4*9.5,Multiplication,38.0
35,35,Find: 41 out of 51 in percentage.,1,x,1,x=41/51,Division,0.804
36,36,What is 15% of 105?,1,x,1,x=0.150*105,Multiplication,15.75
37,37,111 is what percent of 1725?,1,x,1,x=111/1725,Division,0.064
38,38,Find: 32 out of 38 in percentage.,1,x,1,x=32/38,Division,0.8420000000000001
39,39,297 divided by 4 is about ?,1,x,1,x=297/4,Division,74.25
40,40,"Jogging shoes are on sale for $9.99. They were $18.95 before the sale. When they went on sale, Ed bought 2 pairs od size 8 1/2, 1 pair of yellow and the other red and white. How much did he pay for the shoes?",1,x,1,x=2*9.99,Multiplication,19.98
41,41,32 is 40% of what number?,1,x,1,0.400*x=32,Multiplication,80.0
42,42,"Jesse earned $37,800 one year and then received a 3.75% raise. How much did he make the next year?",1,x,1,x=37800*1.0375,Multiplication,39217.5
43,43,what percent of 80 is 96?,1,x,1,80*x=96,Multiplication,1.2
44,44,If you have a product that is $178.00. What would 30% be?,1,x,1,x=178*0.300,Multiplication,53.4
45,45,What percent is 1 in a million?,1,p,1,p=1/1000000,Division,0.0
46,46,5 042g - 2.075kg IN to grams,1,x,1,x=5042-2075,Subtraction,2967.0
47,47,"A company's 2006 revenue totaled 17,574,428. It costs totaled 14,283,502. What was the company's profit in 2006?",1,x,1,x=17574428-14283502,Subtraction,3290926.0
48,48,"The probability that a new advertising campaign will increase sales is assessed as being 0.80. The probability that the cost of developing the new ad campaign can be kept within the original budget allocation is 0.40. Assuming that the two events are independent, find the probability that the cost is kept within budget and the campaign will increase.",1,x,1,x=0.8*0.4,Multiplication,0.32
49,49,what's 9 times 9? 81,1,x,1,x=9*9,Multiplication,81.0
50,50,"A wheelchair ramp has a slope of 1/10. if its rise is 5 1/2 feet, what is its run?",1,x,1,x=5.5*10,Multiplication,55.0
51,51,The mean of 25 quiz numbers is 73.69. Then every score in the sample receives a bonus of 4 bonus points. What is the new mean (after the bonus)?,1,x,1,x=73.69+4,Addition,77.69
52,52,what # is 92 % of 300,1,x,1,x=0.920*300,Multiplication,276.0
53,53,how many feet are in 0.11 miles?,1,x,1,x=0.11*5280,Multiplication,580.8
54,54,"Martha leaves home at 9 AM, bicycling at a rate of 24 miles per hour. Two hours later, john leaves, driving at a rate of 48 miles per hour. At what time will John catch up with Martha?",1,x,1,24*2=x,Multiplication,48.0
55,55,"I went pass the 200 pages (exactly 200 pages) to the end. Approximately 4,000 questions!!! Let's create a math problem with it. What is two times a hundred?",1,x,1,2*100=x,Multiplication,200.0
56,56,0.42 x6.8,1,z,1,0.42*6.8=z,Multiplication,2.8560000000000003
57,57,"a letter representing a specific number that never changes is called.??? In the expression 7y, the multipliers 7 and y are called.??? Divison can be used to show that 7/40 can be written as a decimal",1,x,1,7/40=x,Division,0.175
58,58,"If $500.00 is 2% of an amount, what was the amount?? I just can't get the answer, and the formula would be nice too. So i have $500.00 they told me it was 2% of an annual wage. What is THAT wage?",1,x,1,500=x*0.02,Multiplication,25000.0
59,59,"A jet from San Fran to Kansas City, a distance of 2550 km, at a speed of 800 km/h. Another jet going from KC to SF at 900 km/h. How long after take off will they meet?",1,x,1,1700*x=2550,Multiplication,1.5
60,60,"To find the simple interest on a loan for 1 year at 12.5%, multiply the amount of the loan by 0.125. What simple interest will you pay on a loan of $1,458 at 12.5% for 1 year?",1,x,1,0.125*1458=x,Multiplication,182.25
61,61,"just working out a mathematical sum, am I right by saying the ratio of 240 is 12 or do I have to say it is 20.",1,x,1,240/12=x,Division,20.0
62,62,"7.2% of 878,360 and how do you read this number 63241.92????????????",1,y,1,(0.072)*(878360)=y,Multiplication,63241.92
63,63,"How do you find the height of a triangle with coordinates: X:(2, 1) Y:(5, 3) Z:(7, 1)",1,x,1,3-1=x,Subtraction,2.0
64,64,mary is 20.0 years old and peter is 26.8 years old their ages corrected to nearest 1/10 years . find the least difference between thir ages.,1,x,1,26.8-20=x,Subtraction,6.8
65,65,"what is the missing number in the series 4, 3, 5, 9, 12, 17 .?",1,m,1,9+17=m,Addition,26.0
66,66,What is the greatest common divisor of 118 and 116?,1,x,1,118-116=x,Subtraction,2.0
67,67,How many integers between 1 and 400 are multiples of 7?,1,x,1,400/7=x,Division,57.1428571429
68,68,Joe earns $650 in May. In June he earns 20% more. How much does he earn?,1,x,1,x=1.20*650,Multiplication,780.0
69,69,I am trying to work out 20% of 520.,1,x,1,520*0.2=x,Multiplication,104.0
70,70,what would 1.70 be as a percentage %17 or %170?,1,x,1,1.70*1=x,Multiplication,1.7
71,71,"The next number in the series 2, 5, 11, 20, 32, 47. what the next number in the series?",1,x,1,47+18=x,Addition,65.0
72,72,I need to know what 495.923 inches is when converted to feet?,1,x,1,495.923/12=x,Division,41.3269166667
73,73,What's 3 divided by 4 1/5?,1,x,1,3/4.2=x,Division,0.714285714286
74,74,Why is 10 to the power of minus 1 not 1?,1,x,1,10^-1=x,Subtraction,0.1
75,75,what is the ratio of 447 to 2643?,1,x,1,447/2643=x,Division,0.16899999999999998
76,76,"A man is walking away from a wall at a rate of 1 meter per second. There is a window in the wall at a height of 40 meters above the ground. When the man is 30 meters away from the building, at what rate is his distance from the window changing?",1,m,1,50.606-50=m,Subtraction,0.606
77,77,"What is 40% of $3,320, paid 40% of the balance?",1,x,1,0.40*3320=x,Multiplication,1328.0
78,78,I got a 52/70 on a project. What is this grade out of 100 points?,1,x,1,52/70=x,Division,0.7428571428569999
79,79,"I want to charge the middle amount of this for rent. There are 2 other bedrooms available for rent in my building that are all the same. One is going for 750 and the other for 1,000. So what would the middle amount be?",1,x,1,1750/2=x,Division,875.0
80,80,What is the of ways that 6 people can be seated in a car on a drive? A car holds exactly 6 people but only 2 of those 6 people can drive this car. What is the number of ways that the 6 people can be seated in the car on a drive?,1,x,1,120+120=x,Addition,240.0
81,81,Need to confirm logic number answer? | 1 | 2 | 3 | 4 | 5 | | 0 | 3 | 8 | 15 | ??,1,x,1,15+9=x,Addition,24.0
82,82,What is 20% 0f 20?,1,x,1,20*0.2=x,Multiplication,4.0
83,83,What is the ratio of the length of a side of an equilateral triangle to the triangles perimeter? A. 1 : 1 B. 1 : 2 C. 1 : 3 D. 3 : 1,1,x,1,x=1/3,Division,0.33333333333299997
84,84,Use the distance formula to find the rate if a car travels 150 miles in 2 1/2 hours?,1,x,1,150=x*(2.5),Multiplication,60.0
85,85,which number is the decimal form of 7/20? a:0.45 b:0.36 c:0.35 d:0.035,1,x,1,7/20=x,Division,0.35
86,86,_________ is 35% of 60?,1,x,1,x=0.35*60,Multiplication,21.0
87,87,"How much is 20% of $4,000?",1,y,1,2*400=y,Multiplication,800.0
88,88,Which fraction is equivalent to 25%? 5/6? 1/4? 3/4? 1/3?,1,y,1,25/100=y,Division,0.25
89,89,What Multiple of 7 is greater than 28 but less than 42?,1,x,1,7*5=x,Multiplication,35.0
90,90,"On a 100 question test, 60 questions involve algebra and 20 questions are difficult. if 8 of the difficult questions involve algebra, how many of the questions that are not difficult do not involve algebra?",1,x,1,80-52=x,Subtraction,28.0
91,91,What percent of 10 is 205?,1,x,1,x*10=205,Multiplication,20.5
92,92,9 is what percent of 72?,1,x,1,9/72=x,Division,0.125
93,93,"you have two squares of cardboard the same size and less than 30 cm side, one a grid with squares of 6cm side trace and the other a grid with squares of 8 cm side. what is the measure of the side squares of cardboard, if each grid fits exactly?",1,x,1,3*8=x,Multiplication,24.0
94,94,A parallelogram has adjacent sides of 176 ft and 312 ft. The altitude to the shorter side is 290 ft. What is the area of the parallelogram?,1,z,1,z=176*290,Multiplication,51040.0
95,95,30 is 35% of what number?,1,z,1,30=0.35*z,Multiplication,85.7142857143
96,96,20% of c is 24. What is c?,1,z,1,0.2*z=24,Multiplication,120.0
97,97,Rudy harvested 5 2/5 kilos of carrots and 3 2/3 kilos of okra. How many kilos of vegetables did rudy harvest?,1,x,1,5.4+3.66666666667=x,Addition,9.066667
98,98,Find the area of a parallelogram if the base is 11 inches and the height is 4 inches. a.15 square inches b.22 square inches c.30 square inches d.44 square inches,1,x,1,x=11*4,Multiplication,44.0
99,99,"I have record like this 8.50 m then 8.10 , 8.40, 5.20,.2.10, 2.30 there sum is in decimal 35.40 but i want sum in h minute , what i do?",1,x,1,0.40*60=x,Multiplication,24.0
100,100,"If my granddad was 37 in 1958 when my dad was born, and my dad is 48 now, what year was my granddad born?",1,x,1,1958-37=x,Subtraction,1921.0
101,101,The lowest temperature on a winter morning was -8F. Later that same day the temperature reached a high of 24F. By how many degrees Fahrenheit did the temperature increase?,1,z,1,z=(24+8),Addition,32.0
102,102,"What is the probability that a point picked at random, in a square figure [with side lengths of 10 (making the area 100)], will land in the shaded region of the square, (the shaded region's area being 84)?",1,x,1,84/100=x,Division,0.84
103,103,One kilometer is equal to 1000 meters. What fractional part of a kilometer is 700 meters?,1,x,1,700/1000=x,Division,0.7
104,104,What is 64% of 20?,1,x,1,0.64*20=x,Multiplication,12.8
105,105,How do you turn 10 1/3% into a fraction?,1,y,1,y=31/300,Division,0.103333333333
106,106,What is 0.27272727(continue forever) in a fraction and 0.123123123(continue forever)? and 0.533333(continue forever),1,z,1,53333/100000=z,Division,0.53333
107,107,I have 2426 square feet of flagstone and it cost 0.25 cents a pound and the flagstone covers about 100 square feet per ton. how many pounds will i need?,1,y,1,24.26*500=y,Multiplication,12130.0
108,108,"Two friends leave Pittsburgh at the same time in separate cars. One car travels due east, while the other car travels due north. Both cars travel at 55 miles per hour. Each car has a CB radio with a talking range of 400 miles. In how many hours will they be too far apart to communicate on their radios?",1,x,1,400/77.782=x,Division,5.14257797434
109,109,If I own 405 shares in a company and there is a total of 600 shares in the company what percentage do I hold.,1,x,1,405/600=x,Division,0.675
110,110,A 42 inch-long guitar is 10.5-feet-long on a stadium screen.A drum is 21 inches wide. How wide is the image on the stadium screen?,1,x,1,10.5/2=x,Division,5.25
111,111,I got a 75/100 on a midterm and the midterm is worth 25% of the overall grade. 25% Participation. - 25% Essay. - 25% Final. - 25% Midterm. So how much of the 25% do I get applied to my grade if I got a 75/100 on the midterm.,1,x,1,75*0.25=x,Multiplication,18.75
112,112,"write 20 3/8% as a decimal, write 819% as a decimal?",1,y,1,819/100=y,Division,8.19
113,113,square root question 5â25?,1,y,1,5*5=y,Multiplication,25.0
114,114,what is 60 percent of 2500?,1,x,1,0.6*2500=x,Multiplication,1500.0
115,115,How many years ago since 2011?,1,x,1,2013-2011=x,Subtraction,2.0
116,116,find a pattern in a string of numbers to determine the next number in the sequence and filling in the blank 16 4 20 24 44?,1,x,1,24+44=x,Addition,68.0
117,117,How many feet is 65.3 inches?,1,x,1,65.3/12=x,Division,5.44166666667
118,118,"If nC8 = nC7, find n",1,y,1,8=(y-7),Subtraction,15.0
119,119,42.5 billion aluminim cans were recycled in 1988. which represents 54.6%. so how many are produced in one year?,1,x,1,0.546*x=42.5,Multiplication,77.8388278388
120,120,what is 4 percent of 12 ounces?,1,x,1,12*0.04=x,Multiplication,0.48
121,121,the area of a parallelogram is 39.06 cm2. the base is 9.3 cm. find the height.,1,x,1,39.06/9.3=x,Division,4.2
122,122,"Solve: The perimeter of a square with a side length ""s"" is givien by the expression 4s. What is the perimeter of a square with sides of 7.5cm?",1,x,1,7.5*4=x,Multiplication,30.0
123,123,"If a pizza is sliced into 8 equal pieces, what is the measure of the central angle represented by each slice? A. 35 degrees . B. 40 degrees . C. 45 degrees . D. 60 degrees.",1,x,1,360/8=x,Division,45.0
124,124,what percent is 200 out of 350?,1,x,1,200/350=x,Division,0.5714285714289999
125,125,what is 10% of 39.99?,1,x,1,0.1*39.99=x,Multiplication,3.9989999999999997
126,126,What percent of 50 is 130?,1,x,1,50*x=130,Multiplication,2.6
127,127,What is the measure of each angle formed by two perpendicular lines? a. 45 b. 90 c. 180 d. 360,1,x,1,360/4=x,Division,90.0
128,128,what is 19/25 as a percent?,1,x,1,19/25=x,Division,0.76
129,129,What is the simple interest on a principal of $640 at the interest rate of 3.8% for 1 year?,1,x,1,640*0.038=x,Multiplication,24.32
130,130,monthly income:? percent budgeted: 7 1/2%. amount budgeted: $240.,1,x,1,240=0.075*x,Multiplication,3200.0
131,131,"The measure of an interior angle of an equilateral triangle must be _____. A. 60, B. 180 , C. 90, D. 45",1,x,1,180/3=x,Division,60.0
132,132,What is 4 and 2 sevenths plus 1 and 5 sevenths equaled to?,1,x,1,4.28571428571+1.71428571429=x,Addition,6.0
133,133,Normal body temperature is 98 3/5 degrees Fahrenheit. How many degrees above normal is a 100-degree fever? Use a space between the whole number and fraction.,1,x,1,100-98.6=x,Subtraction,1.4
134,134,If 65% of C is 39. what is C?,1,y,1,y=39/0.65,Division,60.0
135,135,Find the number of 2 3/4 gallon cans which can be filled from a tank containing 90 3/4 gallons of oil.,1,y,1,90.75/2.75=y,Division,33.0
136,136,"how much is 85,000,000,000 divided by 200,000,000?",1,x,1,85000000000/200000000=x,Division,425.0
137,137,"What is 7.5% of 280,000,000?",1,x,1,0.075*280000000=x,Multiplication,21000000.0
138,138,you need to calculate the circumference after being given the diameter so if its 10cm .,1,x,1,10*(3.14)=x,Multiplication,31.4
139,139,A parallelogram has a height of 3 m and a base of 6 m. What is its area?,1,x,1,x=3*6,Multiplication,18.0
140,140,You have made $3000 on the sale for your stock. the original cost of the stock was $15000? find the percentage of increase. A. 20% B. 10% C. 5% D. 3%,1,x,1,3000/15000=x,Division,0.2
141,141,log base(2) 5th root(2)? fraction form?,1,z,1,z=1/5,Division,0.2
142,142,Kit got 74/84 on the exam meaning that she earned 74 points out of 80 possible write the decimal equivalent t? Show work.,1,z,1,74/84=z,Division,0.880952380952
143,143,What's 20% of $450?,1,x,1,450*0.2=x,Multiplication,90.0
144,144,"What is the inter quartile range? 31, 32, 33, 36, 42, 45, 49, 53, 57, 58, 64, 67, 69, 76, 78",1,z,1,67-36=z,Subtraction,31.0
145,145,"if i worked 23 hours and make 7.50 an hour, how much would my check be?",1,n,1,7.5*(23)=n,Multiplication,172.5
146,146,What is the exact minutes for 2.2 hours?,1,x,1,2.2*60=x,Multiplication,132.0
147,147,what is the difference of 8 and 22?,1,x,1,22-8=x,Subtraction,14.0
148,148,"I got a 52 out of 60 on my last test, so what would my percent and letter grades be?",1,x,1,x=52/60,Division,0.8666666666670001
149,149,"What is 4,000,000,000 minus 36,000,000?",1,x,1,4000000000-36000000=x,Subtraction,3964000000.0
150,150,"What do you divide by to find 5% of 200,000?",1,z,1,0.05*200000=z,Multiplication,10000.0
151,151,The kite shop buys a certain type of kite for 13 each and sells them for 15.60. What is the percent markup?,1,x,1,2.6/13=x,Division,0.2
152,152,A parallelogram has a base of 17 cm and a height of 6.5 cm. Find the area?,1,x,1,17*6.5=x,Multiplication,110.5
153,153,What is 7300 divided by 156?,1,x,1,7300/156=x,Division,46.7948717949
154,154,"A rectangular lawn measures 80 feet by 60 feet. Meredith's lawn mower cuts a 1.5 foot path as it mows. If Meredith mows parallel to the long side of the lawn, how many paths must she cut to mow the entire lawn?",1,x,1,60/1.5=x,Division,40.0
155,155,2 4/5 divided by 2 1/10?,1,x,1,(2.8)/(2.1)=x,Division,1.33333333333
156,156,What is 20 percent of $75?,1,x,1,0.2*75=x,Multiplication,15.0
157,157,Identify the whole: what is 14% of 78? a. 78 b. 14 c. unknown d. cannot be determined from information given,1,x,1,0.14*(78)=x,Multiplication,10.92
158,158,What percent of 100 is 3 out of 121?,1,x,1,3/121=x,Division,0.024793388429799997
159,159,"a family has a budget for washing and drying your clothes $50 per week. If a washer and dryer costs $ 1500, how many weeks that budget are needed to equalize the cost of a washer and dryer?",1,y,1,y=1500/50,Division,30.0
160,160,How much is 120% of $68?,1,y,1,1.20*68.00=y,Multiplication,81.6
161,161,"The label on a cereal box states the following:. -One serving of cereal contains 17 grams of carbohydrates.. -This number of grams is 6% of the maximum amount of carbohydrates that a person should eat in a day. . Based on this information, which of the following is closest to the maximum amount of carbohydrates that a person should eat in a day? . A. 1.02 grams. B. 2.83 grams. C. 102 grams. D. 283 grams.",1,y,1,6*y=1700,Multiplication,283.333333333
162,162,Jordan has a bag that contains 246 marbles. There are 51 brown marbles and 195 gray marbles. Estimate the percent of brown marbles in the bag.,1,x,1,51/246=x,Division,0.20731707317099998
163,163,"Let x and y be two (different) independent observations of the band weight from a DNA profile. Assume that X, Y can be taken samples from a Normal distribution with mean 2000 bp and standard deviation 10 bp. Let d = x-y be the difference where d can be assumed to be Normally distributed with mean zero and standard deviation 10â2 bp. Find the probability that the observed difference between x and y exceeds 30bp.",1,m,1,1-0.983=m,Subtraction,0.017
164,164,"Estimate 6,235 + 2,505. use rounding?",1,x,1,6235+2505=x,Addition,8740.0
165,165,"The water level of a river was 3 ft above normal. After an unusually dry season, the water level is 6 ft below normal. Find the range of the water levels of the river.",1,x,1,3+6=x,Addition,9.0
166,166,Find the area of a parallelogram if the base is 9 inches and the height is 6 inches. (A)54 square inches (B)30 square inches (C) 27 square inches (D)15 square inches,1,x,1,9*6=x,Multiplication,54.0
167,167,"You have four digits 1, 6, 8, 9 you have to make it 54. You can use them once you can addition, subtraction, division, multiplication and brackets but do not use power of 8.",1,x,1,9*6=x,Multiplication,54.0
168,168,Find the area of a parallelogram that is: 22 in. height 77 in. length,1,x,1,x=22*77,Multiplication,1694.0
169,169,What percentage is 225 of 265?,1,x,1,225/265=x,Division,0.8490566037739999
170,170,"What is 6,152.27 x 0.9235 = I do it on the Calculator",1,x,1,6152.27*0.9235=x,Multiplication,5681.6213450000005
171,171,A local cricket team played 20 matches in 1 season. The percentage of matches won is 25%. What is the number of matches they won?,1,y,1,20*0.25=y,Multiplication,5.0
172,172,How do you convert a number into a percent if the question was to find 36% out of 25?,1,x,1,0.36*25=x,Multiplication,9.0
173,173,What percent of 16 is 12.,1,x,1,x*16=12,Multiplication,0.75
174,174,"Just say my balance is $256, how do i use the calculator to get 5% of this.",1,y,1,0.05*256=y,Multiplication,12.8
175,175,"What is 38% of 2,000,000?",1,x,1,0.38*2000000=x,Multiplication,760000.0
176,176,"If the measure of one acute angle of a right triangle is 55, then the measure of the other acute angle is? A.25 B.35 C.45 D.55 E.125",1,x,1,90-55=x,Subtraction,35.0
177,177,Evette has 41 1/2 ft of string. She wants to cut it into pieces 3 3/4 ft long. How many pieces of string will s?,1,x,1,(41.5)/(3.75)=x,Division,11.066666666700002
178,178,20% of what number is 10?,1,z,1,0.2*z=10,Multiplication,50.0
179,179,What is 3 5/6 plus 4 2/3 ?,1,x,1,3.83333333333+4.66666666667=x,Addition,8.5
180,180,what is 5 1/4 divided by 3 3/5?,1,x,1,5.25/3.6=x,Division,1.458333333333
181,181,"An apartment building produces a net operating income of $34,000 per year. This $34,000 represents a 7% return. What did the building originally cost?",1,x,1,0.07*x=34000,Multiplication,485714.28571400006
182,182,"what is 18 percent of 214,643.13?",1,x,1,0.18*214643.13=x,Multiplication,38635.7634
183,183,Add the absolute value of the two integers. Write the complete addition sentence and the answer. |-15|+|21|,1,x,1,15+21=x,Addition,36.0
184,184,"employees new salary is 28,140 after a 5% raise. what was his salary before the raise?",1,x,1,x*1.05=28140,Multiplication,26800.0
185,185,An adult cat has a body mass of 3500 grams. It can eat up to 8% of its body mass in food each day. How many grams of food can the cat eat each day? Use estimation to justify that your answer is reasonable.,1,x,1,3500*0.08=x,Multiplication,280.0
186,186,20 is what % of 5000?,1,x,1,20=x*5000,Multiplication,0.004
187,187,How long in hours and minutes is 108 minutes?,1,x,1,108-60=x,Subtraction,48.0
188,188,"What is the d value of the following arithmetic sequence? 27, 41, 55, 69, 83, 97-",1,x,1,41-27=x,Subtraction,14.0
189,189,"The smallest natural number that is divisible by the numbers: 2, 3, 4, 6, 8, and 9?",1,x,1,8*9=x,Multiplication,72.0
190,190,log3 27-log9 9?,1,z,1,3-1=z,Subtraction,2.0
191,191,"A triangle has vertices at points with coordinates of (2.1), (9.1) and (3.9). What is the area of the triangle in square units? A. 7 B. 7 1/2 C. 14 D. 27 E. 28",1,z,1,56/2=z,Division,28.0
192,192,What is 9 root 2 time 4 root 2,1,x,1,36*2=x,Multiplication,72.0
193,193,55 is what percent of 220?,1,x,1,55/220=x,Division,0.25
194,194,3570 is 42% of what number?,1,x,1,3570=0.42*x,Multiplication,8500.0
195,195,"Calculate the range of the following numbers. Round to the nearest whole number if necessary. 15, 2, 49, 22, 63?",1,x,1,63-2=x,Subtraction,61.0
196,196,"1 km equivalent a 10,000 cm?",1,x,1,1.000*100000=x,Multiplication,100000.0
197,197,"What's 15 % of $145,000,00?",1,x,1,14500000*0.15=x,Multiplication,2175000.0
198,198,12 1/2% of 8 is?,1,y,1,0.125*(8)=y,Multiplication,1.0
199,199,"Find the area of a rectangle whose vertices are (0, 0), (8, 0),(0, 5) and (8, 5)?",1,z,1,5*8=z,Multiplication,40.0
200,200,What is 20% of 80?,1,y,1,(0.2)*(80)=y,Multiplication,16.0
201,201,"The Indianapolis Motor Speedway has 3,200,000 bricks that lie beneath the 2.5 miles of track. Find how many bricks lie under one mile of track at the race track. How do I do this?",1,x,1,3200000/2.5=x,Division,1280000.0
202,202,Corn syrup has a density of 1.38g/cm3 This means corn syrup is more dense then water. The mass of the corn syrup is 435 grams. What volume of corn syrup do you have?,1,x,1,1.38=435/x,Division,315.217391304
203,203,4 is what percent of 50?,1,x,1,4/50=x,Division,0.08
204,204,Express 7/4 as a percent.,1,x,1,7/4=x,Division,1.75
205,205,What is the sum of 1 and 1?,1,x,1,x=1+1,Addition,2.0
206,206,"If f(x) = x + 2, find the value of x if f(x) = 12.",1,x,1,x+2=12,Addition,10.0
207,207,what percent of 54 is 135?,1,x,1,x*54=135,Multiplication,2.5
208,208,I have the number 640 and the number 80. I need to figure out what percentage 80 is of 640.,1,p,1,p*640=80,Multiplication,0.125
209,209,what is the reciprocal of 0.8.,1,x,1,x=1/0.8,Division,1.25
210,210,what is the answer to 30 divided by 8 as a fraction?,1,f,1,f=30/8,Division,3.75
211,211,20% of the number is 3. Find the number?,1,x,1,0.2*x=3,Multiplication,15.0
212,212,5 times a number equals 20what is the number?,1,n,1,5*n=20,Multiplication,4.0
213,213,15 is 25% of what number?,1,x,1,15=0.25*x,Multiplication,60.0
214,214,36 is 60% of what number?,1,x,1,36=0.6*x,Multiplication,60.0
215,215,A 3- digit number in which one digit is the average of the other two digits is called an average number. 456 is an average number because 5 is the average of 4 and 6. How many three digit average numbers are there?,1,n,1,n=9*5,Multiplication,45.0
216,216,"what is 8% of 2,000.",1,x,1,x=2000*0.08,Multiplication,160.0
217,217,what's 8% of 5.00?,1,x,1,x=0.08*5,Multiplication,0.4
218,218,what percent of 50 is 6?,1,x,1,x*50=6,Multiplication,0.12
219,219,What percent of 80 is 50?,1,x,1,x*80=50,Multiplication,0.625
220,220,Megan likes to jog around a duck pond near her house. The distance around the pond is 0.4 mi. How many laps around the pond are necessary to run 5 mi?,1,t,1,t=5/0.4,Division,12.5
221,221,"If 60 is 40% of a number, what is that number?",1,x,1,60=x*0.4,Multiplication,150.0
222,222,"In 1960, a farmer was paid $1 for one bushel of corn. In 2000, the price of one bushel of corn was 185% of the 1960 price. How much was a farmer paid for one bushel of corn in 2000?",1,t,1,t=1.85*1,Multiplication,1.85
223,223,"A softball players batting average is the ratio of hits made to the number of times at bat. If Ann's batting average is 0.320, how many hits would she expect to get in 25 times at bat?",1,t,1,t/25=0.32,Division,8.0
224,224,how to solve 6% of 19.,1,x,1,x=0.06*19,Multiplication,1.14
225,225,14 is what percent of 84?,1,t,1,14=t*84,Multiplication,0.16699999999999998
226,226,what percent of 240 is 60?,1,t,1,t*240=60,Multiplication,0.25
