,question,operation
68,42.5 billion aluminim cans were recycled in 1988. which represents 54.6%. so how many are produced in one year?,Multiplication
69,"Solve: The perimeter of a square with a side length ""s"" is givien by the expression 4s. What is the perimeter of a square with sides of 7.5cm?",Multiplication
70,"If a pizza is sliced into 8 equal pieces, what is the measure of the central angle represented by each slice? A. 35 degrees . B. 40 degrees . C. 45 degrees . D. 60 degrees.",Division
71,what percent is 200 out of 350?,Division
72,what is 10% of 39.99?,Multiplication
73,What percent of 50 is 130?,Multiplication
74,What is the measure of each angle formed by two perpendicular lines? a. 45 b. 90 c. 180 d. 360,Division
75,what is 19/25 as a percent?,Division
76,"The measure of an interior angle of an equilateral triangle must be _____. A. 60, B. 180 , C. 90, D. 45",Division
77,What is 4 and 2 sevenths plus 1 and 5 sevenths equaled to?,Addition
78,"how much is 85,000,000,000 divided by 200,000,000?",Division
79,"What is 7.5% of 280,000,000?",Multiplication
80,you need to calculate the circumference after being given the diameter so if its 10cm .,Multiplication
81,You have made $3000 on the sale for your stock. the original cost of the stock was $15000? find the percentage of increase. A. 20% B. 10% C. 5% D. 3%,Division
82,log base(2) 5th root(2)? fraction form?,Division
83,Kit got 74/84 on the exam meaning that she earned 74 points out of 80 possible write the decimal equivalent t? Show work.,Division
84,What's 20% of $450?,Multiplication
85,"What is the inter quartile range? 31, 32, 33, 36, 42, 45, 49, 53, 57, 58, 64, 67, 69, 76, 78",Subtraction
86,"if i worked 23 hours and make 7.50 an hour, how much would my check be?",Multiplication
87,What is the exact minutes for 2.2 hours?,Multiplication
88,"What is 4,000,000,000 minus 36,000,000?",Subtraction
89,"What do you divide by to find 5% of 200,000?",Multiplication
90,2 4/5 divided by 2 1/10?,Division
91,What is 20 percent of $75?,Multiplication
92,Identify the whole: what is 14% of 78? a. 78 b. 14 c. unknown d. cannot be determined from information given,Multiplication
93,What percent of 100 is 3 out of 121?,Division
94,"The label on a cereal box states the following:. -One serving of cereal contains 17 grams of carbohydrates.. -This number of grams is 6% of the maximum amount of carbohydrates that a person should eat in a day. . Based on this information, which of the following is closest to the maximum amount of carbohydrates that a person should eat in a day? . A. 1.02 grams. B. 2.83 grams. C. 102 grams. D. 283 grams.",Multiplication
95,Jordan has a bag that contains 246 marbles. There are 51 brown marbles and 195 gray marbles. Estimate the percent of brown marbles in the bag.,Division
96,"Let x and y be two (different) independent observations of the band weight from a DNA profile. Assume that X, Y can be taken samples from a Normal distribution with mean 2000 bp and standard deviation 10 bp. Let d = x-y be the difference where d can be assumed to be Normally distributed with mean zero and standard deviation 10ö_2 bp. Find the probability that the observed difference between x and y exceeds 30bp.",Subtraction
97,"Estimate 6,235 + 2,505. use rounding?",Addition
98,"You have four digits 1, 6, 8, 9 you have to make it 54. You can use them once you can addition, subtraction, division, multiplication and brackets but do not use power of 8.",Multiplication
99,"What is 6,152.27 x 0.9235 = I do it on the Calculator",Multiplication
100,What percent of 16 is 12.,Multiplication
101,"Just say my balance is $256, how do i use the calculator to get 5% of this.",Multiplication
102,"What is 38% of 2,000,000?",Multiplication
103,Evette has 41 1/2 ft of string. She wants to cut it into pieces 3 3/4 ft long. How many pieces of string will s?,Division
104,20% of what number is 10?,Multiplication
105,What is 3 5/6 plus 4 2/3 ?,Addition
106,what is 5 1/4 divided by 3 3/5?,Division
107,"An apartment building produces a net operating income of $34,000 per year. This $34,000 represents a 7% return. What did the building originally cost?",Multiplication
108,"what is 18 percent of 214,643.13?",Multiplication
109,Add the absolute value of the two integers. Write the complete addition sentence and the answer. |-15|+|21|,Addition
110,"employees new salary is 28,140 after a 5% raise. what was his salary before the raise?",Multiplication
111,How long in hours and minutes is 108 minutes?,Subtraction
112,"What is the d value of the following arithmetic sequence? 27, 41, 55, 69, 83, 97-",Subtraction
113,"The smallest natural number that is divisible by the numbers: 2, 3, 4, 6, 8, and 9?",Multiplication
114,log3 27-log9 9?,Subtraction
115,"A triangle has vertices at points with coordinates of (2.1), (9.1) and (3.9). What is the area of the triangle in square units? A. 7 B. 7 1/2 C. 14 D. 27 E. 28",Division
116,"Calculate the range of the following numbers. Round to the nearest whole number if necessary. 15, 2, 49, 22, 63?",Subtraction
117,"1 km equivalent a 10,000 cm?",Multiplication
118,"What's 15 % of $145,000,00?",Multiplication
119,12 1/2% of 8 is?,Multiplication
120,"Find the area of a rectangle whose vertices are (0, 0), (8, 0),(0, 5) and (8, 5)?",Multiplication
121,What is 20% of 80?,Multiplication
122,Corn syrup has a density of 1.38g/cm3 This means corn syrup is more dense then water. The mass of the corn syrup is 435 grams. What volume of corn syrup do you have?,Division
123,4 is what percent of 50?,Division
124,Express 7/4 as a percent.,Division
125,What is the sum of 1 and 1?,Addition
126,what percent of 54 is 135?,Multiplication
127,what is the reciprocal of 0.8.,Division
128,what is the answer to 30 divided by 8 as a fraction?,Division
129,5 times a number equals 20what is the number?,Multiplication
130,36 is 60% of what number?,Multiplication
131,A 3- digit number in which one digit is the average of the other two digits is called an average number. 456 is an average number because 5 is the average of 4 and 6. How many three digit average numbers are there?,Multiplication
132,"what is 8% of 2,000.",Multiplication
133,what percent of 50 is 6?,Multiplication
134,What percent of 80 is 50?,Multiplication
135,"In 1960, a farmer was paid $1 for one bushel of corn. In 2000, the price of one bushel of corn was 185% of the 1960 price. How much was a farmer paid for one bushel of corn in 2000?",Multiplication
136,14 is what percent of 84?,Multiplication
137,what is 15 percent of $49.99?,Multiplication
138,The three best bands each have 36 marchers. Each member receives a ribbon. use the Distributive Property to explain how to figure out how many ribbons are needed. Then solve.,Multiplication
139,"A rope is 42 feet long, How many yards is that?",Division
140,45 divided by 6 =?,Division
141,"4,000 grams = kilograms? (1 gram = 0.001 kilograms)",Multiplication
142,15 is what percent of 24?,Multiplication
143,"if 145 is 15% of the whole, what is the whole?",Multiplication
144,"if jack ran at an average speed of 8.5 m/s for 13s, how far did he run ?",Multiplication
145,what 12% of 240 is?,Multiplication
146,30 is what percent of 150?,Multiplication
147,"The area of a rectangle is 2cm squared, If the length of the rectangleis 8cm, what is the width of the rectange?",Multiplication
148,"If I have $200,000 to spend, but I have allocated 8.55% of that in one month, how much is that 8.55%.",Multiplication
149,the length and breadth of a lawn is 20m and 4.8m. what is the ratio of length to breadth?,Division
150,82 divided by 4?,Division
151,"How many miles are equal to 32,000 ft?",Division
152,"how many millilitres are in 1,211 litres?",Multiplication
153,"Fred just received a 6% raise. She made $52,000 before she got the raise. How much MORE will she be making yearly?",Multiplication
154,what is 20 percent off of 59.99?,Multiplication
155,"it is based on theoretical probability and it says jar contains 50 marbles that are the same size. there are 15 blue, 8 yellow, and 27 red marbles. and then question says p(blue).",Division
156,"A school student body can elect a president & a vice-president in 14,520 ways. If every grade 11 student in the school is eligible to run for these positions, how many grade 11 students are in the school?",Subtraction
157,what is 2 plus 2?,Addition
158,"In a Gallup poll of 1,038 adults, 540 said that second-hand smoke is very harmful. What is the percentage of adults who said second-hand smoke is very harmful?",Division
159,"A bag of chocolate covered candy, contains 23% green, 37% red, 22% blue, and 18% yellow candies. Marcus put 350 candies in a bowl. Find the total number of blue candies.",Multiplication
160,Calculate 33 1/3% of 60?,Multiplication
161,"a mountain climber ascends a mountain to its peak. the peak is 12,740 ft above sea level. the climber then descends 200 ft to meet a fellow climber. find the climber's elevation above sea level after meeting the other climber",Addition
162,"An object has a mass of 57.6 g. Find the object's density, given that its volume is 40.25 cm^3.",Division
163,"How many different two-digit numbers can you form using the digits 1 , 2, 8, 4 and 6 without repititon?",Multiplication
164,8 * 6 4/5=?,Multiplication
165,Water moves past a 10cm board in 1.3 seconds. How far the water will travel in a second.,Division
166,What percent of 250 is 128?,Multiplication
167,"Chris is saving money for a ski trip. He has $62.50, but his goal is to save at least $100. What is the least amount Chris needs to save to reach his goal?",Subtraction
168,Suppose 75% of 6-year-olds weigh under 46 lb. How many 6-yearolds would you expect to weigh under 46 lb in a class of 32 age-six first-graders?,Multiplication
169,0.9% of 116,Multiplication
170,What is 25% of 200?,Multiplication
171,288+N=106,Addition
172,the ceiling was covered with square tiles. There were 30 rows of tiles with 30 tiles in each row. How many tiles covered the ceiling?,Multiplication
173,what is 60% of 125?,Multiplication
174,"If the diameter is 21, then what is the circumference?",Multiplication
175,"5,682 divided by 900,854,023",Division
176,there are 26 7th grade boys and 34 7th grade girls. there are also 30 8th grade boys and 22 8th grade girls. write in simplest form what the ratio is for 7th grade boys and 8th grade boys.,Division
177,convert 2.54 cm to meters,Division
178,what is the number of months in 7 years?,Multiplication
179,Estimate the total weight of 2 boxes that weigh 9.4 lb and 62.6 lb using rounding and compatible numbers. Which estimate is closer to the actually weight?,Addition
180,what is 30/80 simplified?,Division
181,m = ____ cm,Division
182,3 is 60% of what?,Multiplication
183,"A carjack requires a force of 110 pounds to lift a 2,500 pound car. in simplest form, what is the ratio of the car's weight to the force required to lift the car?",Division
184,one year the postage rates for sending one ounce of mail first class was increased from 25 cents to 29 cents. The percent of increase in the 29 cent postage was most nearly to? A. 14 percent B. 16 percent C. 18 percent D . 20 percent,Division
185,"how do you find the surface area of a triangular prism? Triangle Base 6cm, triangle height 5.2cm, prism height 16cm.",Addition
186,"A computer is on sale for $1600, which is a 20% discount off the regular price. What is the regular price? A. $1800 B. $1900 C. $2000 D. $2100 E. $2200",Multiplication
187,would you work out? A 5 litre can of paint covers 28 m2. A person buys 3 cans of paint to cover 70 m2. What percentage of the paint does the person use? Th,Division
188,"what is 100,000,000 subtracted from 2?",Subtraction
189,"re are 100 balls in a hat. 6.0 of them are RED, and 94.0 are BLACK. T ee are drawn at random with replacement . culate the expected number of red balls in 3 draws.",Multiplication
190,"equal sums of maony were lend at simple intrest at 11% per annum for 3 1/2 years and 4 1/2 years respectively. If the difference in interests for 2 periods was 412.50$, find each sum.",Multiplication
191,A cube 4 inches on each side is painted white and cut into 64 smaller cubes with equal volume. How many small cubes are painted white on exactly 2 faces.,Multiplication
192,if a cheetah ran 70 mph. how many seconds would it take to reach 400 yards at 70 mph?,Division
193,"In 1999, 189 physical therapists ran in the new york city marathon. This was 1048 fewer than the number of engineers who ran. How many engineers ran in the marathon?",Addition
194,Jonh purchased a CD for $15 after receiving a discount of 20%. Find the original price of the CD.,Subtraction
195,How much is 15% of $250?,Multiplication
196,"What is the r value of the following geometric sequence? 40, 20, 10, 5,.",Division
197,Two coins are tossed 20 times and the number of tails is observed. Outcome 2 1 0. Frequency 5 12 3. Compute the empirical probability that exactly one tail occurred.,Division
198,What is 20% of 120 square feet?,Multiplication
199,"A survey of 21,400 people found that 1,892 stubbed a toe at least once in 2007. Based on those figures, what are the odds of someone stubbing their toe on any given day? For example, what are the odds of someone stubbing their toe tomorrow?",Division
200,How many volts are represented by 200 millivolts?,Division
201,1 mi is equivalent to 1609 m so 55 mph is?,Multiplication
202,find the average of four consecutive odd integers whose sum is 112. A. 25 B. 29 C. 31 D. 28 E. 30,Multiplication
203,how do you write 20 as fraction?,Division
204,A cone has a volume of 45 ft3. The volume of a cylinder with the same height and a congruent base is _____ ft3.,Multiplication
205,"If John scores 20% of his team's points in a basketball game, how many points does the team score if John scores 14 points? A: 66 B: 74 C: 72 D: 70",Division
206,"the total production of Chairs and stools is 285,000. Chairs accounting for 120,000 and stools 165,000. How do I find out what percentage of chairs makes up final production? Ma",Division
207,2 to the negitive 2 power?,Subtraction
208,"Beach Channel High SchoolÛªs football team scored one field goal (3 points) and gave up a touchdown (7 points) in the first quarter. In the third quarter, they scored another field goal and have up a safety (2 points). They gave up a final field goal in the fourth quarter. By how much did they lose?",Subtraction
209,The lateral area of a square pyramid is 62 square inches and the base area is 18 square inches. Find the surface area. 44 square inches 80 square inches 134 square inches 279 square inches,Addition
210,"If I'm paying $4 for 250 business cards, what am I paying per card and how did you find that value?",Division
211,what would be 61 miles to km rounded to neares hundredth?,Multiplication
212,The world population was 4.2 billion people in 1982. The population in 1999 reached 6 billion. Find the percent of change from 1982 to 1999.,Division
213,"what is 8% of $20,000.00?",Multiplication
214,"The camp light has a switch that will allow the light to operate one, two, or all three bulbs at the same time. The batteries will last 6 hours with only one bulb burning and 3 hours with two bulbs burning. How long will the batteries last if all three bulbs are on? (Round your answer to the nearest tenth.)",Division
215,How do I work out 4.5% of å£3000?,Multiplication
216,"The number which best completes the sequence1 1/2 , 5 , 10 1/2 , 18?",Addition
217,how tall in feet is 151 cm and a half?,Division
218,"A buyer's agent earned a $2,400 commision on a sale. If the total commision paid on the deal was 5.5%, what was the sales price of the house? A. $480,000 B. $43,636 C. $87,272 D. $26,400",Multiplication
219,"1999, the population of Alaska was 0.62 million. Write the population as a whole number.",Multiplication
220,"Jason's dad's car can go 31 miles on each gallon of gasoline. When the tank is full, the car holds 27 gallons of gasoline. If the car is going 55 miles per hour, how far can it go on one full tank of gasoline?",Multiplication
221,"how many positive 2-digit integers can be formed using the digits {1, 2, 3} if repetition of digits is not allowed?",Multiplication
222,"in 2003 there were about 18,600,000 people living in new york of which about 2,340,000 were age 65 or older. suppose a new york resident was selected at a random. what is the probability that he or she was age 65 or older?",Division
223,"You toss 3 coins. What is the probability that you get exactly 2 heads, given that you get at least one head?",Division
224,What is 30% of $50?,Multiplication
225,"For example, if there is a 75 % chance of achieving something on a trial and error basis, what is the chances that you will succeed both times?",Multiplication
226,"Can you find the next number in this pattern 1, 3, 4, 7, 11?",Addition
227,"angle 1 is 3x, angle 2 is y, and angle 3 is 75 degrees. angle 2 and 3 are supplementary. how do you tell if one of them is y?",Addition
228,"How many square feet is 7'6"" by 7'6""?",Multiplication
229,"A distribution has the five-number summary shown below. What is the interquartile range of this distribution? 12, 21, 43, 62, 71",Subtraction
230,What is the decimal form of 5 minutes of an hour?,Division
231,"what is 20 percent of 150,000?",Multiplication
232,you have worked 37 3/4 hours and your hourly rate of pay is $11.60. calculate your amount of pay? a.$438.00 b.$437.90 c.$439.25 d.$439.00,Multiplication
233,"What's the probability of Larry having fewer than two accidents a month? ""Larry Fitzgearld, the new parking attendant, believes the probability there will be no accidents in a given month is 5%. The probability of his having one, two or three acidents in a given month is 43%, 31%, and 21% respectively. What is the probability of Larry having fewer than two accidents a month?""",Addition
234,"In order to lift a load a distance of 6m by a pulley, it is necessary to move the effort load by 3m. What would be the velocity ratio?",Division
235,ad to convert 1/6% into a decimal. I,Division
236,what is the percent when you divide 18.5 by 20?,Division
237,in a deck of 52 cards. what is the probability of getting a 3 or 9?,Division
238,what is 11 over 13 as a percent grade?,Division
239,What percent of 2.4 is 5.2?,Multiplication
240,what is 18% of $225?,Multiplication
241,"culate the percentage of 15, 88 of the number 91, 28 -",Division
242,"if i bought an xbox360 for ÀÁ250, and sold it for ÀÁ135, what percentage did i sell for?",Division
243,"Jesse paid $1,824.12 for a laptop. This price included the 8% sale tax. What was the price for the laptop before tax?",Multiplication
244,"next number in sequence: 3, 15, 35, 63?",Multiplication
245,"this is the question. 35.3 g= mass. 1.60g/cm cubed , i have to find the volume?",Division
246,How old would a 13 year old be if they lived on Jupiter? 1 Jupiter year = 12 Earth years,Division
247,"t is the number of numbers that can be made from the numbers two and three such that the number contains 4 digits. 3, 2323, 2332, 3322, 3232, 3223",Subtraction
248,"jan, ellen, rob, heather, and chris are finalists in a contest. the contest has prizes for 1st and 2nd place. how many different ways can the prizes be awarded?",Multiplication
249,You need 2.50lb of meat that sells for $2.70/lb. Use this price to determine a factor to calculate the cost of the meat you need.,Multiplication
250,The bottom area of a box is cm2 sand it iecm high n.gure out how much soil will the box hold (.,Multiplication
251,Why is it when you divide 80 by 12?,Division
252,t number gives the same result when multiplyed by 6 as it does when 6 is added to it? a,Addition
253,"It has been found that 60 percent of homes subscribe to a cable service including the program ""Cooking with Math"". However, of these subscribers, 13 percent never watch ""Cooking with Math"", while 35 percent claim to watch it more than 5 times per week. Find the probability (as a decimal value) that a randomly selected home subscribes to a cable service including the program ""Cooking with Math"" and watches it more than 5 times per week.",Multiplication
254,What is 30% of $150.00?,Multiplication
255,"How many teaspoons is 1 quart? uart is 2 pints, 2 pints is 4 cups, 4 cups is 32 fl ozuid, nceand 1 fluid ounce= 2 tablespoons, 1 tablespoon is 3 teaspoons.",Multiplication
256,"what is 4,000,000 divided by 12?",Division
257,"Assume that the box contains 10 balls: 4 red, 1 green, and 5 blue. Two balls are drawn at random, one after the other without replacement. What is the probability that the first ball was blue, given that the second was red?",Division
258,42 is 60% of what number?,Multiplication
259,(-4)^3(-4). How do i solve this?,Subtraction
260,Two angles are supplementary. The first angle measures 40å¡. What is the measurement of the second angle? A50å¡ 120å¡ 60å¡ 140å¡,Subtraction
261,How much is 1.8 minutes?,Multiplication
262,"How many possible combonations are there of these 4 numbers?k I have these four numbers 2,2,5 ,7 a nd I want to how to find out how many combonations there are for these four numbers and maybe a site where I can enter them in and it lists all the combonations for me.",Multiplication
263,convert the whole number 3 into a fraction. /9 is equal to what?,Division
264,How do you find out the reciprocal of 1.25?,Division
265,is 6/18 a equal fraction to 1/8 or 1/3?,Division
266,"Annual Premium per $1000. Age Male Age Female 10 Year 20 Year Straight Life 25 28 3.25 5.84 15.66 30 33 3.82 7.93 18.98 35 38 4.55 10.33 22.38 How much is the life insurance premium for a 30 year old male, $320,000 straight life policy?",Multiplication
267,What is 15 over 24 in simplest form?,Division
268,"Use the arithmetic sequence of numbers 2, 4, 6, 8, 10. to find the following: What is d , the difference between any two consecutive terms?",Subtraction
269,5 times 15?,Multiplication
270,what is 6 divide by 131?,Division
271,The United States Is The World's Leading Exporter Of Wheat With Approximately 27.8 Billion Metric Tons Per r. Suppose Turkey Exports 10 % Of The U.S. Total. About How Many Metric Tons Are Exported By Turkey ? . 18 Billion B.8 Billion C.5 Billion D.3 Billion,Multiplication
272,"There were 2 identical flights of steps. For the first flight of steps, Sam walked up some steps and ran 7 steps in 67 seconds. For the 2nd flight of steps, Sam walked up some steps and ran 5 steps in 43conds. How long will Sam take to walk up both flights of steps?",Addition
273,"The population of a state was 4,309,000, with 35.8% represented by a minority. What is the best estimate of the minority population in this state? A: 1,540,000 B: 154,300,000 C: 770,000 D: 12,000,000",Multiplication
274,"an accentric millionaire revisited his hometown and offer each boy $ 10 and each girl $6. all the girls accepted the offer, but 40% of the boys declined. how much money was given out if there were 2240 boys and girls in the town?",Multiplication
275,What is 20% of $21.46?,Multiplication
276,how do you express ÀÁ25 as a percentage of ÀÁ274 correct to 1 decimal place?,Division
277,"Emily weighed 10.6 stone at 26 before she got married, 3 years later and two days after her wedding she weighed 8.4 stone, how much weight has she lost in total.",Subtraction
278,"the distance around the equator of Neptune is about 154,566 kilometers. What is the equatorial diameter of Neptune? Use 3.14 for pi. A. 49,225km B. 24,612.5km C. 49,212km D. 24,627.5km",Multiplication
279,"If p is 25% of q, then q is what percent of p?",Division
280,12 7/50 change to decimal?,Division
281,"A man's stock earned 142,000,000. If these earnings represent $1.14 per share, how many shares of stock are there?",Multiplication
282,can anyone help me work out what 17 & 1/2 percent of $2050.00 also the same percentage of $250.00,Multiplication
283,Amy weighs 180 pounds. After 1 week she weighs 165 pounds. What is the percent in change? eed 2 find d % in chang freom 180 to 150.,Division
284,"y 12% of an iceberg's mass is above water. If the mass above water is 9,000,000 kg, what is the mass of the entire iceberg?",Multiplication
285,The side of a regular pentagon is 12 cm. Find the perimeter. The perimeter is: A. 60 cm B. 72 cm C. 30 cm D. 36 cm,Multiplication
286,"Probability? ix married couples are standing in a room. if 2 people are chosen at random, find the probability that one is male and the other is female a. 1/3 b. 6/11 c. 1/11 d. 16/33",Division
287,"how many 2-digit numbers can you make with the digits 4, 5, 6, 7 if no digits are repeated?",Multiplication
288,"ight bulb manufacturer produces bulbs in batches of 50, and it is known from past experience that 5 of each batch will be defective If two bulbs are selected without replacement from a batch, what is the probability that both will be defective? (0.00816)",Division
289,"find the average speed for the giagistance and time. show the unit analysis to check units, . blem: D k Rutan and jeana yeager flew nonstop around the world, a distance of 24,986.73 miles, in 216.06 hours",Division
290,"if 0.5 as a fraction is 1/2, how do you write 0.49 (non terminating) as a fraction?",Multiplication
291,"The answer will be in numbers, not spelled out. anre are 7 girls on a busach girl has 7 backpacks . each backpack, there are 7 big cats . every big cat there are 7 little cats . stion: Ho many legs are there in the bus?",Multiplication
292,"a local threatre school, 8% of students are from low income families. Past experience suggests that 21% of students from low income families in the community gain five or more passes, whilst 54% of the students not from low income families gain five or more passes. As an employer of people from this community you are reviewing an applicant for a threatre job, and you note that the first one has more than fives passes. What is the probability that the applicant comes from a low income family?",Division
293,", and it shows it simplified to 3ö_5. How did they get that? Can someone please give me an explaination? And if I have a problem like: ö_169, how would that be simplified like the first one? Th",Multiplication
294,"ow many days wold it take if you played the quiz every day straight? for those who is not familiar with it. its 1,000,000 questions and you can answer 15 a day.",Division
295,how many time will 40 go into 1000?,Division
296,is 40 out of 60 the same as 2/3?,Division
297,"if there exist 4 different weight orange, given that the sum of weight of 2 of this 4 orange are 69g, 83g, 95g, 100g, 114g respectively. however, there exist 1 combination of 2 orange that haven't been weight together, what is the sum of weight of this 2 orange that haven't been weight together.",Subtraction
298,Find the area of a rectangle that is 7.5 cm long and 4 cm wide. 30 sq. cm 3.5 sq. cm 11.5 sq. cm 1.875 sq. cm,Multiplication
299,tiply- (ö_3 + ö_5)(ö_3 - ö_5),Subtraction
300,is 2/66 in simplest form?,Division
301,ratio of carls phone bill to alexs telephone bill was 7:5. carls bill was 14$ more than alexs bill. what was carls bill?,Multiplication
302,"how to figure 2% of $199,000.00?",Multiplication
303,"its a rectangular box and one side is 3'2 and the bottom is 5'1 and the other side is 2'11 th. estimatee answ10a,of, anstop of thit lx.",Multiplication
304,"ompany uses printer cartridges from three manufacturers. Manufacturers A, B, and C supply, respectively, 60%, 30% and 10% of the companys cartridges. 1% of cartridges from A, 2% from B, and 3% from C are defective. If a cartridge is randomly chosen and found to be defective, what is the probability that it is from manufacturer B?",Division
305,multiply. (7 + sqrt 3) (7 - sqrt 3)?,Subtraction
306,4702 days= how many years?,Division
307,of a sum of money is å£24$ find the sum of money? .,Division
308,"stion: use these numbers: 5, -7, 3, -4, ,-1, and use the operations of : adding, subtracting, multiplying, and dividing, only ONCE EACH to form the target number of 4.",Subtraction
309,"'s parents have agreed to lend him 60 % of the cost of buying a second hand car. If joe still has to find $328 himself, how much does the car cost?",Division
310,What is 6/10 in decimal form?,Division
311,How do you find the percentage of a number. Ex. Dan worked 60/76 per week. 60/76 how do find the answer?,Division
312,11. Simon arrived at work at 8 : 15 A.M. and left work at 10: 30 P.M. If Simon gets paid by the hour at a rate of $10 and time and 1/2 for any hours worked over 8 in a day. How much did Simon get paid?,Addition
