,question,operation
67,What's 3 divided by 4 1/5?,Division
68,Why is 10 to the power of minus 1 not 1?,Subtraction
69,what is the ratio of 447 to 2643?,Division
70,"A man is walking away from a wall at a rate of 1 meter per second. There is a window in the wall at a height of 40 meters above the ground. When the man is 30 meters away from the building, at what rate is his distance from the window changing?",Subtraction
71,"What is 40% of $3,320, paid 40% of the balance?",Multiplication
72,I got a 52/70 on a project. What is this grade out of 100 points?,Division
73,"I want to charge the middle amount of this for rent. There are 2 other bedrooms available for rent in my building that are all the same. One is going for 750 and the other for 1,000. So what would the middle amount be?",Division
74,What is the of ways that 6 people can be seated in a car on a drive? A car holds exactly 6 people but only 2 of those 6 people can drive this car. What is the number of ways that the 6 people can be seated in the car on a drive?,Addition
75,What is 20% 0f 20?,Multiplication
76,What is the ratio of the length of a side of an equilateral triangle to the triangles perimeter? A. 1 : 1 B. 1 : 2 C. 1 : 3 D. 3 : 1,Division
77,Use the distance formula to find the rate if a car travels 150 miles in 2 1/2 hours?,Multiplication
78,which number is the decimal form of 7/20? a:0.45 b:0.36 c:0.35 d:0.035,Division
79,_________ is 35% of 60?,Multiplication
80,"How much is 20% of $4,000?",Multiplication
81,Which fraction is equivalent to 25%? 5/6? 1/4? 3/4? 1/3?,Division
82,"On a 100 question test, 60 questions involve algebra and 20 questions are difficult. if 8 of the difficult questions involve algebra, how many of the questions that are not difficult do not involve algebra?",Subtraction
83,What percent of 10 is 205?,Multiplication
84,9 is what percent of 72?,Division
85,A parallelogram has adjacent sides of 176 ft and 312 ft. The altitude to the shorter side is 290 ft. What is the area of the parallelogram?,Multiplication
86,30 is 35% of what number?,Multiplication
87,20% of c is 24. What is c?,Multiplication
88,Find the area of a parallelogram if the base is 11 inches and the height is 4 inches. a.15 square inches b.22 square inches c.30 square inches d.44 square inches,Multiplication
89,"I have record like this 8.50 m then 8.10 , 8.40, 5.20,.2.10, 2.30 there sum is in decimal 35.40 but i want sum in h minute , what i do?",Multiplication
90,"If my granddad was 37 in 1958 when my dad was born, and my dad is 48 now, what year was my granddad born?",Subtraction
91,The lowest temperature on a winter morning was -8F. Later that same day the temperature reached a high of 24F. By how many degrees Fahrenheit did the temperature increase?,Addition
92,"What is the probability that a point picked at random, in a square figure [with side lengths of 10 (making the area 100)], will land in the shaded region of the square, (the shaded region's area being 84)?",Division
93,One kilometer is equal to 1000 meters. What fractional part of a kilometer is 700 meters?,Division
94,What is 64% of 20?,Multiplication
95,How do you turn 10 1/3% into a fraction?,Division
96,I have 2426 square feet of flagstone and it cost 0.25 cents a pound and the flagstone covers about 100 square feet per ton. how many pounds will i need?,Multiplication
97,If I own 405 shares in a company and there is a total of 600 shares in the company what percentage do I hold.,Division
98,A 42 inch-long guitar is 10.5-feet-long on a stadium screen.A drum is 21 inches wide. How wide is the image on the stadium screen?,Division
99,I got a 75/100 on a midterm and the midterm is worth 25% of the overall grade. 25% Participation. - 25% Essay. - 25% Final. - 25% Midterm. So how much of the 25% do I get applied to my grade if I got a 75/100 on the midterm.,Multiplication
100,"write 20 3/8% as a decimal, write 819% as a decimal?",Division
101,square root question 5ö_25?,Multiplication
102,what is 60 percent of 2500?,Multiplication
103,How many years ago since 2011?,Subtraction
104,find a pattern in a string of numbers to determine the next number in the sequence and filling in the blank 16 4 20 24 44?,Addition
105,How many feet is 65.3 inches?,Division
106,"If nC8 = nC7, find n",Subtraction
107,42.5 billion aluminim cans were recycled in 1988. which represents 54.6%. so how many are produced in one year?,Multiplication
108,what is 4 percent of 12 ounces?,Multiplication
109,the area of a parallelogram is 39.06 cm2. the base is 9.3 cm. find the height.,Division
110,"Solve: The perimeter of a square with a side length ""s"" is givien by the expression 4s. What is the perimeter of a square with sides of 7.5cm?",Multiplication
111,"If a pizza is sliced into 8 equal pieces, what is the measure of the central angle represented by each slice? A. 35 degrees . B. 40 degrees . C. 45 degrees . D. 60 degrees.",Division
112,what percent is 200 out of 350?,Division
113,what is 10% of 39.99?,Multiplication
114,What percent of 50 is 130?,Multiplication
115,What is the measure of each angle formed by two perpendicular lines? a. 45 b. 90 c. 180 d. 360,Division
116,what is 19/25 as a percent?,Division
117,What is the simple interest on a principal of $640 at the interest rate of 3.8% for 1 year?,Multiplication
118,monthly income:? percent budgeted: 7 1/2%. amount budgeted: $240.,Multiplication
119,"The measure of an interior angle of an equilateral triangle must be _____. A. 60, B. 180 , C. 90, D. 45",Division
120,What is 4 and 2 sevenths plus 1 and 5 sevenths equaled to?,Addition
121,Normal body temperature is 98 3/5 degrees Fahrenheit. How many degrees above normal is a 100-degree fever? Use a space between the whole number and fraction.,Subtraction
122,If 65% of C is 39. what is C?,Division
123,Find the number of 2 3/4 gallon cans which can be filled from a tank containing 90 3/4 gallons of oil.,Division
124,"how much is 85,000,000,000 divided by 200,000,000?",Division
125,"What is 7.5% of 280,000,000?",Multiplication
126,you need to calculate the circumference after being given the diameter so if its 10cm .,Multiplication
127,A parallelogram has a height of 3 m and a base of 6 m. What is its area?,Multiplication
128,You have made $3000 on the sale for your stock. the original cost of the stock was $15000? find the percentage of increase. A. 20% B. 10% C. 5% D. 3%,Division
129,log base(2) 5th root(2)? fraction form?,Division
130,Kit got 74/84 on the exam meaning that she earned 74 points out of 80 possible write the decimal equivalent t? Show work.,Division
131,What's 20% of $450?,Multiplication
132,"What is the inter quartile range? 31, 32, 33, 36, 42, 45, 49, 53, 57, 58, 64, 67, 69, 76, 78",Subtraction
133,"if i worked 23 hours and make 7.50 an hour, how much would my check be?",Multiplication
134,what is the difference of 8 and 22?,Subtraction
135,"I got a 52 out of 60 on my last test, so what would my percent and letter grades be?",Division
136,"What is 4,000,000,000 minus 36,000,000?",Subtraction
137,"What do you divide by to find 5% of 200,000?",Multiplication
138,The kite shop buys a certain type of kite for 13 each and sells them for 15.60. What is the percent markup?,Division
139,A parallelogram has a base of 17 cm and a height of 6.5 cm. Find the area?,Multiplication
140,What is 7300 divided by 156?,Division
141,2 4/5 divided by 2 1/10?,Division
142,What is 20 percent of $75?,Multiplication
143,Identify the whole: what is 14% of 78? a. 78 b. 14 c. unknown d. cannot be determined from information given,Multiplication
144,"a family has a budget for washing and drying your clothes $50 per week. If a washer and dryer costs $ 1500, how many weeks that budget are needed to equalize the cost of a washer and dryer?",Division
145,How much is 120% of $68?,Multiplication
146,"The label on a cereal box states the following:. -One serving of cereal contains 17 grams of carbohydrates.. -This number of grams is 6% of the maximum amount of carbohydrates that a person should eat in a day. . Based on this information, which of the following is closest to the maximum amount of carbohydrates that a person should eat in a day? . A. 1.02 grams. B. 2.83 grams. C. 102 grams. D. 283 grams.",Multiplication
147,Jordan has a bag that contains 246 marbles. There are 51 brown marbles and 195 gray marbles. Estimate the percent of brown marbles in the bag.,Division
148,"Let x and y be two (different) independent observations of the band weight from a DNA profile. Assume that X, Y can be taken samples from a Normal distribution with mean 2000 bp and standard deviation 10 bp. Let d = x-y be the difference where d can be assumed to be Normally distributed with mean zero and standard deviation 10ö_2 bp. Find the probability that the observed difference between x and y exceeds 30bp.",Subtraction
149,"Estimate 6,235 + 2,505. use rounding?",Addition
150,"The water level of a river was 3 ft above normal. After an unusually dry season, the water level is 6 ft below normal. Find the range of the water levels of the river.",Addition
151,Find the area of a parallelogram if the base is 9 inches and the height is 6 inches. (A)54 square inches (B)30 square inches (C) 27 square inches (D)15 square inches,Multiplication
152,What percentage is 225 of 265?,Division
153,A local cricket team played 20 matches in 1 season. The percentage of matches won is 25%. What is the number of matches they won?,Multiplication
154,How do you convert a number into a percent if the question was to find 36% out of 25?,Multiplication
155,What percent of 16 is 12.,Multiplication
156,"Just say my balance is $256, how do i use the calculator to get 5% of this.",Multiplication
157,"What is 38% of 2,000,000?",Multiplication
158,"If the measure of one acute angle of a right triangle is 55, then the measure of the other acute angle is? A.25 B.35 C.45 D.55 E.125",Subtraction
159,Evette has 41 1/2 ft of string. She wants to cut it into pieces 3 3/4 ft long. How many pieces of string will s?,Division
160,20% of what number is 10?,Multiplication
161,what is 5 1/4 divided by 3 3/5?,Division
162,"An apartment building produces a net operating income of $34,000 per year. This $34,000 represents a 7% return. What did the building originally cost?",Multiplication
163,"what is 18 percent of 214,643.13?",Multiplication
164,Add the absolute value of the two integers. Write the complete addition sentence and the answer. |-15|+|21|,Addition
165,"employees new salary is 28,140 after a 5% raise. what was his salary before the raise?",Multiplication
166,An adult cat has a body mass of 3500 grams. It can eat up to 8% of its body mass in food each day. How many grams of food can the cat eat each day? Use estimation to justify that your answer is reasonable.,Multiplication
167,20 is what % of 5000?,Multiplication
168,"What is the d value of the following arithmetic sequence? 27, 41, 55, 69, 83, 97-",Subtraction
169,"The smallest natural number that is divisible by the numbers: 2, 3, 4, 6, 8, and 9?",Multiplication
170,log3 27-log9 9?,Subtraction
171,"A triangle has vertices at points with coordinates of (2.1), (9.1) and (3.9). What is the area of the triangle in square units? A. 7 B. 7 1/2 C. 14 D. 27 E. 28",Division
172,55 is what percent of 220?,Division
173,3570 is 42% of what number?,Multiplication
174,"Calculate the range of the following numbers. Round to the nearest whole number if necessary. 15, 2, 49, 22, 63?",Subtraction
175,"1 km equivalent a 10,000 cm?",Multiplication
176,"What's 15 % of $145,000,00?",Multiplication
177,12 1/2% of 8 is?,Multiplication
178,"Find the area of a rectangle whose vertices are (0, 0), (8, 0),(0, 5) and (8, 5)?",Multiplication
179,What is 20% of 80?,Multiplication
180,"The Indianapolis Motor Speedway has 3,200,000 bricks that lie beneath the 2.5 miles of track. Find how many bricks lie under one mile of track at the race track. How do I do this?",Division
181,4 is what percent of 50?,Division
182,Express 7/4 as a percent.,Division
183,What is the sum of 1 and 1?,Addition
184,"If f(x) = x + 2, find the value of x if f(x) = 12.",Addition
185,what percent of 54 is 135?,Multiplication
186,I have the number 640 and the number 80. I need to figure out what percentage 80 is of 640.,Multiplication
187,what is the reciprocal of 0.8.,Division
188,what is the answer to 30 divided by 8 as a fraction?,Division
189,20% of the number is 3. Find the number?,Multiplication
190,5 times a number equals 20what is the number?,Multiplication
191,15 is 25% of what number?,Multiplication
192,36 is 60% of what number?,Multiplication
193,A 3- digit number in which one digit is the average of the other two digits is called an average number. 456 is an average number because 5 is the average of 4 and 6. How many three digit average numbers are there?,Multiplication
194,"what is 8% of 2,000.",Multiplication
195,what's 8% of 5.00?,Multiplication
196,what percent of 50 is 6?,Multiplication
197,What percent of 80 is 50?,Multiplication
198,Megan likes to jog around a duck pond near her house. The distance around the pond is 0.4 mi. How many laps around the pond are necessary to run 5 mi?,Division
199,"If 60 is 40% of a number, what is that number?",Multiplication
200,"In 1960, a farmer was paid $1 for one bushel of corn. In 2000, the price of one bushel of corn was 185% of the 1960 price. How much was a farmer paid for one bushel of corn in 2000?",Multiplication
201,"A softball players batting average is the ratio of hits made to the number of times at bat. If Ann's batting average is 0.320, how many hits would she expect to get in 25 times at bat?",Division
202,how to solve 6% of 19.,Multiplication
203,14 is what percent of 84?,Multiplication
204,what percent of 240 is 60?,Multiplication
205,The lateral area of a rectangular prism with height of 4 feet is 60 ft2. What is the perimeter of the base?,Multiplication
206,Line RS bisects PQ at point R. Find RQ if PQ = 14 centimeters?,Division
207,what is 15 percent of $49.99?,Multiplication
208,The three best bands each have 36 marchers. Each member receives a ribbon. use the Distributive Property to explain how to figure out how many ribbons are needed. Then solve.,Multiplication
209,"A rope is 42 feet long, How many yards is that?",Division
210,45 divided by 6 =?,Division
211,4 to the negative 2 power.,Subtraction
212,"4,000 grams = kilograms? (1 gram = 0.001 kilograms)",Multiplication
213,"A survey asked cat owners, does you cat have bad breath? out of 200 owners 80 answered yes to this question. what percent of the cat owners answered yes?",Division
214,15 is what percent of 24?,Multiplication
215,Tim wants to put a rug in his room. The length of his room is 2 feet and the width of his room is 5 feet. How much rug will Tim need? Find the area.,Multiplication
216,"if 145 is 15% of the whole, what is the whole?",Multiplication
217,I have 37 grams total. I have 6% Thiamin how do I figure out the number of grams of thiamin?,Multiplication
218,what 12% of 240 is?,Multiplication
219,10 pounds lost in 4 weeks. That is a ratio. How would you make it a rate?,Division
220,What is 24 divided by 8?,Division
221,30 is what percent of 150?,Multiplication
222,"The area of a rectangle is 2cm squared, If the length of the rectangleis 8cm, what is the width of the rectange?",Multiplication
223,At a rate if 7% what is the sales tax on a car priced at 9500?,Multiplication
224,What is 14% of $25.99? (Rounded to the nearest cent)?,Multiplication
225,I have a car that gives 16 mpg. Let x be the number of miles driven on 50 gallons of gas. I need to show both the set up of the proportion and the steps to solve. Including the units with my answer.,Division
226,what is 0.8 divided by 4?,Division
227,"If I have $200,000 to spend, but I have allocated 8.55% of that in one month, how much is that 8.55%.",Multiplication
228,35% of what number is 500?,Multiplication
229,Glenda has a $40 gift card to a cafe that sells her favourite tuna sandwich for $3.75 after tax. What are the possible numbers of tuna sandwiches can she buy with her gift card?,Division
230,the length and breadth of a lawn is 20m and 4.8m. what is the ratio of length to breadth?,Division
231,"Layla has to read 48 pages for her history class before the end of the week. So far, she has read 15 pages. What fraction has she read?",Division
232,6 divided by 1824?,Division
233,There are 2.25 times as many days of fog in Vancouver as in Winnipeg. The total number of days of fog in both cities is 65. How many days of fog does Winnipeg have per year?,Addition
234,82 divided by 4?,Division
235,"Recently, the exchange rate for U.S dollars to Indian rupees was $1 = 43.43 rupees. How many dollars would you get for 860 rupees?",Division
236,what is the probability that the number 4 will land face up in a cube with six sides.,Division
237,"How many miles are equal to 32,000 ft?",Division
238,"Tia wants to plant a garden that will attract butterflies. She decides to plant parsley, dill, and fennel to attract swallowtail butterflies; scarlet milkweed to attract monarch butterflies; and thistles for Painted Lady butterflies. If Tia's garden is 30 feet long, how many feet should it be in width so that the area is 600 square feet?",Multiplication
239,How tall is a tree which is 15 feet shorter than a pole that is three times as tall as the tree?,Addition
240,What is 15 over 100 reduced? then converted to a percent.,Division
241,"how many millilitres are in 1,211 litres?",Multiplication
242,The weekly milk order for the Tranquility Inn includes 40 gallons of low-fat milk and 15 gallons of chocolate milk. What is the ratio of the number of low-fat gallons to chocolate gallons in the Tranquility Inns weekly milk order?,Division
243,"if i make 600 hundred dollars a month, how much would i make in 11 months",Multiplication
244,"how would i solve this type of problem 7 2/5% of x is equal to74, solving for (x)?",Multiplication
245,what is 20 percent off of 59.99?,Multiplication
246,"it is based on theoretical probability and it says jar contains 50 marbles that are the same size. there are 15 blue, 8 yellow, and 27 red marbles. and then question says p(blue).",Division
247,"A school student body can elect a president & a vice-president in 14,520 ways. If every grade 11 student in the school is eligible to run for these positions, how many grade 11 students are in the school?",Subtraction
248,what is 2 plus 2?,Addition
249,24.5 is 35% of what number?,Multiplication
250,"In a Gallup poll of 1,038 adults, 540 said that second-hand smoke is very harmful. What is the percentage of adults who said second-hand smoke is very harmful?",Division
251,"A bag of chocolate covered candy, contains 23% green, 37% red, 22% blue, and 18% yellow candies. Marcus put 350 candies in a bowl. Find the total number of blue candies.",Multiplication
252,Calculate 33 1/3% of 60?,Multiplication
253,"a mountain climber ascends a mountain to its peak. the peak is 12,740 ft above sea level. the climber then descends 200 ft to meet a fellow climber. find the climber's elevation above sea level after meeting the other climber",Addition
254,"An object has a mass of 57.6 g. Find the object's density, given that its volume is 40.25 cm^3.",Division
255,Uncle Smith bought a shirt at 45% off. He saved $11.70. What was the sale price of the shirt?,Multiplication
256,"If a class collects $155 toward a fundraising goal of $775, what fraction represents the class's progress toward its goal?",Division
257,8 * 6 4/5=?,Multiplication
258,If Lana sells a stereo for $735.00 and makes $27 commission. What percentage commission does Lana get paid?,Division
259,Solve X + 25 = 36,Addition
260,Water moves past a 10cm board in 1.3 seconds. How far the water will travel in a second.,Division
261,A craftsman makes miniature replicas of Victorian furniture. The scale model of a table that he made is 3 inches long. The full-size table is 36 inches long. What is the models scale?,Division
262,What percent of 250 is 128?,Multiplication
263,It takes two feet of ribbon to make a large bow. Jeannette has 250 feet of ribbon. How many bows can she make??,Division
264,Suppose 75% of 6-year-olds weigh under 46 lb. How many 6-yearolds would you expect to weigh under 46 lb in a class of 32 age-six first-graders?,Multiplication
265,the football team gained 23 yards on 1st down and were penalized 5 yards on 2nd down. What was the net result?,Subtraction
266,0.9% of 116,Multiplication
267,suppose you and a friend are working for a nursery planting trees. Together you can plant 8 trees per hour. What is the greatest number of hours you and your friend would need to plant at most 40 trees?,Division
268,What is 25% of 200?,Multiplication
269,Jan has 5 notebooks and 3 pens. How many different combinations of notebooks and pens could Jan possibly use in school one day?,Multiplication
270,2.25 Divided by 3.,Division
271,3 divided by 4.155,Division
272,288+N=106,Addition
273,what's the grade of the slope? The road is 24 ft. the hill is 3 ft.,Division
274,Arif and Keisha go to a restaurant for dinner. Their meal total $13.75 The Sales Tax is 5%. How much tax is added?,Multiplication
275,"Of the sixth-grade students surveyed, 12% bring their lunches to school. Suppose 24 sixth-graders do this. How many sixth-graders are at the school?",Multiplication
276,45 is what percent of 66?,Multiplication
277,what is 60% of 125?,Multiplication
278,A Heron can travel an average of 400 km in 10 h. What is the rate of change of distance?,Division
279,"If the diameter is 21, then what is the circumference?",Multiplication
280,"5,682 divided by 900,854,023",Division
281,there are 26 7th grade boys and 34 7th grade girls. there are also 30 8th grade boys and 22 8th grade girls. write in simplest form what the ratio is for 7th grade boys and 8th grade boys.,Division
282,"Events A and B are mutually exclusive. Also, P(A) = 0.54 and P(B) = 0.09. What is P(A or B)?",Addition
283,convert 2.54 cm to meters,Division
284,what is the number of months in 7 years?,Multiplication
285,Estimate the total weight of 2 boxes that weigh 9.4 lb and 62.6 lb using rounding and compatible numbers. Which estimate is closer to the actually weight?,Addition
286,what is 30/80 simplified?,Division
287,m = ____ cm,Division
288,3 is 60% of what?,Multiplication
289,"A carjack requires a force of 110 pounds to lift a 2,500 pound car. in simplest form, what is the ratio of the car's weight to the force required to lift the car?",Division
290,A televised debate is being taped using two independent sound systems. The first has a 0.03 probability of failure during taping; the second has a 0.05 probability of failure. What is the probability that both will fail during taping?,Multiplication
291,"The scale factor between figure A and figure B is 0.25. If one side length of figure B is fifty-six yards, what is the corresponding side length of figure A?",Multiplication
292,"If m varies directly as y and m is 6 when y is 36, find the constant of variation.",Multiplication
293,one year the postage rates for sending one ounce of mail first class was increased from 25 cents to 29 cents. The percent of increase in the 29 cent postage was most nearly to? A. 14 percent B. 16 percent C. 18 percent D . 20 percent,Division
294,a spinner has regions 1 through 15 what's the probability the spinne will stop on an even # or a multiple of 3,Division
295,"how do you find the surface area of a triangular prism? Triangle Base 6cm, triangle height 5.2cm, prism height 16cm.",Addition
296,would you work out? A 5 litre can of paint covers 28 m2. A person buys 3 cans of paint to cover 70 m2. What percentage of the paint does the person use? Th,Division
297,97.5 is 39% of what number?,Multiplication
298,"57% off of $99.99, the new cost?",Multiplication
299,"what is 100,000,000 subtracted from 2?",Subtraction
300,what is 7 1/4 pounds in ounces?,Multiplication
301,"re are 100 balls in a hat. 6.0 of them are RED, and 94.0 are BLACK. T ee are drawn at random with replacement . culate the expected number of red balls in 3 draws.",Multiplication
302,"equal sums of maony were lend at simple intrest at 11% per annum for 3 1/2 years and 4 1/2 years respectively. If the difference in interests for 2 periods was 412.50$, find each sum.",Multiplication
303,"ruck travels 40 miles from point A to point B in exactly 1 hour. When the truck is halfway between point A and point B, a car starts from point A and travels at 50 miles per hour. How many miles has the car traveled when the truck reaches point B?",Division
304,"Suppose that a random variable has standard deviation equal to 7. Each possible value of this random variable is first multiplied by 6, and then 42 is added to it. what is the standard deviation of the distribution of the new variable?",Multiplication
305,A cube 4 inches on each side is painted white and cut into 64 smaller cubes with equal volume. How many small cubes are painted white on exactly 2 faces.,Multiplication
306,if a cheetah ran 70 mph. how many seconds would it take to reach 400 yards at 70 mph?,Division
307,"In 1999, 189 physical therapists ran in the new york city marathon. This was 1048 fewer than the number of engineers who ran. How many engineers ran in the marathon?",Addition
308,what is 3% of 44 lbs?,Multiplication
309,Jonh purchased a CD for $15 after receiving a discount of 20%. Find the original price of the CD.,Subtraction
310,find the number whose 50% is 75.,Multiplication
311,What is 42 divided by 4?,Division
312,How much is 15% of $250?,Multiplication
313,"What is the r value of the following geometric sequence? 40, 20, 10, 5,.",Division
314,Two coins are tossed 20 times and the number of tails is observed. Outcome 2 1 0. Frequency 5 12 3. Compute the empirical probability that exactly one tail occurred.,Division
315,What is 20% of 120 square feet?,Multiplication
316,"A survey of 21,400 people found that 1,892 stubbed a toe at least once in 2007. Based on those figures, what are the odds of someone stubbing their toe on any given day? For example, what are the odds of someone stubbing their toe tomorrow?",Division
317,15% is what number of 75?,Division
318,find the probability that is not a multiple of 3. A box contains 7 balls numbered 1 to 7 If a ball is taken at random from the box.,Division
319,How many volts are represented by 200 millivolts?,Division
320,1 mi is equivalent to 1609 m so 55 mph is?,Multiplication
321,find the average of four consecutive odd integers whose sum is 112. A. 25 B. 29 C. 31 D. 28 E. 30,Multiplication
322,work out a % of phone calls. take the total of calls on monday (58) and divide it by the total calls of the week (277).,Division
323,A cone has a volume of 45 ft3. The volume of a cylinder with the same height and a congruent base is _____ ft3.,Multiplication
324,"If John scores 20% of his team's points in a basketball game, how many points does the team score if John scores 14 points? A: 66 B: 74 C: 72 D: 70",Division
325,"the total production of Chairs and stools is 285,000. Chairs accounting for 120,000 and stools 165,000. How do I find out what percentage of chairs makes up final production? Ma",Division
326,2 to the negitive 2 power?,Subtraction
327,"a grocery store sells $500 in baked goods, $3,000 in groceries, $1500 in dairy productions,$1,000 in produce, and $2500 in the meat , By how many dollars do the sales in the meat department exceed the sales in the dairy department ? a.800 b.1000 c.1050 d.250 e.900",Subtraction
328,"If I'm paying $4 for 250 business cards, what am I paying per card and how did you find that value?",Division
329,Solve the equation: 7 x = 42? A. x = - 6 B. x = 6 C. x = 7 D. x = - 7,Multiplication
330,The world population was 4.2 billion people in 1982. The population in 1999 reached 6 billion. Find the percent of change from 1982 to 1999.,Division
331,A drawing of a fish has a scale of 2 cm:1 m. The drawing of the fish is 3 cm long. How long is the fish?,Division
332,"In 1996, the civilian labor force of the United states included 127 milion people, and 5% were uneployed. How many people in the civilian labor force were uneployed?",Multiplication
333,"what is 8% of $20,000.00?",Multiplication
334,What is the answer for 70 divided by 196 in simplest form?,Division
335,"The camp light has a switch that will allow the light to operate one, two, or all three bulbs at the same time. The batteries will last 6 hours with only one bulb burning and 3 hours with two bulbs burning. How long will the batteries last if all three bulbs are on? (Round your answer to the nearest tenth.)",Division
336,"The number which best completes the sequence1 1/2 , 5 , 10 1/2 , 18?",Addition
337,how tall in feet is 151 cm and a half?,Division
