,question,equations,operation,answers
141,suppose you and a friend are working for a nursery planting trees. Together you can plant 8 trees per hour. What is the greatest number of hours you and your friend would need to plant at most 40 trees?,x=40/8,Division,5.0
142,What is 25% of 200?,m=0.25*200,Multiplication,50.0
143,Jan has 5 notebooks and 3 pens. How many different combinations of notebooks and pens could Jan possibly use in school one day?,n=5*3,Multiplication,15.0
144,2.25 Divided by 3.,m=2.25/3,Division,0.75
145,3 divided by 4.155,x=3/4.155,Division,0.7220216606498195
146,288+N=106,288+n=106,Addition,-182.0
147,what's the grade of the slope? The road is 24 ft. the hill is 3 ft.,m=3/24,Division,0.125
148,Arif and Keisha go to a restaurant for dinner. Their meal total $13.75 The Sales Tax is 5%. How much tax is added?,m=13.75*0.05,Multiplication,0.688
149,"Of the sixth-grade students surveyed, 12% bring their lunches to school. Suppose 24 sixth-graders do this. How many sixth-graders are at the school?",0.12*m=24,Multiplication,200.0
150,45 is what percent of 66?,66*m=45,Multiplication,0.682
151,the ceiling was covered with square tiles. There were 30 rows of tiles with 30 tiles in each row. How many tiles covered the ceiling?,m=30*30,Multiplication,900.0
152,what is 60% of 125?,m=0.6*125,Multiplication,75.0
153,A Heron can travel an average of 400 km in 10 h. What is the rate of change of distance?,m=400/10,Division,40.0
154,"Events A and B are mutually exclusive. Also, P(A) = 0.54 and P(B) = 0.09. What is P(A or B)?",m=0.54+0.09,Addition,0.63
155,"Bryce and Rachel are collecting food for the local food bank. Bryce's goal is to collect 32 items. Rachel's goal is to collect 24 items. if rachel and bryce each meet their goal, what fraction of Bryce's goal does rachel collect?",m=24/32,Division,0.75
156,"I ordered 19 items from a company, they only sent me 7 items. So what percentage of the order was sent.",x=7/19,Division,0.368
157,what is 30/80 simplified?,f=30/80,Division,0.375
158,3 is 60% of what?,m*0.6=3,Multiplication,5.0
159,A televised debate is being taped using two independent sound systems. The first has a 0.03 probability of failure during taping; the second has a 0.05 probability of failure. What is the probability that both will fail during taping?,p=0.03*0.05,Multiplication,0.0015
160,"If m varies directly as y and m is 6 when y is 36, find the constant of variation.",6=36*x,Multiplication,0.16666666666666666
161,97.5 is 39% of what number?,x*0.390=97.5,Multiplication,250.0
162,"57% off of $99.99, the new cost?",x=99.99*0.43,Multiplication,42.996
163,"you have borrowed $529 from your parents to buy a mountain bike. your parents are not charging you interest, but they want to be repaid as soon as possible. You can afford to repay them $20 per week. How long will it take to repay your parents?",t=529/20,Division,26.45
164,what is 3% of 44 lbs?,x=44*0.030,Multiplication,1.32
165,find the number whose 50% is 75.,x*0.500=75,Multiplication,150.0
166,What is 42 divided by 4?,x=42/4,Division,10.5
167,How much is 15% of $250?,x=250*0.150,Multiplication,37.5
168,What is 20% of 120 square feet?,x=0.200*120,Multiplication,24.0
169,15% is what number of 75?,75/x=0.150,Division,500.0
170,work out a % of phone calls. take the total of calls on monday (58) and divide it by the total calls of the week (277).,p=58/277,Division,0.209
171,2 to the negitive 2 power?,x=2^(-2),Subtraction,0.25
172,"If I'm working with 170 agencies, and Im adding 72 more agencies to the list, what percent am i adding?",p=72/170,Division,0.424
173,"If I'm paying $4 for 250 business cards, what am I paying per card and how did you find that value?",x=4/250,Division,0.016
174,What is the answer for 70 divided by 196 in simplest form?,x=70/196,Division,0.35714285714285715
175,"The camp light has a switch that will allow the light to operate one, two, or all three bulbs at the same time. The batteries will last 6 hours with only one bulb burning and 3 hours with two bulbs burning. How long will the batteries last if all three bulbs are on? (Round your answer to the nearest tenth.)",t=6/3,Division,2.0
176,someone tell me how to do the maths works 3 % of 4500,x=0.032*4500,Multiplication,144.0
177,How do I work out 4.5% of £3000?,x=0.045*3000,Multiplication,135.0
178,"1999, the population of Alaska was 0.62 million. Write the population as a whole number.",x=0.62*1000000,Multiplication,620000.0
179,20 out of 30 is what percentage?,x=20/30,Division,0.667
180,How do you get 64 divided by 0.08?,x=64/0.08,Division,800.0
181,"You toss 3 coins. What is the probability that you get exactly 2 heads, given that you get at least one head?",x=3/7,Division,0.42857142857142855
182,A rock has a density of 4 g/ml and a mass of 16 grams. What is the volume this rock occupies?,x=16/4,Division,4.0
183,What is 30% of $50?,x=50*0.300,Multiplication,15.0
184,how to solve 5.4 divided by 7.2?,x=5.4/7.2,Division,0.75
185,"In order to lift a load a distance of 6m by a pulley, it is necessary to move the effort load by 3m. What would be the velocity ratio?",x=3/6,Division,0.5
186,ad to convert 1/6% into a decimal. I,x=1/0.060,Division,16.667
187,"marion deposited 800 dollars in a savings account. one year later, the teller posted $56 in her savings book.at what rate of interest was she paid on her savings ?",800*x=56,Multiplication,0.07
188,ips earns $9 per hour for helping his grampa with his yard work. write and solve a multiplcation problem to find how many hours he must help his grandpa to earn 54$,9*x=54,Multiplication,6.0
189,what is the percent when you divide 18.5 by 20?,p=18.5/20,Division,0.925
190,what is 11 over 13 as a percent grade?,x=11/13,Division,0.846
191,10 is 5% of what number?,10=0.050*x,Multiplication,200.0
192,what percentage would be 35 out of 42?,x=35/42,Division,0.833
193,What percent of 2.4 is 5.2?,x*2.4=5.2,Multiplication,2.167
194,"the perimeter of a square is equal to 4s, where s is the length of one side. If the value of s is 7 feet, find the perimeter of the square.",x=4*7,Multiplication,28.0
195,what is 18% of $225?,x=0.180*225,Multiplication,40.5
196,"for $186.5, how must GST for 7 % ?",x=0.07*186.50,Multiplication,13.055
197,"this is the question. 35.3 g= mass. 1.60g/cm cubed , i have to find the volume?",v=35.3/1.6,Division,22.063
198,"re are some sweets in a bag 18 of the sweats are toffees, 12 of the sweets are mints write down the ratio of the number of toffees to the number of mints give your ratio in the simplest form",x=18/12,Division,1.5
199,"jan, ellen, rob, heather, and chris are finalists in a contest. the contest has prizes for 1st and 2nd place. how many different ways can the prizes be awarded?",x=5*4,Multiplication,20.0
200,You need 2.50lb of meat that sells for $2.70/lb. Use this price to determine a factor to calculate the cost of the meat you need.,x=2.7*2.5,Multiplication,6.75
201,"the middle of the golf course there is a large storage lake, which is used to water the golf course. if the surface area of the lake is 550 square metre and the average depth is 2.5 metres, what is the volume of the lake??",x=550*2.5,Multiplication,1375.0
202,Why is it when you divide 80 by 12?,x=80/12,Division,6.666666666666667
203,"If there is a possible total score of 740 points and a student has 694.4, what is their total percentage score?",x=694.4/740,Division,0.938
204,What is 30% of $150.00?,x=150*0.300,Multiplication,45.0
205,Find the area of a rectangle if its length measures 12 centimeters and its width measures 14 centimeters?,x=12*14,Multiplication,168.0
206,"estaurant has 25 entrees and 40 side dishes. If Mary wants to order one entree and one side dish, how many different combinations of entree and side dish could she order? T",x=25*40,Multiplication,1000.0
207,42 is 60% of what number?,42=0.6*x,Multiplication,70.0
208,each bottle of water is 500 ml. how many ounces is in one 500 ml bottle of water?,x=500/29.57,Division,16.909
209,"how would you do 510 divided by 15 on paper, no calculator?",x=510/15,Division,34.0
210,convert the whole number 3 into a fraction. /9 is equal to what?,x=34/9,Division,3.7777777777777777
211,What is 15 over 24 in simplest form?,x=15/24,Division,0.625
212,5 times 15?,x=5*15,Multiplication,75.0
213,what is 6 divide by 131?,x=6/131,Division,0.04580152671755725
214,What is 20% of $21.46?,x=0.200*21.46,Multiplication,4.29
215,"A portable hair dryer plugged into a 110 V outlet, has a current of 10 A flowing through it. What is the power rating of the hair dryer?",p=110*10,Multiplication,1100.0
216,how do you find 70% of $100?,x=0.700*100,Multiplication,70.0
217,what is the answer to 3 divided by 6,t=3/6,Division,0.5
218,pose there are 6 roads connecting town A to town B and 8 roads connecting town B to town C in how many ways. In how many ways can a person travel from A to C via B?,6*8=x,Multiplication,48.0
219,"If I have sent out 50 questionnaires, and 30 came back, what would be my response rate in %.",30/50=x,Division,0.6
220,what is the value of (-5) 2?,(-5)^2=x,Subtraction,25.0
221,I'm just trying to figure out if most people think the way I do. I say it her birthday is 3 days before. Just wondering if some people would consider it to be 2 days before. I'll wait to reveal her actual birthday.,25-3=x,Subtraction,22.0
222,": HOW DO YOU FIND THE PERCENT OF A NUMBER? If you wanted to find 62% of 355, how would you do tha",0.62*355=x,Multiplication,220.1
223,how many time will 40 go into 1000?,1000/40=x,Division,25.0
224,"ause of a membership drive for a community center, the current membership is 125% of what it was a year ago. The membership last year was 7400 members. How many members does the community center have this year?",7400+1850=x,Addition,9250.0
225,is 2/66 in simplest form?,2/66=x,Division,0.030303030303
226,I'm studying for the Asvab. 4 divided by 0.05,4/0.05=x,Division,80.0
227,"'s parents have agreed to lend him 60 % of the cost of buying a second hand car. If joe still has to find $328 himself, how much does the car cost?",328/0.4=x,Division,820.0
228,"Maria takes 6 classes. In 5 of those classes, she has an A. Write a fraction to describe the fraction of classes in which she has an A.",x=5/6,Division,0.833333333333
229,What is 6/10 in decimal form?,6/10=x,Division,0.6
230,.6 is 32% of what number?,193.6=(0.32)*(x),Multiplication,605.0
231,What percent of 72 is 25?,25/72=x,Division,0.347
232,What is 4.95% of 16 and how would I do this simple mathematical equation?,16*0.0495=x,Multiplication,0.792
233,liam is using 1.75-liter container to fill a 14-liter container of water. About how many times will he need to fill the smaller container?,14/1.75=x,Division,8.0
234,"length of a rectangular rug is 2 feet more than its width. If the length of the rug is 8 feet, what is the area of the rug in square feet?",z=6*8,Multiplication,48.0
235,whats 8.2(10)?,(10)*8.2=x,Multiplication,82.0
236,What is 0.1 of 180??,0.1*(180)=x,Multiplication,18.0
237,k so i have to find the lcm of 2 and 5 using prime factorization mode,2*5=x,Multiplication,10.0
238,"he perimeter of a rectangular garden is 302 feet. If the width of the garden is 67 feet, what is its length?",67+y=151,Addition,84.0
239,urance pays 80% of $200. H much money does the insurance pay?,0.80*200=x,Multiplication,160.0
240,Find 19 percent of 152?,0.19*152=x,Multiplication,28.88
241,"If you get paid $8.00 per hour at your job and insurance is $200 a month, how many hours will you have to.?",200/8=x,Division,25.0
242,t is the LCM of 88 and 12. I,z=3*88,Multiplication,264.0
243,many times can you subtract 2 from 12? No,12/2=x,Division,6.0
244,"Mary received $15 for her weekly allowance. She spent $10 at the movie theater with her friends. What fraction of the money, in simplest form, was spent at the theater?",x=10/15,Division,0.666666666667
245,"t year, original price of a popular sweater was $40. This year, the price is $42. Find the percent of increase in price.",2/40=x,Division,0.05
246,Jodi got her hair highlighted at Images Salon. The bill(before tax) was $85. She gave the hairstylist a $5 tip. What is the tip rate(%)? Round to the nearest whole percent.,5/85=x,Division,0.0588235294118
247,"3 boys, 2 girls and a puppy sit at a round table.yhow many ways can they be arranged if the puppy is to be seated between the two girls?",6*2=x,Multiplication,12.0
248,What is 3% of 700?,0.03*700=x,Multiplication,21.0
249,Im 7 stone how many pounds am I.And if i am 158cm how may inches and feet am i!,7*14=y,Multiplication,98.0
250,500 billion divided by 135 million?,100000/27=x,Division,3703.7037037
251,te 275% and 5% as equivalent decimals,5/100=m,Division,0.05
252,What is 41 percent of 25 question?,0.41*25=x,Multiplication,10.25
253,100 is 85% of what number?,y=100/0.85,Division,117.647058824
254,ermine to the correct number of significant figures the mass (g) of nickel in a 78.3 g sample of a mineral that is 91.04% nickel by mass.,(78.3)*(0.9104)=x,Multiplication,71.28432
255,floor is 24 feet long & 8 feet wide. How many square feet is that?,8*24=x,Multiplication,192.0
256,How do I make 1/6 a decimal?,1/6=x,Division,0.166666666667
257,What's 1.7 as a percentage of 5.5?,1.7/5.5=x,Division,0.309090909091
258,"ine cards are numbered 1 to 9 inclusive. If cards are drawn one at a time at random & they are not replaced, find the probability that the result will be an odd card, even, even odd, odd, & even?",z=1/42,Division,0.0238095238095
259,works for $15.50 per hour for a health care facility. He is supposed to get a 75 cent per hour raise at one year of service. What will his percent increase in hourly pay be?,0.75/15.5=x,Division,0.048
260,What percent of 18 is 0.5?,0.5/18=x,Division,0.0277777777778
261,How can i find the angle of a sector in radians. The radius of the sector is 5cm. The Arc Length is 8.4cm.,5*x=8.4,Multiplication,1.68
262,What is the ratio 22 : 31 as a decimal?,22/31=x,Division,0.709677419355
263,Express the following as a percent: 8 out of 12. Round to the nearest whole number. % % D.%,8/12=x,Division,0.666666666667
264,W is 20% of $306???,0.2*306=x,Multiplication,61.2
265,F the quotient of 24 and 9 to two decimal places.,24/9=x,Division,2.66666666667
266,15 is what percent of 60?,16/60=x,Division,0.25
267,"Suppose 80% of kids who visit a doctor have a fever, and 15% of kids with a fever have sore throats. What is the probability that a kid who goes to the doctor has a fever and a sore throat?",0.8*0.15=x,Multiplication,0.12
268,What would 20% of 200000 be?,0.20*200000=y,Multiplication,40000.0
269,"a product normally retails for $40.00 and we give you a $10 discount, what percentage discount do you receive?",10/40=x,Division,0.25
270,What is 8/21 in decimal form?,8/21=x,Division,0.380952380952
271,t would the percent change be? Final mass 1.00 Initial mass 0.92 S,1.0/0.92=x,Division,1.08695652174
272,What's 8.75% of $45?,45*00.0875=x,Multiplication,3.9375
273,Suppose that for a certain football game the probability that the home team will be aheahiat half-time is 0.60 and the probabilitrothat the home team will be ahead at halfotime as well as at the final e s 0.45. What is the probability that the home team will wi this game given that it is ahead at the half? A. B.. C.. D..,0.45/0.60=z,Division,0.75
274,t is 16% of 50?,0.16*50=x,Multiplication,8.0
275,"Sarah scored 80% on her recent math test. If there were 20 problems on the test, how many questions did she get correct?",z/20=0.8,Division,16.0
276,How long would a car travelling at 20 mph take to cover 18 miles?,x=18/20,Division,0.9
277,What is the product of all prime numbers more than 30 but less than 40?,31*37=x,Multiplication,1147.0
278,174 is what percent of 600?,600*x=174,Multiplication,0.29
279,What is the formula for figuring out 5 is what percent of 40?,5/40=x,Division,0.125
280,lim x-->0 (x*sin(x)) / (1 - cos(x)),2/1=x,Division,2.0
281,"If you typed 225 words in 7 and a half minutes, how many words are you averaging per minute?",225/7.5=x,Division,30.0
282,iles = 8 km ow many miles in 60km?,60*0.625=m,Multiplication,37.5
283,What is the perimeter of a square that has the same area as a 2-inch by 8-inch rectangle?,8*2=x,Multiplication,16.0
284,What is the original price before the 60% decrease if the new price is 840$?,0.4*x=840,Multiplication,2100.0
285,A metal rod has a length of 5m and a volume of 3750cm. What is the area of the cross-section?,3750/500=x,Division,7.5
286,"ay I started with a full tank of gas and I traveled 120 miles (mostly freeway). A the end, I used up 4.79 gallons. Ga much mpg does my car get and how do I calculate it?",x=120/4.79,Division,25.0521920668
287,find the product of greatest 3 digit number and smallest 4 digit number,999*1000=y,Multiplication,999000.0
288,"If the sales tax on a 30.00 item is 1.80, what is the sales tax rate?",30.00*x=1.80,Multiplication,0.06
289,3 is 0.2 percent of what number?,3=0.002*x,Multiplication,1500.0
290,"If someone turned 62 in May 2014, then what year were they born?",2014-62=x,Subtraction,1952.0
291,"There are total 90 boxes, and there is a gold box that you want to open. and you have 30 chances to open any boxes. Then what's the probability of getting the gold box?",30/90=y,Division,0.333333333333
292,"a chemical is 42% pure. of 800 grams of the chemical, how much is pure?",0.42*800=y,Multiplication,336.0
293,divide the number 999999 with 99 .,999999/99=x,Division,10101.0
294,"What are the lowest common multiples of 625, and 30?",1*5=x,Multiplication,5.0
295,What decimal part of 240 is 160?,160/240=x,Division,0.666666666667
296,Is 60 milliliters equal to 2 fluid ounces?,2*29.57=x,Multiplication,59.14
297,how long does it take to drive a mile on a moped that goes the speed of 20-25 mph.,60/20=x,Division,3.0
298,"25 cents per square foot, I need 312 feet. what's the price?",0.25*312=x,Multiplication,78.0
299,25.0 divided by 29.4?,25/29.4=x,Division,0.850340136054
300,how close is 3.22 cm to 4 cm?,4-3.22=x,Subtraction,0.78
301,The average of 33 consecutive whole numbers is 58. What is the smallest of these whole numbers?,58-16=x,Subtraction,42.0
